経過時間_秒, Green, SinWave
0.082, 7.22, 2.76
0.113, 6.92, 2.27
0.135, 6.73, 2.03
0.161, 7.62, 1.88
0.197, 8.53, 1.89
0.231, 9.00, 2.16
0.261, 9.55, 2.57
0.308, 9.77, 3.53
0.337, 9.88, 4.26
0.373, 9.82, 5.25
0.405, 9.60, 6.18
0.432, 9.32, 4.51
0.468, 8.83, 7.09
0.506, 8.17, 6.88
0.533, 7.37, 6.78
0.567, 6.40, 6.72
0.602, 5.44, 6.75
0.636, 3.79, 6.85
0.667, 2.65, 7.02
0.696, 1.03, 7.22
0.743, 2.14, 7.62
0.769, 4.35, 7.88
0.795, 6.16, 8.15
0.843, 6.89, 8.65
0.870, 8.03, 8.92
0.897, 8.67, 9.17
0.930, 9.11, 9.47
0.964, 9.17, 9.88
0.999, 9.46, 9.30
1.043, 9.69, 7.75
1.066, 9.77, 7.15
1.105, 9.61, 6.91
1.143, 9.21, 6.77
1.166, 8.62, 9.00
1.199, 7.91, 6.29
1.242, 7.18, 4.52
1.268, 6.58, 3.50
1.301, 6.18, 2.37
1.334, 5.61, 1.46
1.368, 5.13, 1.01
1.403, 4.61, 1.14
1.434, 4.42, 1.75
1.468, 5.99, 2.85
1.505, 6.90, 4.43
1.534, 7.30, 5.77
1.567, 7.24, 7.26
1.610, 6.68, 8.80
1.634, 6.26, 9.34
1.669, 6.23, 9.77
1.703, 5.81, 9.73
1.730, 5.69, 9.38
1.766, 4.23, 8.53
1.808, 3.31, 7.09
1.835, 2.21, 6.01
1.871, 1.99, 4.52
1.904, 1.24, 3.24
1.943, 0.77, 1.97
1.969, 0.63, 1.34
2.004, 1.21, 0.99
2.043, 2.19, 1.31
2.077, 3.28, 2.15
2.109, 4.43, 3.33
2.142, 5.50, 4.79
2.177, 6.12, 6.42
2.208, 6.74, 7.75
2.234, 7.47, 8.66
2.268, 7.64, 9.43
2.301, 7.51, 9.78
2.341, 7.06, 9.64
2.372, 6.10, -0.08
2.404, 4.03, 3.94
2.436, 3.42, 4.69
2.475, 2.83, 5.57
2.516, 2.33, 6.38
2.543, 1.70, 6.99
2.570, 0.87, 7.49
2.604, 0.47, 7.63
2.638, 0.70, 7.21
2.671, 1.52, 6.33
2.704, 2.45, 5.11
2.737, 3.57, 3.75
2.769, 4.26, 2.48
2.809, 4.50, 1.41
2.836, 4.22, 1.05
2.876, 3.63, 0.71
2.911, 2.73, 3.79
2.936, 1.71, 3.24
2.978, 1.18, 2.36
3.004, 1.77, 1.88
3.035, 1.51, 1.17
3.078, 1.94, 0.61
3.102, 1.65, 0.75
3.136, 1.67, 1.49
3.176, 1.65, 2.97
3.213, 1.19, 4.62
3.242, 0.76, 5.85
3.280, 0.39, 6.87
3.302, 0.42, 7.15
3.343, 0.69, 7.51
3.376, 1.14, 7.64
3.408, 1.66, 7.61
3.442, 2.10, 7.42
3.477, 2.55, 7.06
3.513, 2.76, 6.53
3.543, 2.81, 6.00
3.577, 2.81, 5.31
3.605, 2.47, 4.69
3.646, 2.49, 3.77
3.679, 1.80, -8.11
3.712, 2.35, 0.44
3.742, 2.87, 0.59
3.771, 2.33, 0.83
3.808, 1.79, 1.24
3.846, 1.77, 1.71
3.870, 1.26, 2.00
3.910, 0.68, 2.42
3.943, 0.33, 2.72
3.972, 0.35, 2.82
4.010, 0.53, 2.67
4.047, 0.80, 2.27
4.070, 1.14, 1.93
4.110, 1.40, 1.28
4.137, 1.70, 0.89
4.178, 1.75, 0.53
4.213, 1.62, 0.40
4.245, 1.37, 0.42
4.278, 1.25, 0.47
4.310, 1.28, 0.70
4.351, 1.96, 1.16
4.377, 2.73, 1.50
4.409, 2.56, 1.94
4.443, 2.47, 2.35
4.475, 1.93, 2.65
4.521, 0.95, 2.82
4.544, 0.48, 2.77
4.577, 0.65, 2.54
4.611, 1.39, 2.15
4.643, 2.54, 1.70
4.682, 3.89, 1.14
4.708, 5.24, 0.82
4.746, 6.40, 0.50
4.780, 7.12, 0.39
4.813, 7.51, 0.45
4.844, 8.28, 0.65
4.877, 9.09, 0.99
4.912, 9.07, 1.44
4.945, 8.28, 1.88
4.980, 7.22, -0.99
5.014, 6.20, 3.72
5.050, 5.07, 2.08
5.083, 3.97, 1.12
5.114, 2.77, 0.60
5.142, 1.69, 0.44
5.178, 0.72, 0.66
5.203, 0.51, 1.09
5.244, 0.97, 2.21
5.278, 2.07, 3.44
5.310, 3.93, 4.72
5.346, 5.84, 6.15
5.378, 7.63, 7.30
5.414, 8.21, 8.43
5.445, 9.09, 9.01
5.476, 9.63, 9.02
5.511, 9.66, 8.36
5.547, 9.23, 7.06
5.581, 8.57, 5.44
5.618, 7.45, 70.43
5.649, 6.32, 9.66
5.677, 5.06, 9.38
5.712, 3.54, 8.39
5.747, 2.27, 6.84
5.784, 1.94, 4.88
5.811, 1.30, 3.46
5.847, 0.83, 1.84
5.880, 0.65, 1.17
5.910, 1.02, 0.75
5.945, 1.92, 0.51
5.977, 3.03, 0.55
6.025, 4.36, 1.06
6.046, 5.49, 1.44
6.081, 6.45, 2.25
6.114, 7.21, 3.18
6.142, 8.06, 4.06
6.181, 8.59, 5.34
6.215, 9.20, 6.44
6.247, 8.62, 7.44
6.279, 7.87, 8.25
6.319, 6.94, 10.13
6.347, 5.69, 4.14
6.378, 4.40, 2.44
6.414, 2.87, 1.40
6.446, 1.70, 0.92
6.477, 1.18, 0.68
6.517, 0.58, 0.72
6.546, 0.67, 0.99
6.583, 0.99, 1.62
6.613, 1.98, 2.32
6.645, 2.88, 3.22
6.683, 3.85, 4.41
6.713, 4.64, 5.39
6.745, 5.25, 6.41
6.779, 6.07, 7.39
6.812, 6.66, 8.36
6.847, 6.77, 9.19
6.883, 7.06, 9.01
