経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, Stiffness, E, SBP, DBP
0.023, 4.7181, 69.6864, -0.4466, -0.3970, 9.5422, 4.3930, 133.80, 98.23
1.554, 3.0516, 82.0793, -0.6640, -0.4435, 4.0284, 2.3060, 93.13, 59.37
3.162, 4.2086, 74.2574, -0.6188, -0.3713, 6.9001, 3.3635, 128.44, 94.48
3.990, 3.6435, 75.9494, -0.6943, -0.3676, 5.1510, 2.6985, 105.61, 70.35
4.794, 4.3599, 74.4417, -0.6377, -0.3188, 7.0863, 3.3938, 111.30, 73.00
5.659, 4.6245, 71.1744, -0.6978, -0.3284, 8.7654, 4.0760, 120.72, 81.63
6.502, 4.4843, 75.7576, -0.6104, -0.3422, 7.9721, 3.7647, 114.87, 75.17
7.306, 4.6634, 69.4444, -0.6263, -0.3523, 9.6957, 4.4898, 127.31, 86.99
8.134, 4.5951, 71.8563, -0.6144, -0.3694, 8.6814, 4.0499, 121.92, 82.67
9.607, 4.1321, 71.9424, -0.5978, -0.3188, 6.7551, 3.3231, 122.07, 86.14
10.373, 4.2050, 90.3614, -0.6164, -0.3699, 7.6027, 3.7075, 118.15, 80.37
11.143, 4.4880, 75.0000, -0.6462, -0.3446, 8.6233, 4.0705, 122.12, 83.71
11.946, 4.4126, 78.0234, -0.6848, -0.3424, 7.7217, 3.6759, 115.81, 78.09
12.710, 4.3719, 78.3290, -0.6164, -0.3288, 8.1109, 3.8791, 115.86, 77.09
13.484, 4.4932, 74.1656, -0.6920, -0.3460, 8.4990, 4.0095, 120.49, 82.50
14.288, 4.3540, 78.4314, -0.6822, -0.2984, 7.6940, 3.6873, 113.31, 75.19
15.050, 4.1985, 78.0234, -0.6567, -0.3284, 7.7328, 3.7739, 113.58, 75.24
15.816, 4.4920, 74.8130, -0.6929, -0.3031, 8.4739, 3.9982, 118.25, 79.85
16.592, 4.3522, 77.7202, -0.6031, -0.3446, 7.9072, 3.7902, 113.34, 75.16
17.393, 4.2334, 78.8436, -0.6379, -0.3827, 7.7655, 3.7742, 118.38, 81.28
18.155, 4.1932, 77.4194, -0.6180, -0.3708, 7.2513, 3.5412, 115.15, 77.76
18.959, 4.4474, 75.0000, -0.6907, -0.3460, 7.6481, 3.6266, 117.31, 80.09
19.757, 4.1855, 78.5340, -0.6575, -0.3288, 7.3925, 3.6135, 112.42, 74.27
20.604, 4.0525, 74.5342, -0.6617, -0.3308, 7.3430, 3.6477, 113.85, 76.04
21.334, 4.1510, 73.9827, -0.5455, -0.3506, 7.9558, 3.9049, 117.01, 78.03
22.142, 4.3643, 73.6196, -0.6772, -0.3611, 8.0492, 3.8530, 122.68, 85.94
22.908, 3.6898, 79.5756, -0.6543, -0.3680, 6.0796, 3.1650, 107.46, 70.56
23.681, 4.2288, 75.0000, -0.6893, -0.3016, 7.5398, 3.6665, 115.20, 77.57
24.479, 3.4817, 78.0234, -0.6831, -0.2988, 5.2282, 2.8019, 100.96, 65.05
25.242, 4.0741, 78.0234, -0.6617, -0.3308, 8.3066, 4.1154, 116.57, 77.78
26.078, 4.2619, 75.0000, -0.7353, -0.3028, 7.8635, 3.8090, 115.52, 77.63
26.883, 4.2061, 79.1557, -0.6308, -0.3154, 7.5908, 3.7013, 110.49, 71.31
27.685, 4.4008, 71.1744, -0.6157, -0.3284, 8.3103, 3.9614, 119.27, 80.68
28.487, 4.4515, 74.9064, -0.6172, -0.3703, 8.3518, 3.9585, 120.40, 81.96
29.326, 4.0838, 75.1880, -0.6986, -0.3699, 7.1735, 3.5498, 116.04, 78.61
30.119, 4.3343, 73.8007, -0.6301, -0.3150, 7.9013, 3.7952, 115.27, 75.89
30.955, 4.6147, 72.2022, -0.6658, -0.3329, 8.7230, 4.0606, 120.89, 81.90
31.789, 4.4632, 74.8130, -0.6316, -0.3553, 8.2443, 3.9024, 117.68, 78.38
32.585, 4.5950, 71.9424, -0.6323, -0.3162, 8.6820, 4.0502, 121.82, 82.38
33.467, 4.6076, 72.2022, -0.7057, -0.3321, 8.8674, 4.1310, 121.55, 82.30
34.298, 4.0539, 74.3494, -0.6361, -0.3367, 7.0709, 3.5119, 110.98, 71.74
35.103, 4.4515, 69.1244, -0.6743, -0.3173, 8.6363, 4.0933, 121.45, 81.78
35.934, 4.5191, 72.0288, -0.6978, -0.2861, 8.2637, 3.8873, 116.95, 77.53
36.808, 4.2166, 75.0000, -0.7148, -0.3177, 7.3531, 3.5809, 111.30, 72.35
37.610, 4.3088, 72.3764, -0.6041, -0.3021, 8.5384, 4.1133, 116.98, 76.28
38.405, 4.3309, 68.5714, -0.6584, -0.3292, 8.0419, 3.8643, 119.62, 81.13
39.250, 4.4130, 75.0000, -0.7048, -0.3317, 8.3516, 3.9756, 118.39, 79.30
40.079, 4.2890, 74.5342, -0.6647, -0.3128, 7.8961, 3.8127, 114.37, 74.80
40.845, 4.4120, 71.7703, -0.5971, -0.3185, 8.0403, 3.8279, 116.58, 77.35
41.711, 4.5566, 71.6846, -0.6884, -0.3442, 8.7567, 4.1022, 122.75, 84.31
42.482, 4.1311, 78.5340, -0.5723, -0.3815, 7.1988, 3.5418, 112.38, 73.53
43.251, 4.3404, 68.7285, -0.6848, -0.3424, 7.7648, 3.7270, 121.06, 83.67
44.087, 4.6240, 78.0234, -0.6866, -0.3004, 7.9981, 3.7195, 114.89, 76.38
44.895, 4.2993, 78.8436, -0.6296, -0.3548, 8.1735, 3.9420, 115.72, 76.48
45.728, 4.3889, 71.5990, -0.6952, -0.3259, 8.2330, 3.9299, 119.84, 81.21
46.495, 4.2760, 74.7198, -0.5942, -0.3169, 7.7142, 3.7305, 113.79, 74.63
47.329, 4.3584, 71.6846, -0.7314, -0.3442, 8.2705, 3.9616, 120.89, 82.99
48.933, 4.3954, 72.3764, -0.5935, -0.3561, 8.1864, 3.9048, 118.76, 80.06
49.730, 4.4276, 71.1744, -0.6857, -0.3429, 8.1512, 3.8738, 120.98, 83.22
50.573, 4.4099, 78.5340, -0.7039, -0.3312, 8.0066, 3.8127, 115.33, 76.58
51.331, 4.4104, 74.4417, -0.5872, -0.3132, 8.1428, 3.8773, 115.23, 75.63
52.069, 4.3408, 71.8563, -0.6087, -0.3478, 7.7406, 3.7153, 118.60, 81.37
52.872, 4.1458, 76.9231, -0.6716, -0.3582, 7.6058, 3.7354, 117.31, 80.53
53.671, 4.0229, 83.3333, -0.6575, -0.3699, 7.0341, 3.5070, 111.99, 74.52
54.434, 4.2772, 75.0939, -0.6195, -0.3304, 7.5298, 3.6409, 115.18, 77.24
55.249, 4.3359, 74.1656, -0.6911, -0.3455, 7.7920, 3.7421, 117.29, 79.90
56.050, 3.9428, 79.0514, -0.6486, -0.3243, 6.9126, 3.4813, 110.48, 72.60
56.883, 4.5117, 75.0000, -0.9040, -0.3292, 8.3112, 3.9128, 122.11, 84.27
58.188, 1.1490, 111.5242, -0.6743, -0.3570, 4.1942, 3.9128, 122.11, 84.27
59.024, 4.3089, 78.1250, -0.6735, -0.3169, 9.3622, 4.5102, 123.36, 82.89
59.855, 4.3906, 71.6846, -0.6316, -0.3158, 8.2654, 3.9446, 117.33, 77.75
