経過時間_秒, Green, SinWave
0.023, 7.46, 9.71
0.060, 6.97, 9.91
0.080, 6.36, 9.92
0.114, 5.63, 9.74
0.153, 4.78, 9.28
0.186, 3.85, 8.70
0.215, 2.59, 8.06
0.248, 1.34, 7.23
0.286, 1.07, 6.18
0.316, 0.89, 5.32
0.357, 0.61, 4.19
0.387, 0.36, 3.42
0.427, 0.60, 2.53
0.455, 1.50, 2.00
0.486, 3.22, 1.62
0.521, 5.66, 1.49
0.553, 6.86, 1.66
0.587, 7.70, 2.11
0.623, 8.66, 2.87
0.653, 9.47, 3.69
0.685, 9.86, 4.68
0.721, 9.94, 5.87
0.754, 9.93, 6.95
0.787, 9.91, 7.95
0.825, 9.91, 8.97
0.857, 9.90, 3.91
0.888, 9.80, 2.64
0.920, 9.58, 1.57
0.955, 9.22, 0.82
0.984, 8.73, 0.45
1.021, 8.10, 0.34
1.047, 7.17, 0.52
1.083, 5.69, 1.11
1.121, 3.16, 2.08
1.153, 1.36, 3.13
1.186, 1.07, 4.35
1.216, 0.79, 5.51
1.257, 1.32, 7.05
1.287, 2.87, 8.06
1.318, 5.26, 8.97
1.357, 6.16, 9.77
1.391, 6.89, 9.99
1.421, 7.81, 9.79
1.447, 8.75, 9.33
1.487, 9.43, 8.17
1.521, 9.76, 6.85
1.554, 9.75, 5.41
1.588, 9.72, 3.91
1.633, 9.74, 8.30
1.654, 9.86, 9.83
1.688, 9.92, 9.94
1.730, 9.89, 9.70
1.760, 9.75, 9.29
1.792, 9.47, 8.66
1.823, 9.08, 7.89
1.861, 8.54, 6.77
1.887, 7.79, 5.95
1.911, 6.68, 5.17
1.954, 4.90, 3.79
1.991, 1.66, 2.73
2.021, 0.81, 1.99
2.057, 1.29, 1.30
2.093, 2.88, 0.89
2.120, 5.32, 0.78
2.154, 6.29, 0.88
2.188, 7.09, 1.26
2.223, 8.03, 1.90
2.257, 9.08, 2.73
2.288, 9.67, 3.63
2.330, 9.82, 4.97
2.354, 9.72, 5.77
2.392, 9.58, 6.99
2.421, 9.47, 11.43
2.461, 9.33, 9.71
2.490, 9.09, 9.28
2.520, 8.68, 8.61
2.560, 8.11, 7.44
2.590, 7.39, 6.42
2.624, 6.64, 5.19
2.654, 5.70, 4.12
2.688, 4.30, 2.99
2.724, 2.12, 1.99
2.754, 0.51, 1.39
2.786, 0.43, 0.97
2.822, 0.36, 0.80
2.857, 0.86, 0.97
2.892, 2.20, 1.46
2.929, 4.61, 2.24
2.957, 5.88, 3.01
2.981, 6.64, 3.76
3.029, 7.45, 5.38
3.057, 8.51, 6.35
3.090, 9.39, 7.42
3.117, 9.72, 8.20
3.162, 9.60, 9.26
3.195, 9.24, 9.74
3.228, 8.79, 9.58
3.254, 8.28, 8.73
3.294, 7.75, 7.39
3.324, 7.18, 6.15
3.362, 6.57, 4.48
3.391, 5.91, 3.25
3.416, 5.19, 2.29
3.450, 4.29, 1.36
3.490, 2.80, 0.71
3.526, 1.14, 0.40
3.560, 1.03, 0.38
3.593, 0.98, 0.60
3.627, 0.97, 1.06
3.660, 0.61, 1.73
3.691, 0.41, 2.50
3.730, 0.69, 3.64
3.753, 1.56, 4.37
3.794, 3.05, 5.70
3.834, 5.06, 6.94
3.856, 7.12, 7.57
3.891, 8.20, 8.47
3.930, 9.25, 9.41
3.959, 9.72, 9.73
3.990, 9.70, 9.70
4.018, 9.43, 9.33
4.070, 9.07, 7.64
4.092, 8.65, 8.62
4.126, 8.17, 7.60
4.154, 7.61, 6.59
4.199, 6.94, 4.81
4.219, 6.12, 4.02
4.266, 5.17, 2.32
4.295, 4.14, 1.52
4.326, 2.57, 0.94
4.365, 1.46, 0.50
4.388, 1.19, 0.41
4.430, 0.97, 0.55
4.463, 0.75, 0.95
4.502, 0.37, 1.72
4.532, 0.38, 2.49
4.559, 0.90, 3.28
4.587, 1.97, 4.17
4.638, 3.52, 5.86
4.657, 5.32, 6.47
4.693, 7.19, 7.56
4.728, 8.75, 8.48
4.761, 9.40, 9.23
4.794, 9.22, 9.66
4.821, 8.56, 9.73
4.863, 7.78, 7.88
4.894, 7.00, 9.43
4.929, 6.31, 9.41
4.961, 5.66, 9.18
4.993, 4.94, 8.75
5.025, 4.15, 8.14
5.064, 3.21, 7.20
5.093, 2.20, 6.39
5.133, 1.38, 5.19
5.163, 1.17, 4.27
5.189, 0.97, 3.49
5.230, 0.93, 2.36
5.263, 0.86, 1.57
5.302, 0.52, 0.75
5.337, 0.36, 0.38
5.365, 0.68, 0.36
5.392, 1.62, 0.58
5.424, 3.23, 1.11
5.463, 5.39, 2.12
5.501, 7.23, 3.38
5.528, 8.27, 4.38
5.564, 9.27, 5.74
5.586, 9.70, 6.54
5.629, 9.72, 7.93
5.659, 9.56, 8.58
5.691, 9.35, 9.07
5.726, 9.14, 8.23
5.753, 8.85, 8.46
5.793, 8.45, 7.40
5.833, 7.93, 6.15
5.859, 7.29, 5.27
5.895, 6.54, 4.06
5.929, 5.75, 2.97
5.963, 4.57, 2.00
5.999, 2.62, 1.09
6.028, 1.42, 0.58
