経過時間_秒, Green, IBI, Smoothed_IBI, bpmSD, Smoothed_BPM
0.023, 7.46, 744.00, 720.21, 24.22, 83.31
0.060, 6.97, 744.00, 720.21, 24.22, 83.31
0.080, 6.36, 744.00, 720.21, 24.22, 83.31
0.114, 5.63, 744.00, 720.21, 24.22, 83.31
0.153, 4.78, 744.00, 720.21, 24.22, 83.31
0.186, 3.85, 744.00, 720.21, 24.22, 83.31
0.215, 2.59, 744.00, 720.21, 24.22, 83.31
0.248, 1.34, 744.00, 720.21, 24.22, 83.31
0.286, 1.07, 744.00, 720.21, 24.22, 83.31
0.316, 0.89, 744.00, 720.21, 24.22, 83.31
0.357, 0.61, 744.00, 720.21, 24.22, 83.31
0.387, 0.36, 744.00, 720.21, 24.22, 83.31
0.427, 0.60, 744.00, 720.21, 24.22, 83.31
0.455, 1.50, 744.00, 720.21, 24.22, 83.31
0.486, 3.22, 744.00, 720.21, 24.22, 83.31
0.521, 5.66, 744.00, 720.21, 24.22, 83.31
0.553, 6.86, 744.00, 720.21, 24.22, 83.31
0.587, 7.70, 744.00, 720.21, 24.22, 83.31
0.623, 8.66, 744.00, 720.21, 24.22, 83.31
0.653, 9.47, 744.00, 720.21, 24.22, 83.31
0.685, 9.86, 744.00, 720.21, 24.22, 83.31
0.721, 9.94, 744.00, 720.21, 24.22, 83.31
0.754, 9.93, 744.00, 720.21, 21.67, 83.31
0.787, 9.91, 744.00, 720.21, 21.67, 83.31
0.825, 9.91, 744.00, 720.21, 21.67, 83.31
0.857, 9.90, 744.00, 720.21, 21.67, 83.31
0.888, 9.80, 744.00, 720.21, 21.67, 83.31
0.920, 9.58, 744.00, 720.21, 21.67, 83.31
0.955, 9.22, 744.00, 720.21, 21.67, 83.31
0.984, 8.73, 744.00, 720.21, 21.67, 83.31
1.021, 8.10, 744.00, 720.21, 21.67, 83.31
1.047, 7.17, 744.00, 720.21, 21.67, 83.31
1.083, 5.69, 744.00, 720.21, 21.67, 83.31
1.121, 3.16, 744.00, 720.21, 21.67, 83.31
1.153, 1.36, 744.00, 720.21, 21.67, 83.31
1.186, 1.07, 744.00, 720.21, 21.67, 83.31
1.216, 0.79, 744.00, 720.21, 21.67, 83.31
1.257, 1.32, 744.00, 720.21, 21.67, 83.31
1.287, 2.87, 744.00, 720.21, 21.67, 83.31
1.318, 5.26, 744.00, 720.21, 21.67, 83.31
1.357, 6.16, 744.00, 720.21, 21.67, 83.31
1.391, 6.89, 744.00, 720.21, 21.67, 83.31
1.421, 7.81, 744.00, 720.21, 21.67, 83.31
1.447, 8.75, 744.00, 720.21, 21.67, 83.31
1.487, 9.43, 744.00, 720.21, 21.67, 83.31
1.521, 9.76, 744.00, 720.21, 21.67, 83.31
1.554, 9.75, 800.00, 760.11, 8.69, 78.94
1.588, 9.72, 800.00, 760.11, 8.69, 78.94
1.633, 9.74, 800.00, 760.11, 8.69, 78.94
1.654, 9.86, 800.00, 760.11, 8.69, 78.94
1.688, 9.92, 800.00, 760.11, 8.69, 78.94
1.730, 9.89, 800.00, 760.11, 8.69, 78.94
1.760, 9.75, 800.00, 760.11, 8.69, 78.94
1.792, 9.47, 800.00, 760.11, 8.69, 78.94
1.823, 9.08, 800.00, 760.11, 8.69, 78.94
1.861, 8.54, 800.00, 760.11, 8.69, 78.94
1.887, 7.79, 800.00, 760.11, 8.69, 78.94
1.911, 6.68, 800.00, 760.11, 8.69, 78.94
1.954, 4.90, 800.00, 760.11, 8.69, 78.94
1.991, 1.66, 800.00, 760.11, 8.69, 78.94
2.021, 0.81, 800.00, 760.11, 8.69, 78.94
2.057, 1.29, 800.00, 760.11, 8.69, 78.94
2.093, 2.88, 800.00, 760.11, 8.69, 78.94
2.120, 5.32, 800.00, 760.11, 8.69, 78.94
2.154, 6.29, 800.00, 760.11, 8.69, 78.94
2.188, 7.09, 800.00, 760.11, 8.69, 78.94
2.223, 8.03, 800.00, 760.11, 8.69, 78.94
2.257, 9.08, 800.00, 760.11, 8.69, 78.94
2.288, 9.67, 800.00, 760.11, 8.69, 78.94
2.330, 9.82, 800.00, 760.11, 8.69, 78.94
2.354, 9.72, 800.00, 760.11, 8.35, 78.94
2.392, 9.58, 800.00, 760.11, 8.35, 78.94
2.421, 9.47, 800.00, 760.11, 8.35, 78.94
2.461, 9.33, 800.00, 760.11, 8.35, 78.94
2.490, 9.09, 800.00, 760.11, 8.35, 78.94
2.520, 8.68, 800.00, 760.11, 8.35, 78.94
2.560, 8.11, 800.00, 760.11, 8.35, 78.94
2.590, 7.39, 800.00, 760.11, 8.35, 78.94
2.624, 6.64, 800.00, 760.11, 8.35, 78.94
2.654, 5.70, 800.00, 760.11, 8.35, 78.94
2.688, 4.30, 800.00, 760.11, 8.35, 78.94
2.724, 2.12, 800.00, 760.11, 8.35, 78.94
2.754, 0.51, 800.00, 760.11, 8.35, 78.94
2.786, 0.43, 800.00, 760.11, 8.35, 78.94
2.822, 0.36, 800.00, 760.11, 8.35, 78.94
2.857, 0.86, 800.00, 760.11, 8.35, 78.94
2.892, 2.20, 800.00, 760.11, 8.35, 78.94
2.929, 4.61, 800.00, 760.11, 8.35, 78.94
2.957, 5.88, 800.00, 760.11, 8.35, 78.94
2.981, 6.64, 800.00, 760.11, 8.35, 78.94
3.029, 7.45, 800.00, 760.11, 8.35, 78.94
3.057, 8.51, 800.00, 760.11, 8.35, 78.94
3.090, 9.39, 800.00, 760.11, 8.35, 78.94
3.117, 9.72, 800.00, 760.11, 8.35, 78.94
3.162, 9.60, 808.00, 784.05, 7.21, 76.53
3.195, 9.24, 808.00, 784.05, 7.21, 76.53
3.228, 8.79, 808.00, 784.05, 7.21, 76.53
3.254, 8.28, 808.00, 784.05, 7.21, 76.53
