経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, Stiffness, E, SBP, DBP
0.003, 4.2916, 74.0741, -0.7021, -0.3304, 9.1455, 4.4146, 117.71, 77.30
0.939, 4.5873, 69.2042, -0.5782, -0.3717, 8.9466, 4.1771, 118.28, 78.52
1.772, 4.5380, 66.6667, -0.7643, -0.3597, 8.0712, 3.7888, 121.02, 84.15
2.617, 4.1253, 80.2139, -0.6331, -0.3165, 6.8406, 3.3679, 106.41, 67.68
3.415, 4.2444, 73.0816, -0.6256, -0.3519, 7.3251, 3.5556, 115.01, 76.91
4.185, 4.3319, 71.4286, -0.6203, -0.3308, 7.4757, 3.5918, 116.50, 78.58
4.983, 4.3488, 75.5668, -0.6857, -0.3429, 7.5873, 3.6383, 116.51, 79.00
5.751, 4.2205, 77.6197, -0.6195, -0.3304, 7.4211, 3.6123, 112.80, 74.57
6.517, 4.2510, 74.1656, -0.6454, -0.3442, 7.7910, 3.7788, 117.48, 80.01
7.322, 4.3346, 78.9474, -0.6462, -0.3446, 7.9888, 3.8371, 117.08, 79.29
8.126, 4.0487, 77.8210, -0.6559, -0.3689, 7.2783, 3.6172, 114.35, 76.82
8.960, 4.3647, 74.8130, -0.6978, -0.3284, 7.9118, 3.7871, 117.05, 78.67
9.756, 4.3962, 75.0000, -0.6331, -0.3165, 8.1647, 3.8940, 115.56, 76.09
10.633, 4.4533, 71.7703, -0.7039, -0.3312, 8.6953, 4.1205, 120.90, 81.91
11.496, 4.3606, 74.6269, -0.6404, -0.3390, 8.1500, 3.9029, 115.72, 75.67
12.295, 4.4870, 69.2042, -0.6111, -0.3056, 8.3543, 3.9439, 120.11, 80.38
13.168, 4.5050, 69.0449, -0.7030, -0.3308, 8.7294, 4.1128, 122.23, 83.06
13.974, 4.2452, 75.2823, -0.6041, -0.3398, 7.6942, 3.7343, 113.91, 74.10
14.809, 4.4351, 68.8863, -0.6969, -0.3280, 8.5108, 4.0413, 122.41, 83.46
15.572, 4.4852, 74.4417, -0.5928, -0.3162, 8.1352, 3.8413, 115.60, 75.84
16.385, 4.4923, 71.7703, -0.6920, -0.3460, 8.3571, 3.9429, 121.19, 83.16
17.147, 4.0838, 77.9221, -0.5683, -0.3247, 6.9794, 3.4537, 110.75, 72.60
17.878, 4.2230, 75.2823, -0.6063, -0.3898, 7.5792, 3.6882, 119.11, 82.35
18.638, 3.9644, 77.7202, -0.6758, -0.3611, 6.7598, 3.3950, 114.20, 78.31
20.088, 4.2559, 78.1250, -0.6079, -0.3039, 8.0056, 3.8806, 116.82, 79.32
20.822, 4.2000, 84.9858, -0.6226, -0.3544, 7.8227, 3.8171, 117.20, 80.57
22.257, 4.2178, 82.5309, -0.6294, -0.3597, 7.7952, 3.7956, 119.25, 83.10
23.058, 3.8830, 84.6262, -0.7184, -0.3592, 6.4863, 3.2917, 110.73, 75.29
23.825, 4.0447, 81.7439, -0.6592, -0.3296, 6.9149, 3.4383, 108.70, 71.09
24.594, 4.2384, 75.1880, -0.6454, -0.3012, 7.5810, 3.6823, 114.17, 76.71
25.371, 4.2469, 78.0234, -0.6437, -0.3433, 7.8403, 3.8045, 115.57, 78.05
26.136, 4.1269, 77.6197, -0.6371, -0.3398, 7.2855, 3.5863, 114.05, 76.92
26.938, 4.0175, 78.9474, -0.6902, -0.3451, 7.0245, 3.5046, 113.12, 76.38
27.697, 4.2168, 77.6197, -0.6172, -0.3292, 7.4355, 3.6209, 112.52, 74.43
28.508, 4.2832, 74.4417, -0.6957, -0.3478, 7.7726, 3.7556, 117.27, 80.04
29.298, 3.9948, 78.8436, -0.6510, -0.3255, 7.0199, 3.5122, 110.68, 72.74
30.142, 4.3249, 74.0741, -0.6684, -0.3342, 7.9613, 3.8282, 116.63, 78.42
30.906, 4.2926, 75.1880, -0.5865, -0.3519, 7.8055, 3.7674, 115.69, 76.83
31.711, 4.3907, 71.6846, -0.6902, -0.3451, 8.1803, 3.9040, 121.45, 83.76
