経過時間_秒, Green, SinWave
0.003, 6.80, 8.28
0.062, 7.82, 9.41
0.100, 8.93, 9.73
0.132, 9.59, 9.74
0.166, 9.71, 9.49
0.205, 9.47, 8.89
0.234, 9.10, 8.26
0.270, 8.73, 13.22
0.304, 8.38, 9.33
0.335, 8.02, 8.89
0.368, 7.60, 8.27
0.398, 7.08, 7.59
0.440, 6.45, 6.50
0.466, 5.73, 5.77
0.506, 4.83, 4.61
0.540, 3.27, 3.65
0.572, 1.45, 2.81
0.610, 1.10, 1.92
0.632, 0.59, 1.37
0.663, 0.67, 0.77
0.706, 1.49, 0.45
0.737, 3.00, 0.60
0.772, 5.20, 1.16
0.801, 6.88, 1.90
0.841, 7.89, 3.23
0.871, 9.07, 4.38
0.909, 9.58, 5.89
0.939, 9.52, 7.03
0.972, 9.09, 8.13
1.019, 8.58, 8.36
1.039, 8.17, 8.34
1.070, 7.84, 8.95
1.107, 7.60, 9.46
1.139, 7.34, 9.69
1.170, 6.98, 9.71
1.207, 6.47, 9.48
1.242, 5.80, 9.01
1.274, 4.91, 8.39
1.307, 3.25, 7.60
1.341, 1.47, 6.66
1.368, 1.27, 5.86
1.406, 0.99, 4.69
1.436, 0.53, 3.79
1.472, 0.46, 2.78
1.512, 1.07, 1.82
1.542, 2.64, 1.22
1.569, 5.19, 0.84
1.605, 6.41, 0.59
1.649, 7.31, 0.70
1.669, 8.34, 0.90
1.705, 9.32, 1.49
1.739, 9.75, 2.27
1.772, 9.74, 3.19
1.804, 9.50, 4.20
1.839, 9.20, 8.14
1.877, 8.91, 7.21
1.904, 8.63, 6.19
1.940, 8.32, 4.74
1.972, 7.96, 3.49
2.006, 7.49, 2.28
2.042, 6.94, 1.30
2.076, 6.32, 0.69
2.106, 5.28, 0.44
2.142, 3.54, 0.51
2.173, 1.41, 0.88
2.204, 1.21, 1.52
2.243, 0.99, 2.65
2.272, 0.50, 3.66
2.308, 0.52, 5.01
2.341, 1.22, 6.26
2.374, 2.73, 7.43
2.406, 4.99, 8.40
2.451, 6.66, 9.41
2.482, 7.59, 9.74
2.509, 8.68, 9.75
2.533, 9.46, 9.56
2.568, 9.66, 8.93
2.617, 9.46, 7.49
2.650, 9.08, 6.27
2.679, 8.70, 9.78
2.702, 8.36, 9.28
2.745, 8.04, 8.50
2.775, 7.66, 7.73
2.808, 7.21, 6.74
2.850, 6.64, 5.34
2.887, 5.97, 4.09
2.911, 5.19, 3.30
2.950, 3.79, 2.17
2.976, 1.40, 1.52
3.010, 1.20, 0.89
3.037, 0.98, 0.59
3.073, 0.49, 0.51
3.110, 0.44, 0.80
3.138, 1.02, 1.26
3.169, 2.35, 1.99
3.206, 4.42, 3.09
3.251, 6.62, 4.64
3.275, 7.53, 5.51
3.307, 8.62, 6.63
3.340, 9.43, 7.68
3.379, 9.65, 8.68
3.415, 9.47, 9.30
3.444, 9.12, 9.59
3.472, 8.77, 10.14
3.512, 8.48, 9.66
3.545, 8.17, 9.49
3.576, 7.84, 9.10
3.610, 7.41, 8.45
3.644, 6.84, 7.59
3.691, 6.17, 6.16
3.719, 5.37, 5.24
3.740, 4.01, 4.54
3.772, 1.63, 3.50
3.806, 1.30, 2.49
3.837, 0.88, 1.70
3.877, 0.53, 0.89
3.908, 0.78, 0.54
3.944, 1.73, 0.45
3.976, 3.44, 0.67
4.010, 5.86, 1.20
4.040, 7.10, 1.90
4.075, 8.18, 2.91
4.121, 9.22, 4.47
4.146, 9.65, 5.37
4.185, 9.55, 6.72
4.217, 9.19, 7.73
4.246, 8.75, 9.15
4.282, 8.35, 9.52
4.311, 7.99, 9.16
4.343, 7.59, 8.51
4.380, 7.13, 7.49
4.419, 6.54, 6.19
4.439, 5.81, 5.47
4.486, 4.99, 3.79
4.515, 3.76, 2.82
4.544, 1.61, 1.97
4.584, 1.39, 1.08
4.616, 1.13, 0.65
4.644, 0.62, 0.51
4.685, 0.45, 0.70
4.714, 0.93, 1.11
4.752, 2.10, 1.95
4.786, 4.04, 2.95
4.817, 6.51, 4.00
4.843, 7.43, 4.92
4.883, 8.52, 6.35
4.910, 9.34, 7.25
4.942, 9.56, 8.19
4.983, 9.30, 9.12
5.008, 8.81, 9.45
5.055, 8.30, 9.42
5.076, 7.80, 8.98
5.112, 7.29, 8.21
5.146, 6.74, 7.26
5.177, 6.12, 6.25
5.218, 5.40, 4.83
5.253, 4.58, 3.62
5.277, 3.70, 2.84
5.317, 2.12, 1.72
5.343, 1.37, 1.10
5.383, 1.21, 0.53
5.418, 0.82, 0.47
5.454, 0.50, 0.82
5.485, 0.70, 1.44
5.518, 1.49, 2.38
5.554, 2.92, 3.64
5.583, 4.85, 4.76
5.619, 7.07, 6.15
5.653, 8.23, 7.37
5.689, 9.23, 8.43
5.719, 9.65, 9.03
5.751, 9.53, 9.43
5.784, 9.16, 9.56
5.815, 8.72, 8.92
5.853, 8.31, 9.65
5.880, 7.92, 9.60
5.921, 7.50, 9.20
5.950, 7.04, 8.71
5.983, 6.46, 7.95
6.021, 5.79, 6.90
6.055, 5.03, 5.84
6.091, 3.86, 4.66
6.119, 1.75, 3.77
6.153, 1.22, 2.75
6.188, 0.61, 1.85
6.218, 0.51, 1.13
6.251, 1.13, 0.64
6.286, 2.49, 0.49
6.319, 4.48, 0.73
6.353, 6.64, 1.33
6.384, 7.64, 2.16
6.419, 8.84, 3.33
6.453, 9.53, 4.61
6.486, 9.60, 5.90
6.517, 9.24, 7.05
6.552, 8.74, 8.18
6.587, 8.24, 9.07
6.612, 7.80, 9.31
6.653, 7.36, 8.59
6.686, 6.87, 7.74
6.719, 6.28, 6.72
6.754, 5.55, 5.51
6.783, 4.70, 4.49
6.826, 3.74, 3.03
6.852, 1.97, 2.25
6.885, 1.39, 1.38
6.919, 1.20, 0.75
6.954, 0.98, 0.50
6.980, 0.54, 0.59
7.014, 0.60, 1.06
7.055, 1.31, 2.08
7.084, 2.79, 3.04
7.120, 4.98, 4.41
7.153, 6.77, 5.72
7.190, 7.70, 7.12
7.220, 8.81, 8.10
7.253, 9.53, 8.88
7.288, 9.68, 9.40
7.322, 9.46, 9.60
7.353, 9.10, 9.50
7.388, 8.71, 10.00
7.420, 8.34, 8.98
7.455, 7.93, 8.19
7.487, 7.48, 7.26
7.525, 6.93, 5.97
7.555, 6.29, 4.95
7.586, 5.55, 3.87
7.620, 4.60, 2.76
7.659, 2.98, 1.68
7.689, 1.44, 1.02
7.719, 1.24, 0.63
7.752, 1.08, 0.54
7.785, 0.70, 0.82
7.827, 0.46, 1.67
7.858, 0.74, 2.58
7.888, 1.67, 3.68
7.924, 3.27, 5.03
7.955, 5.29, 6.24
7.987, 7.26, 7.40
8.019, 8.35, 8.39
8.055, 9.28, 9.13
8.087, 9.60, 9.54
8.126, 9.38, 9.67
8.166, 8.94, 9.37
8.188, 8.44, 9.35
8.220, 7.96, 9.30
8.253, 7.48, 8.73
8.289, 6.95, 7.83
8.322, 6.33, 6.80
8.354, 5.57, 5.69
8.392, 4.69, 4.32
8.422, 3.73, 3.28
8.459, 2.17, 2.13
8.495, 1.51, 1.27
8.520, 1.29, 0.83
8.553, 1.14, 0.51
8.588, 0.92, 0.49
8.629, 0.44, 0.88
8.659, 0.37, 1.43
8.691, 0.87, 2.24
8.725, 2.03, 3.28
8.758, 3.78, 4.41
8.787, 5.82, 5.43
8.827, 7.64, 6.80
8.856, 8.82, 7.70
8.888, 9.52, 8.53
8.918, 9.61, 9.12
8.960, 9.27, 9.56
8.992, 8.80, 9.56
9.024, 8.32, 9.47
9.058, 7.91, 8.98
9.091, 7.49, 8.32
9.122, 7.03, 7.54
9.167, 6.47, 6.20
9.185, 5.78, 5.62
9.226, 4.99, 4.28
9.260, 4.11, 3.21
9.291, 2.44, 2.32
9.320, 1.37, 1.57
9.353, 1.16, 0.82
9.390, 1.04, 0.39
9.423, 0.67, 0.42
9.458, 0.46, 0.86
9.492, 0.79, 1.66
9.523, 1.81, 2.64
9.556, 3.57, 3.88
9.601, 5.86, 5.69
9.629, 7.23, 6.78
9.657, 8.31, 7.77
9.690, 9.28, 8.63
9.724, 9.62, 9.20
9.756, 9.46, 9.52
9.791, 9.03, 9.60
9.828, 8.54, 9.00
9.860, 8.07, 9.65
9.890, 7.63, 9.55
9.938, 7.19, 9.02
9.972, 6.67, 8.41
10.001, 6.07, 7.75
10.024, 5.35, 7.15
10.061, 4.52, 6.09
10.087, 3.16, 5.31
10.120, 1.53, 4.31
10.163, 1.34, 3.07
10.194, 1.18, 2.26
10.235, 1.08, 1.27
10.263, 0.88, 0.76
10.291, 0.45, 0.49
10.325, 0.46, 0.53
10.360, 1.09, 0.98
10.397, 2.42, 1.86
10.438, 4.41, 3.22
10.454, 6.68, 3.82
10.496, 7.64, 5.47
10.523, 8.82, 6.52
10.565, 9.55, 7.98
10.591, 9.70, 8.61
10.633, 9.44, 9.27
10.661, 9.04, 9.53
10.696, 8.62, 9.26
10.729, 8.22, 8.49
10.768, 7.82, 7.49
10.795, 7.38, 6.68
10.826, 6.85, 5.68
10.868, 6.22, 4.28
10.885, 5.48, 3.73
10.924, 4.61, 2.56
10.962, 2.94, 1.56
10.994, 1.54, 0.88
11.034, 1.36, 0.46
11.056, 1.22, 0.46
11.097, 1.10, 0.89
11.135, 0.96, 1.74
11.162, 0.48, 2.57
11.194, 0.39, 3.72
11.235, 0.88, 5.32
11.259, 2.07, 6.26
11.293, 3.85, 7.50
11.327, 6.02, 8.50
11.360, 7.60, 9.14
11.402, 8.74, 9.62
11.427, 9.47, 9.71
11.464, 9.60, 9.57
11.496, 9.32, 9.19
11.525, 8.89, 8.66
11.565, 8.50, 9.82
11.605, 8.17, 9.35
11.627, 7.87, 9.07
11.662, 7.54, 8.45
11.695, 7.15, 7.68
11.734, 6.64, 6.61
11.768, 6.03, 5.58
11.791, 5.31, 4.86
11.834, 3.96, 3.55
11.866, 1.55, 2.64
11.901, 1.43, 1.78
11.933, 1.21, 1.07
11.968, 0.76, 0.56
11.995, 0.47, 0.40
12.035, 0.79, 0.53
12.068, 1.82, 0.97
12.100, 3.64, 1.65
12.133, 6.02, 2.57
12.157, 7.24, 3.35
12.193, 8.34, 4.61
12.226, 9.28, 5.79
12.261, 9.60, 6.99
12.295, 9.43, 8.02
12.335, 9.01, 8.87
12.361, 8.58, 9.09
12.391, 8.19, 9.45
12.439, 7.84, 9.61
12.458, 7.48, 9.56
12.506, 7.05, 9.15
12.535, 6.51, 8.72
