経過時間_秒, Green, IBI, Smoothed_IBI, bpmSD, Smoothed_BPM
0.003, 6.80, 799.00, 793.91, 6.93, 75.58
0.062, 7.82, 799.00, 793.91, 6.93, 75.58
0.100, 8.93, 799.00, 793.91, 6.93, 75.58
0.132, 9.59, 799.00, 793.91, 6.93, 75.58
0.166, 9.71, 799.00, 793.91, 6.93, 75.58
0.205, 9.47, 799.00, 793.91, 7.25, 75.58
0.234, 9.10, 799.00, 793.91, 7.25, 75.58
0.270, 8.73, 799.00, 793.91, 7.25, 75.58
0.304, 8.38, 799.00, 793.91, 7.25, 75.58
0.335, 8.02, 799.00, 793.91, 7.25, 75.58
0.368, 7.60, 799.00, 793.91, 7.25, 75.58
0.398, 7.08, 799.00, 793.91, 7.25, 75.58
0.440, 6.45, 799.00, 793.91, 7.25, 75.58
0.466, 5.73, 799.00, 793.91, 7.25, 75.58
0.506, 4.83, 799.00, 793.91, 7.25, 75.58
0.540, 3.27, 799.00, 793.91, 7.25, 75.58
0.572, 1.45, 799.00, 793.91, 7.25, 75.58
0.610, 1.10, 799.00, 793.91, 7.25, 75.58
0.632, 0.59, 799.00, 793.91, 7.25, 75.58
0.663, 0.67, 799.00, 793.91, 7.25, 75.58
0.706, 1.49, 799.00, 793.91, 7.25, 75.58
0.737, 3.00, 799.00, 793.91, 7.25, 75.58
0.772, 5.20, 799.00, 793.91, 7.25, 75.58
0.801, 6.88, 799.00, 793.91, 7.25, 75.58
0.841, 7.89, 799.00, 793.91, 7.25, 75.58
0.871, 9.07, 799.00, 793.91, 7.25, 75.58
0.909, 9.58, 799.00, 793.91, 7.25, 75.58
0.939, 9.52, 734.00, 763.95, 7.31, 78.54
0.972, 9.09, 734.00, 763.95, 7.31, 78.54
1.019, 8.58, 734.00, 763.95, 7.31, 78.54
1.039, 8.17, 734.00, 763.95, 7.31, 78.54
1.070, 7.84, 734.00, 763.95, 7.31, 78.54
1.107, 7.60, 734.00, 763.95, 7.31, 78.54
1.139, 7.34, 734.00, 763.95, 7.31, 78.54
1.170, 6.98, 734.00, 763.95, 7.31, 78.54
1.207, 6.47, 734.00, 763.95, 7.31, 78.54
1.242, 5.80, 734.00, 763.95, 7.31, 78.54
1.274, 4.91, 734.00, 763.95, 7.31, 78.54
1.307, 3.25, 734.00, 763.95, 7.31, 78.54
1.341, 1.47, 734.00, 763.95, 7.31, 78.54
1.368, 1.27, 734.00, 763.95, 7.31, 78.54
1.406, 0.99, 734.00, 763.95, 7.31, 78.54
1.436, 0.53, 734.00, 763.95, 7.31, 78.54
1.472, 0.46, 734.00, 763.95, 7.31, 78.54
1.512, 1.07, 734.00, 763.95, 7.31, 78.54
1.542, 2.64, 734.00, 763.95, 7.31, 78.54
1.569, 5.19, 734.00, 763.95, 7.31, 78.54
1.605, 6.41, 734.00, 763.95, 7.31, 78.54
