経過時間_秒, Green, IBI, Smoothed_IBI, bpmSD, Smoothed_BPM
0.007, 1.10, 832.00, 804.47, 9.58, 74.58
0.064, 0.64, 832.00, 804.47, 9.58, 74.58
0.085, 0.67, 832.00, 804.47, 9.58, 74.58
0.099, 1.30, 832.00, 804.47, 9.58, 74.58
0.142, 2.41, 832.00, 804.47, 9.58, 74.58
0.172, 3.88, 832.00, 804.47, 9.58, 74.58
0.200, 5.42, 832.00, 804.47, 9.58, 74.58
0.231, 6.81, 832.00, 804.47, 9.58, 74.58
0.266, 7.75, 832.00, 804.47, 9.58, 74.58
0.304, 7.93, 832.00, 804.47, 9.58, 74.58
0.332, 7.73, 832.00, 804.47, 10.66, 74.58
0.365, 7.39, 832.00, 804.47, 10.66, 74.58
0.411, 6.94, 832.00, 804.47, 10.66, 74.58
0.438, 5.96, 832.00, 804.47, 10.66, 74.58
0.466, 5.11, 832.00, 804.47, 10.66, 74.58
0.501, 4.21, 832.00, 804.47, 10.66, 74.58
0.538, 3.16, 832.00, 804.47, 10.66, 74.58
0.570, 2.12, 832.00, 804.47, 10.66, 74.58
0.606, 2.11, 832.00, 804.47, 10.66, 74.58
0.634, 1.93, 832.00, 804.47, 10.66, 74.58
0.677, 1.82, 832.00, 804.47, 10.66, 74.58
0.703, 1.23, 832.00, 804.47, 10.66, 74.58
0.733, 0.57, 832.00, 804.47, 10.66, 74.58
0.771, 0.34, 832.00, 804.47, 10.66, 74.58
0.804, 0.65, 832.00, 804.47, 10.66, 74.58
0.832, 1.37, 832.00, 804.47, 10.66, 74.58
0.869, 2.38, 832.00, 804.47, 10.66, 74.58
0.904, 3.51, 832.00, 804.47, 10.66, 74.58
0.935, 4.72, 832.00, 804.47, 10.66, 74.58
0.971, 5.79, 832.00, 804.47, 10.66, 74.58
0.999, 6.56, 832.00, 804.47, 10.66, 74.58
1.038, 6.95, 832.00, 804.47, 10.66, 74.58
1.066, 7.25, 832.00, 804.47, 10.66, 74.58
1.101, 7.41, 832.00, 804.47, 10.66, 74.58
1.139, 7.95, 832.00, 804.47, 10.66, 74.58
1.165, 7.97, 832.00, 804.47, 10.66, 74.58
1.198, 7.55, 832.00, 804.47, 9.98, 74.58
1.246, 6.90, 832.00, 804.47, 9.98, 74.58
1.279, 6.15, 832.00, 804.47, 9.98, 74.58
1.303, 5.02, 832.00, 804.47, 9.98, 74.58
1.338, 3.60, 832.00, 804.47, 9.98, 74.58
1.372, 2.18, 832.00, 804.47, 9.98, 74.58
1.412, 1.05, 832.00, 804.47, 9.98, 74.58
1.434, 0.70, 832.00, 804.47, 9.98, 74.58
1.468, 1.39, 832.00, 804.47, 9.98, 74.58
1.501, 3.22, 832.00, 804.47, 9.98, 74.58
1.544, 5.51, 832.00, 804.47, 9.98, 74.58
1.568, 6.67, 832.00, 804.47, 9.98, 74.58
1.602, 7.93, 832.00, 804.47, 9.98, 74.58
1.638, 9.13, 832.00, 804.47, 9.98, 74.58
1.668, 9.66, 832.00, 804.47, 9.98, 74.58
1.701, 9.57, 832.00, 804.47, 13.14, 74.58
1.736, 9.13, 832.00, 804.47, 13.14, 74.58
1.773, 8.54, 832.00, 804.47, 13.14, 74.58
1.801, 7.92, 832.00, 804.47, 13.14, 74.58
1.833, 7.29, 832.00, 804.47, 13.14, 74.58
1.873, 6.60, 832.00, 804.47, 13.14, 74.58
1.901, 5.77, 832.00, 804.47, 13.14, 74.58
1.935, 4.78, 832.00, 804.47, 13.14, 74.58
1.970, 3.62, 832.00, 804.47, 13.14, 74.58
2.004, 2.40, 832.00, 804.47, 13.14, 74.58
2.052, 1.78, 832.00, 804.47, 13.14, 74.58
2.070, 1.45, 832.00, 804.47, 13.14, 74.58
2.102, 0.88, 832.00, 804.47, 13.14, 74.58
2.135, 0.50, 832.00, 804.47, 13.14, 74.58
2.178, 0.77, 832.00, 804.47, 13.14, 74.58
2.212, 1.65, 832.00, 804.47, 13.14, 74.58
2.235, 3.10, 832.00, 804.47, 13.14, 74.58
2.267, 4.87, 832.00, 804.47, 13.14, 74.58
2.308, 6.87, 832.00, 804.47, 13.14, 74.58
2.347, 8.32, 832.00, 804.47, 13.14, 74.58
2.379, 9.28, 832.00, 804.47, 13.14, 74.58
2.410, 9.67, 832.00, 804.47, 13.14, 74.58
2.437, 9.87, 832.00, 804.47, 13.14, 74.58
2.471, 9.92, 832.00, 804.47, 13.14, 74.58
2.506, 9.95, 832.00, 804.47, 13.14, 74.58
2.536, 9.93, 832.00, 804.47, 13.31, 74.58
2.572, 9.87, 832.00, 804.47, 13.31, 74.58
2.607, 9.59, 832.00, 804.47, 13.31, 74.58
2.642, 9.16, 832.00, 804.47, 13.31, 74.58
2.672, 8.45, 832.00, 804.47, 13.31, 74.58
2.706, 7.63, 832.00, 804.47, 13.31, 74.58
2.739, 6.77, 832.00, 804.47, 13.31, 74.58
2.770, 5.60, 832.00, 804.47, 13.31, 74.58
2.813, 4.05, 832.00, 804.47, 13.31, 74.58
2.837, 2.43, 832.00, 804.47, 13.31, 74.58
2.879, 2.49, 832.00, 804.47, 13.31, 74.58
2.901, 4.69, 832.00, 804.47, 13.31, 74.58
2.938, 5.71, 832.00, 804.47, 13.31, 74.58
2.979, 6.55, 832.00, 804.47, 13.31, 74.58
3.004, 7.27, 832.00, 804.47, 13.31, 74.58
3.040, 8.27, 832.00, 804.47, 13.31, 74.58
3.072, 9.08, 832.00, 804.47, 13.31, 74.58
3.104, 9.53, 832.00, 804.47, 13.31, 74.58
3.139, 9.73, 832.00, 804.47, 13.31, 74.58
3.179, 9.72, 832.00, 804.47, 13.26, 74.58
3.203, 9.84, 832.00, 804.47, 13.26, 74.58
3.247, 9.91, 832.00, 804.47, 13.26, 74.58
3.269, 9.92, 832.00, 804.47, 13.26, 74.58
3.312, 9.80, 832.00, 804.47, 13.26, 74.58
3.346, 9.58, 832.00, 804.47, 13.26, 74.58
3.372, 9.22, 832.00, 804.47, 13.26, 74.58
3.413, 8.74, 832.00, 804.47, 13.26, 74.58
3.438, 8.16, 832.00, 804.47, 13.26, 74.58
3.479, 7.32, 832.00, 804.47, 13.26, 74.58
3.505, 5.95, 832.00, 804.47, 13.26, 74.58
3.549, 3.99, 832.00, 804.47, 13.26, 74.58
3.579, 0.98, 832.00, 804.47, 13.26, 74.58
3.606, 0.89, 832.00, 804.47, 13.26, 74.58
3.640, 1.95, 832.00, 804.47, 13.26, 74.58
3.680, 4.05, 832.00, 804.47, 13.26, 74.58
3.712, 5.62, 832.00, 804.47, 13.26, 74.58
3.740, 6.59, 832.00, 804.47, 13.26, 74.58
3.774, 7.61, 832.00, 804.47, 13.26, 74.58
3.811, 8.59, 832.00, 804.47, 13.26, 74.58
3.847, 9.43, 832.00, 804.47, 13.26, 74.58
3.883, 9.84, 832.00, 804.47, 13.26, 74.58
3.905, 9.93, 832.00, 804.47, 13.26, 74.58
3.944, 9.86, 766.00, 785.24, 13.27, 76.41
3.971, 9.66, 766.00, 785.24, 13.27, 76.41
4.014, 9.35, 766.00, 785.24, 13.27, 76.41
4.047, 8.94, 766.00, 785.24, 13.27, 76.41
4.071, 8.36, 766.00, 785.24, 13.27, 76.41
4.107, 7.67, 766.00, 785.24, 13.27, 76.41
4.144, 6.85, 766.00, 785.24, 13.27, 76.41
4.179, 5.99, 766.00, 785.24, 13.27, 76.41
4.206, 4.95, 766.00, 785.24, 13.27, 76.41
4.244, 3.42, 766.00, 785.24, 13.27, 76.41
4.281, 1.19, 766.00, 785.24, 13.27, 76.41
4.311, 0.67, 766.00, 785.24, 13.27, 76.41
4.346, 0.86, 766.00, 785.24, 13.27, 76.41
4.371, 1.93, 766.00, 785.24, 13.27, 76.41
4.405, 3.87, 766.00, 785.24, 13.27, 76.41
4.452, 5.96, 766.00, 785.24, 13.27, 76.41
4.478, 7.00, 766.00, 785.24, 13.27, 76.41
4.516, 7.95, 766.00, 785.24, 13.27, 76.41
4.545, 8.89, 766.00, 785.24, 13.27, 76.41
4.579, 9.54, 766.00, 785.24, 13.27, 76.41
4.611, 9.75, 766.00, 785.24, 13.27, 76.41
4.645, 9.66, 700.00, 742.62, 13.07, 80.80
4.682, 9.44, 700.00, 742.62, 13.07, 80.80
4.716, 9.16, 700.00, 742.62, 13.07, 80.80
4.750, 8.84, 700.00, 742.62, 13.07, 80.80
4.779, 8.45, 700.00, 742.62, 13.07, 80.80
4.805, 7.92, 700.00, 742.62, 13.07, 80.80
4.847, 7.32, 700.00, 742.62, 13.07, 80.80
4.879, 6.60, 700.00, 742.62, 13.07, 80.80
4.912, 5.81, 700.00, 742.62, 13.07, 80.80
4.947, 4.73, 700.00, 742.62, 13.07, 80.80
4.981, 3.16, 700.00, 742.62, 13.07, 80.80
5.013, 1.01, 700.00, 742.62, 13.07, 80.80
5.044, 0.92, 700.00, 742.62, 13.07, 80.80
5.082, 2.18, 700.00, 742.62, 13.07, 80.80
5.108, 4.32, 700.00, 742.62, 13.07, 80.80
5.145, 6.02, 700.00, 742.62, 13.07, 80.80
5.180, 6.90, 700.00, 742.62, 13.07, 80.80
5.211, 7.87, 700.00, 742.62, 13.07, 80.80
5.246, 8.95, 700.00, 742.62, 13.07, 80.80
5.282, 9.65, 700.00, 742.62, 13.07, 80.80
5.310, 9.91, 700.00, 742.62, 13.07, 80.80
5.346, 9.86, 701.00, 721.81, 13.04, 83.12
5.379, 9.68, 701.00, 721.81, 13.04, 83.12
