経過時間_秒, Green, IBI, Smoothed_IBI, bpmSD, Smoothed_BPM
0.021, 6.55, 602.00, 301.00, 27.66, 199.34
0.100, 7.62, 602.00, 301.00, 27.66, 199.34
0.123, 8.62, 602.00, 301.00, 27.66, 199.34
0.157, 9.37, 602.00, 301.00, 27.66, 199.34
0.186, 9.54, 602.00, 301.00, 27.66, 199.34
0.231, 9.35, 602.00, 301.00, 26.95, 199.34
0.261, 9.00, 602.00, 301.00, 26.95, 199.34
0.293, 8.70, 602.00, 301.00, 26.95, 199.34
0.323, 8.36, 602.00, 301.00, 26.95, 199.34
0.362, 7.96, 602.00, 301.00, 26.95, 199.34
0.391, 7.40, 602.00, 301.00, 26.95, 199.34
0.432, 6.75, 602.00, 301.00, 26.95, 199.34
0.456, 6.00, 602.00, 301.00, 26.95, 199.34
0.498, 5.25, 602.00, 301.00, 26.95, 199.34
0.525, 4.53, 602.00, 301.00, 26.95, 199.34
0.556, 3.25, 602.00, 301.00, 26.95, 199.34
0.606, 1.19, 602.00, 301.00, 26.95, 199.34
0.635, 1.17, 602.00, 301.00, 26.95, 199.34
0.670, 1.18, 602.00, 301.00, 26.95, 199.34
0.684, 1.14, 602.00, 301.00, 26.95, 199.34
0.727, 0.98, 602.00, 301.00, 26.95, 199.34
0.765, 0.89, 602.00, 301.00, 26.95, 199.34
0.790, 0.95, 602.00, 301.00, 26.95, 199.34
0.820, 0.64, 602.00, 301.00, 26.95, 199.34
0.855, 0.47, 602.00, 301.00, 26.95, 199.34
0.892, 0.82, 602.00, 301.00, 26.95, 199.34
0.922, 1.88, 602.00, 301.00, 26.95, 199.34
0.953, 3.62, 602.00, 301.00, 26.95, 199.34
0.989, 5.96, 602.00, 301.00, 26.95, 199.34
1.024, 7.21, 602.00, 301.00, 26.95, 199.34
1.057, 8.24, 602.00, 301.00, 26.95, 199.34
1.090, 9.25, 602.00, 301.00, 26.95, 199.34
1.123, 9.70, 602.00, 301.00, 26.95, 199.34
1.159, 9.74, 602.00, 301.00, 26.95, 199.34
1.187, 9.51, 602.00, 301.00, 26.21, 199.34
1.221, 9.21, 602.00, 301.00, 26.21, 199.34
1.266, 8.92, 602.00, 301.00, 26.21, 199.34
1.297, 8.56, 602.00, 301.00, 26.21, 199.34
1.323, 8.17, 602.00, 301.00, 26.21, 199.34
1.358, 7.66, 602.00, 301.00, 26.21, 199.34
1.385, 7.07, 602.00, 301.00, 26.21, 199.34
1.418, 6.38, 602.00, 301.00, 26.21, 199.34
1.461, 5.63, 602.00, 301.00, 26.21, 199.34
1.499, 4.51, 602.00, 301.00, 26.21, 199.34
1.530, 2.56, 602.00, 301.00, 26.21, 199.34
1.563, 1.24, 602.00, 301.00, 26.21, 199.34
1.596, 1.13, 602.00, 301.00, 26.21, 199.34
1.623, 0.92, 602.00, 301.00, 26.21, 199.34
1.657, 0.90, 602.00, 301.00, 26.21, 199.34
1.698, 0.74, 602.00, 301.00, 26.21, 199.34
1.722, 0.71, 602.00, 301.00, 26.21, 199.34
1.754, 0.73, 602.00, 301.00, 26.21, 199.34
1.791, 0.69, 602.00, 301.00, 26.21, 199.34
1.829, 0.74, 602.00, 301.00, 26.21, 199.34
1.863, 0.41, 602.00, 301.00, 26.21, 199.34
