経過時間_秒, Green, SinWave
0.003, 0.74, 0.57
0.081, 0.74, 2.30
0.104, 0.58, 3.07
0.143, 0.41, 4.51
0.178, 0.79, 5.85
0.208, 1.90, 6.94
0.243, 3.83, 8.04
0.276, 6.28, 8.65
0.311, 7.15, 9.11
0.342, 8.18, 9.37
0.369, 9.16, 9.47
0.412, 9.56, 9.39
0.440, 9.39, 9.18
0.471, 8.95, 8.82
0.509, 8.47, 9.43
0.538, 8.01, 9.51
0.573, 7.65, 9.29
0.608, 7.28, 8.91
0.638, 6.87, 8.47
0.682, 6.41, 7.65
0.707, 5.85, 7.11
0.747, 5.27, 6.17
0.776, 4.41, 5.45
0.805, 2.74, 4.71
0.848, 0.99, 3.64
0.881, 0.95, 2.86
0.910, 0.87, 2.24
0.937, 0.92, 1.72
0.970, 0.97, 1.01
1.006, 0.93, 0.54
1.049, 0.90, 0.44
1.077, 0.88, -0.75
1.112, 0.65, 0.77
1.140, 0.46, 1.32
1.174, 0.79, 2.27
1.211, 1.80, 3.57
1.238, 3.56, 4.61
1.270, 6.01, 5.87
1.320, 7.24, 7.67
1.350, 8.53, 8.42
1.380, 9.41, 8.85
1.408, 9.64, 9.17
1.451, 9.33, 9.48
1.482, 8.86, 9.57
1.513, 8.37, 9.54
1.540, 8.04, 9.41
1.574, 7.78, 9.14
1.609, 7.51, 8.71
1.643, 7.20, 8.19
1.675, 6.68, 7.60
1.707, 6.08, 6.94
1.747, 5.42, 6.04
1.771, 4.37, 5.48
1.813, 2.46, 4.48
1.851, 1.18, 3.59
1.883, 1.08, 2.89
1.916, 0.96, 2.22
1.947, 0.98, 1.62
1.983, 0.88, 0.83
2.014, 0.88, 0.47
2.047, 0.87, 0.44
2.078, 0.66, 0.74
2.116, 0.48, 1.52
2.150, 0.91, 2.53
2.182, 2.04, 3.68
2.216, 3.97, 5.01
2.248, 6.35, 6.26
2.282, 7.20, 7.48
2.308, 8.28, 8.25
2.342, 9.28, 8.77
2.377, 9.72, 9.18
2.412, 9.71, 9.44
2.454, 9.53, 9.57
2.481, 9.33, 9.57
2.518, 9.19, 9.49
2.542, 9.02, 9.38
2.582, 8.77, 9.06
