経過時間_秒, Green, SinWave
0.019, 6.14, 0.15
0.094, 5.26, 0.93
0.113, 3.90, 1.30
0.145, 1.96, 2.07
0.177, 2.00, 2.96
0.211, 3.03, 3.98
0.258, 4.12, 5.40
0.275, 5.05, 5.88
0.310, 5.90, 6.77
0.343, 7.11, 7.29
0.376, 8.33, 7.65
0.405, 9.74, 7.89
0.447, 9.83, 8.10
0.483, 9.72, 8.14
0.514, 9.60, 8.07
0.544, 9.38, 8.74
0.579, 9.12, 9.84
0.607, 8.79, 9.80
0.643, 8.33, 9.65
0.680, 7.79, 9.36
0.715, 6.92, 8.98
0.743, 5.50, 8.61
0.776, 3.32, 8.11
0.815, 1.65, 7.43
0.846, 1.58, 6.86
0.880, 1.73, 6.20
0.912, 1.40, 5.57
0.948, 1.24, 4.88
0.979, 1.05, 4.30
1.015, 0.88, 3.68
1.043, 0.59, 3.25
1.078, 0.26, 2.68
1.111, 0.30, 2.26
1.143, 0.28, 2.02
1.178, 0.72, 1.96
1.216, 1.84, 2.14
1.257, 3.91, 2.60
1.284, 6.02, 3.04
1.313, 6.75, 3.61
1.351, 7.44, 4.49
1.380, 8.26, 5.23
1.415, 9.05, 6.15
1.447, 9.51, 6.97
1.484, 9.66, 7.87
1.511, 9.66, 8.45
1.547, 9.74, 8.99
1.579, 9.83, 9.34
1.611, 9.91, 9.61
1.646, 9.94, 9.78
1.687, 9.89, 9.83
1.713, 9.74, 9.78
1.749, 9.51, 12.48
1.782, 9.19, 7.20
1.814, 8.73, 6.34
1.849, 8.03, 5.36
1.884, 6.91, 4.36
1.915, 5.03, 3.51
1.948, 2.07, 2.65
1.982, 1.75, 1.87
2.014, 1.54, 1.25
2.046, 1.24, 0.76
2.078, 1.05, 0.43
2.109, 0.80, 0.26
2.155, 1.01, 0.32
2.182, 0.91, 0.52
2.216, 0.50, 0.93
2.252, 0.35, 1.56
2.291, 0.74, 2.41
2.317, 1.64, 3.06
2.349, 3.11, 3.92
2.380, 4.93, 4.80
2.419, 6.94, 5.92
2.445, 8.84, 6.64
2.484, 9.53, 7.65
2.515, 9.66, 8.36
2.552, 9.38, 9.05
2.575, 8.98, 9.40
2.620, 8.59, 3.15
2.646, 8.21, 5.66
2.680, 7.88, 6.45
2.715, 7.50, 7.22
2.752, 7.10, 7.98
2.780, 6.62, 8.48
2.816, 6.05, 9.09
2.850, 5.36, 9.53
2.884, 4.02, 9.82
2.911, 1.64, 9.93
2.957, 1.39, 9.87
2.986, 1.39, 9.68
3.016, 1.34, 9.36
3.046, 1.03, 8.92
3.079, 0.87, 8.32
3.114, 0.97, 7.57
3.153, 0.75, 6.61
3.186, 0.60, 5.78
3.216, 1.06, 4.99
3.251, 2.28, 4.07
3.285, 4.35, 3.22
3.313, 6.28, 2.56
3.351, 7.08, 1.78
3.380, 8.11, 1.32
3.414, 9.16, 0.89
3.459, 9.62, 0.51
3.486, 9.54, 0.39
3.513, 9.10, 0.35
3.551, 8.59, 7.62
3.581, 7.97, 8.96
3.614, 7.39, 8.40
3.650, 6.77, 7.63
3.695, 6.11, 6.50
3.724, 5.42, 5.70
3.748, 4.62, 5.03
3.791, 3.83, 3.84
3.819, 2.44, 3.10
3.860, 1.28, 2.15
3.883, 1.10, 1.61
3.927, 0.91, 0.81
3.950, 0.82, 0.62
3.983, 0.82, 0.66
4.016, 0.81, 1.06
4.058, 0.67, 2.01
4.091, 0.75, 3.05
4.120, 0.85, 4.10
4.156, 0.82, 5.48
4.186, 0.51, 6.62
4.218, 0.65, 3.95
4.260, 1.40, 5.33
4.293, 3.05, 6.50
4.324, 5.54, 7.51
4.350, 6.57, 8.24
4.392, 7.50, 8.95
4.416, 8.45, 9.25
4.458, 9.32, 9.56
4.491, 9.77, 9.62
4.524, 9.87, 9.50
4.552, 9.77, 9.27
4.591, 9.59, 8.77
4.617, 9.36, 8.32
4.651, 9.14, 7.62
4.689, 8.88, 6.72
4.727, 8.59, 5.74
4.758, 8.25, 4.91
4.786, 7.81, 4.17
4.825, 7.25, 3.17
4.849, 6.35, 2.61
4.883, 5.03, 1.89
4.940, 2.62, 0.78
4.964, 1.41, 0.55
4.986, 1.37, 0.48
5.024, 1.25, 0.69
5.049, 1.03, 1.04
5.085, 0.88, 1.82
5.118, 0.84, 2.77
5.150, 0.83, 3.83
5.184, 0.75, 5.04
5.226, 0.44, 6.53
5.258, 0.29, 7.57
5.283, 0.59, 8.27
5.318, 1.49, 8.87
5.363, 3.06, 9.39
5.392, 5.34, 9.57
5.420, 6.99, 9.62
5.461, 7.96, 9.47
5.484, 8.96, 9.27
5.515, 9.61, 8.89
5.546, 9.79, 8.38
5.583, 9.66, 7.62
