経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, Stiffness, E, SBP, DBP
0.057, 3.8376, 66.6667, -0.8079, -0.8701, 5.2014, 2.6552, 128.05, 99.42
2.131, 4.6588, 74.8130, -0.2486, -0.8701, 8.7440, 4.0511, 127.30, 97.95
8.409, 4.5490, 59.8205, -0.6722, -0.4278, 8.7632, 4.1087, 125.76, 97.52
16.191, 3.7478, 53.1444, -0.5991, -0.4992, 6.3637, 3.2872, 127.23, 100.10
17.835, 3.1850, 89.8204, -0.8906, -0.3958, 5.8664, 3.2872, 127.23, 100.10
22.841, 4.3130, 64.1711, -0.4231, -0.7991, 7.9324, 3.8195, 128.00, 99.88
34.305, 0.3704, 98.6842, -0.7662, -0.5473, 1.9967, 3.2809, 128.63, 96.53
36.677, 4.1268, 89.2857, -1.2629, -0.2745, 10.9474, 5.3890, 125.98, 96.90
38.952, 4.6483, 66.3717, -0.1731, -0.5769, 9.4546, 4.3853, 127.46, 98.32
39.489, 4.6483, 66.3717, -0.8409, -0.7780, 9.4546, 4.3853, 127.46, 98.32
42.757, 4.5269, 51.1945, -0.6760, -0.6145, 11.4799, 5.3956, 129.02, 100.43
43.554, 4.1476, 64.3777, -1.2953, -0.4935, 6.6469, 3.2638, 129.83, 96.19
47.870, 3.7823, 80.8625, -0.7657, -0.4594, 5.8135, 2.9893, 127.72, 96.70
55.348, 0.7199, 54.0541, -0.8034, -0.4944, 0.6438, 0.7587, 129.44, 99.40
