経過時間_秒, Green, IBI, Smoothed_IBI, bpmSD, Smoothed_BPM
0.057, 4.05, 531.00, 579.01, 46.65, 103.63
0.092, 2.20, 531.00, 579.01, 46.65, 103.63
0.129, 1.96, 531.00, 579.01, 46.65, 103.63
0.171, 1.74, 531.00, 579.01, 46.65, 103.63
0.190, 1.65, 531.00, 579.01, 46.65, 103.63
0.224, 1.52, 531.00, 579.01, 46.65, 103.63
0.258, 0.99, 531.00, 579.01, 46.65, 103.63
0.284, 0.54, 531.00, 579.01, 46.65, 103.63
0.328, 0.62, 531.00, 579.01, 46.65, 103.63
0.357, 1.33, 531.00, 579.01, 46.65, 103.63
0.399, 2.54, 531.00, 579.01, 46.65, 103.63
0.424, 4.04, 531.00, 579.01, 46.65, 103.63
0.464, 5.64, 531.00, 579.01, 46.65, 103.63
0.490, 7.23, 531.00, 579.01, 46.65, 103.63
0.521, 8.59, 531.00, 579.01, 46.65, 103.63
0.556, 9.61, 531.00, 579.01, 46.65, 103.63
0.599, 9.43, 531.00, 579.01, 47.25, 103.63
0.631, 8.96, 531.00, 579.01, 47.25, 103.63
0.659, 8.38, 531.00, 579.01, 47.25, 103.63
0.686, 7.76, 531.00, 579.01, 47.25, 103.63
0.730, 7.11, 531.00, 579.01, 47.25, 103.63
0.766, 6.44, 531.00, 579.01, 47.25, 103.63
0.791, 5.74, 531.00, 579.01, 47.25, 103.63
0.822, 5.02, 531.00, 579.01, 47.25, 103.63
0.863, 4.31, 531.00, 579.01, 47.25, 103.63
0.896, 3.62, 531.00, 579.01, 47.25, 103.63
0.923, 2.50, 531.00, 579.01, 47.25, 103.63
0.951, 1.16, 531.00, 579.01, 47.25, 103.63
0.988, 1.05, 531.00, 579.01, 47.25, 103.63
1.039, 0.91, 531.00, 579.01, 47.25, 103.63
1.065, 0.83, 531.00, 579.01, 47.25, 103.63
1.090, 0.77, 531.00, 579.01, 47.25, 103.63
1.130, 0.67, 531.00, 579.01, 47.25, 103.63
1.162, 0.53, 531.00, 579.01, 47.25, 103.63
1.190, 0.45, 531.00, 579.01, 47.25, 103.63
1.223, 0.23, 531.00, 579.01, 47.25, 103.63
1.264, 0.22, 531.00, 579.01, 47.25, 103.63
1.290, 0.49, 531.00, 579.01, 47.25, 103.63
1.322, 1.13, 531.00, 579.01, 47.25, 103.63
1.356, 2.12, 531.00, 579.01, 47.25, 103.63
1.396, 3.36, 531.00, 579.01, 47.25, 103.63
1.424, 4.75, 531.00, 579.01, 47.25, 103.63
1.455, 6.08, 531.00, 579.01, 47.25, 103.63
1.498, 7.11, 531.00, 579.01, 47.25, 103.63
1.530, 7.76, 531.00, 579.01, 47.25, 103.63
1.556, 8.42, 531.00, 579.01, 47.25, 103.63
1.590, 8.07, 531.00, 579.01, 47.37, 103.63
1.628, 7.72, 531.00, 579.01, 47.37, 103.63
1.665, 7.57, 531.00, 579.01, 47.37, 103.63
1.688, 7.53, 531.00, 579.01, 47.37, 103.63
1.730, 7.54, 531.00, 579.01, 47.37, 103.63
1.757, 7.48, 531.00, 579.01, 47.37, 103.63
1.797, 7.40, 531.00, 579.01, 47.37, 103.63
1.831, 7.25, 531.00, 579.01, 47.37, 103.63
1.857, 7.16, 531.00, 579.01, 47.37, 103.63
1.890, 6.78, 531.00, 579.01, 47.37, 103.63
1.932, 6.15, 531.00, 579.01, 47.37, 103.63
1.962, 5.12, 531.00, 579.01, 47.37, 103.63
1.999, 3.79, 531.00, 579.01, 47.37, 103.63
2.031, 5.40, 531.00, 579.01, 47.37, 103.63
2.058, 7.01, 531.00, 579.01, 47.37, 103.63
2.093, 7.86, 531.00, 579.01, 47.37, 103.63
2.131, 6.55, 540.00, 559.50, 46.33, 107.24
2.157, 5.70, 540.00, 559.50, 46.33, 107.24
2.199, 5.78, 540.00, 559.50, 46.33, 107.24
2.231, 6.28, 540.00, 559.50, 46.33, 107.24
2.264, 6.88, 540.00, 559.50, 46.33, 107.24
2.296, 7.42, 540.00, 559.50, 46.33, 107.24
2.330, 8.13, 540.00, 559.50, 46.33, 107.24
2.365, 8.84, 540.00, 559.50, 46.33, 107.24
2.400, 9.46, 540.00, 559.50, 46.33, 107.24
2.426, 9.76, 540.00, 559.50, 46.33, 107.24
2.464, 9.84, 540.00, 559.50, 46.33, 107.24
2.497, 9.82, 540.00, 559.50, 48.16, 107.24
2.530, 9.78, 540.00, 559.50, 48.16, 107.24
2.557, 9.79, 540.00, 559.50, 48.16, 107.24
2.595, 9.83, 540.00, 559.50, 48.16, 107.24
2.629, 9.90, 540.00, 559.50, 48.16, 107.24
2.674, 9.86, 540.00, 559.50, 48.16, 107.24
2.697, 9.71, 540.00, 559.50, 48.16, 107.24
2.731, 9.42, 540.00, 559.50, 48.16, 107.24
2.766, 8.98, 540.00, 559.50, 48.16, 107.24
2.799, 8.29, 540.00, 559.50, 48.16, 107.24
2.831, 7.25, 540.00, 559.50, 48.16, 107.24
2.857, 5.55, 540.00, 559.50, 48.16, 107.24
2.890, 2.52, 540.00, 559.50, 48.16, 107.24
2.931, 1.48, 540.00, 559.50, 48.16, 107.24
2.964, 1.36, 540.00, 559.50, 48.16, 107.24
3.003, 1.22, 540.00, 559.50, 48.16, 107.24
3.044, 1.11, 540.00, 559.50, 48.16, 107.24
3.063, 0.64, 540.00, 559.50, 48.16, 107.24
3.094, 0.57, 540.00, 559.50, 48.16, 107.24
3.131, 1.29, 540.00, 559.50, 48.16, 107.24
3.166, 2.92, 540.00, 559.50, 48.16, 107.24
3.191, 5.40, 540.00, 559.50, 48.16, 107.24
3.230, 6.37, 540.00, 559.50, 48.16, 107.24
3.265, 7.31, 540.00, 559.50, 48.16, 107.24
3.297, 8.36, 540.00, 559.50, 48.16, 107.24
3.329, 9.34, 540.00, 559.50, 48.16, 107.24
3.365, 9.74, 540.00, 559.50, 48.16, 107.24
3.400, 9.70, 540.00, 559.50, 43.33, 107.24
3.435, 9.45, 540.00, 559.50, 43.33, 107.24
3.469, 9.22, 540.00, 559.50, 43.33, 107.24
3.498, 9.07, 540.00, 559.50, 43.33, 107.24
3.534, 8.99, 540.00, 559.50, 43.33, 107.24
3.566, 8.93, 540.00, 559.50, 43.33, 107.24
3.598, 8.80, 540.00, 559.50, 43.33, 107.24
3.630, 8.56, 540.00, 559.50, 43.33, 107.24
3.668, 8.18, 540.00, 559.50, 43.33, 107.24
3.699, 7.66, 540.00, 559.50, 43.33, 107.24
3.732, 6.78, 540.00, 559.50, 43.33, 107.24
3.768, 5.31, 540.00, 559.50, 43.33, 107.24
3.797, 2.72, 540.00, 559.50, 43.33, 107.24
3.829, 1.71, 540.00, 559.50, 43.33, 107.24
3.871, 1.51, 540.00, 559.50, 43.33, 107.24
