経過時間_秒, Green, SinWave
0.061, 1.46, 0.30
0.074, 1.35, 0.26
0.095, 1.28, 0.31
0.132, 1.09, 0.66
0.166, 0.56, 1.29
0.193, 0.25, 1.95
0.232, 0.33, 3.12
0.267, 0.81, 4.29
0.296, 1.63, 5.29
0.331, 2.89, 6.45
0.361, 4.48, 7.35
0.399, 6.18, 8.46
0.429, 8.00, 9.06
0.460, 8.97, 9.13
0.494, 9.31, 8.54
0.528, 9.65, 7.36
0.562, 9.72, 5.77
0.596, 9.56, 4.01
0.632, 9.16, 2.28
0.665, 8.67, 0.67
0.697, 8.10, 0.47
0.729, 7.43, 0.26
0.756, 6.81, 0.31
0.795, 6.17, 0.76
0.831, 5.37, 1.53
0.861, 4.11, 2.39
0.897, 2.14, 3.60
0.928, 1.57, 4.73
0.961, 1.36, 5.96
0.996, 0.73, 7.18
1.028, 0.54, 8.16
1.064, 0.88, 9.27
1.093, 1.88, 9.70
1.133, 3.36, 9.41
1.163, 5.28, 8.55
1.194, 7.34, 7.21
1.227, 8.19, 5.47
1.261, 8.87, 3.60
1.297, 9.31, 1.87
1.330, 9.68, 1.00
1.361, 9.81, 0.50
1.395, 9.79, 0.26
1.429, 9.60, 0.36
1.464, 9.37, 0.45
1.496, 9.02, 0.99
1.532, 8.65, 1.97
1.561, 8.18, 2.97
1.599, 7.63, 4.48
1.632, 6.95, 5.83
1.663, 5.97, 7.04
1.695, 4.54, 8.14
1.732, 2.05, 9.20
1.767, 1.26, 9.69
1.798, 0.64, 9.63
1.831, 0.62, 9.05
1.864, 1.41, 8.00
1.895, 2.89, 6.71
1.930, 5.02, 5.05
1.964, 6.64, 3.43
2.000, 7.62, 1.92
2.032, 8.34, 1.01
2.063, 8.83, 0.47
2.098, 9.20, 0.25
2.134, 9.65, 0.48
2.170, 9.85, 1.15
2.199, 9.84, 1.97
2.235, 9.61, 3.24
2.264, 9.23, 14.30
2.297, 8.69, 9.38
2.328, 8.07, 8.68
2.361, 7.41, 7.66
2.397, 6.74, 6.34
2.429, 5.94, 5.07
2.467, 4.82, 3.59
2.500, 3.15, 2.44
2.530, 1.63, 1.64
2.569, 1.03, 0.97
2.595, 0.53, 0.71
2.631, 0.63, 0.60
2.666, 1.34, 0.80
2.699, 2.67, 1.25
2.745, 4.51, 2.24
2.762, 6.57, 2.70
2.798, 7.66, 3.78
2.830, 8.49, 4.83
2.870, 8.95, 6.17
2.903, 9.36, 7.21
2.930, 9.68, 7.99
2.969, 9.80, 8.99
3.000, 9.69, 9.58
3.035, 9.41, 9.87
3.065, 9.08, 10.47
3.100, 8.62, 9.25
3.133, 8.11, 8.47
3.164, 7.48, 7.49
3.204, 6.78, 6.01
3.235, 5.87, 4.78
3.266, 4.45, 3.58
3.297, 2.58, 2.49
3.338, 1.20, 1.42
3.365, 0.60, 0.96
3.405, 0.50, 0.57
3.434, 1.01, 0.53
3.467, 2.04, 0.74
3.503, 3.51, 1.25
3.530, 5.16, 1.82
3.567, 6.92, 2.80
3.599, 8.31, 3.79
3.632, 9.31, 4.89
3.668, 9.66, 6.10
3.702, 9.69, 7.19
3.750, 9.45, 8.51
3.766, 8.91, 8.92
3.806, 8.24, 9.30
3.836, 7.39, 9.75
3.867, 6.42, 9.56
3.902, 5.32, 8.90
3.931, 4.05, 8.04
3.965, 2.73, 6.76
4.012, 2.00, 4.74
4.039, 1.72, 3.58
4.071, 1.50, 2.35
4.099, 1.18, 1.57
4.137, 0.60, 0.93
4.171, 0.41, 0.58
4.205, 0.71, 0.47
4.236, 1.51, 0.58
4.267, 2.65, 0.88
4.298, 4.12, 1.36
