経過時間_秒, Green, IBI, Smoothed_IBI, bpmSD, Smoothed_BPM
0.061, 5.30, 737.00, 647.16, 9.10, 92.71
0.086, 3.76, 737.00, 647.16, 9.10, 92.71
0.121, 1.41, 737.00, 647.16, 9.10, 92.71
0.160, 0.50, 737.00, 647.16, 9.10, 92.71
0.189, 0.87, 737.00, 647.16, 9.10, 92.71
0.222, 1.98, 737.00, 647.16, 9.10, 92.71
0.254, 3.75, 737.00, 647.16, 9.10, 92.71
0.293, 6.02, 737.00, 647.16, 9.10, 92.71
0.325, 7.47, 737.00, 647.16, 9.10, 92.71
0.363, 8.35, 737.00, 647.16, 9.10, 92.71
0.389, 9.19, 737.00, 647.16, 9.10, 92.71
0.418, 9.67, 737.00, 647.16, 9.10, 92.71
0.451, 9.84, 737.00, 647.16, 9.10, 92.71
0.494, 9.65, 740.00, 693.58, 8.22, 86.51
0.517, 9.34, 740.00, 693.58, 8.22, 86.51
0.552, 8.86, 740.00, 693.58, 8.22, 86.51
0.593, 8.29, 740.00, 693.58, 8.22, 86.51
0.617, 7.57, 740.00, 693.58, 8.22, 86.51
0.655, 6.66, 740.00, 693.58, 8.22, 86.51
0.686, 5.65, 740.00, 693.58, 8.22, 86.51
0.728, 4.57, 740.00, 693.58, 8.22, 86.51
0.767, 3.33, 740.00, 693.58, 8.22, 86.51
0.783, 1.98, 740.00, 693.58, 8.22, 86.51
0.825, 1.71, 740.00, 693.58, 8.22, 86.51
0.855, 1.57, 740.00, 693.58, 8.22, 86.51
0.883, 0.90, 740.00, 693.58, 8.22, 86.51
0.921, 0.43, 740.00, 693.58, 8.22, 86.51
0.953, 0.45, 740.00, 693.58, 8.22, 86.51
1.008, 1.14, 740.00, 693.58, 8.22, 86.51
1.022, 2.31, 740.00, 693.58, 8.22, 86.51
1.051, 3.94, 740.00, 693.58, 8.22, 86.51
1.088, 5.86, 740.00, 693.58, 8.22, 86.51
1.126, 7.82, 740.00, 693.58, 8.22, 86.51
1.149, 8.97, 740.00, 693.58, 8.22, 86.51
1.192, 9.63, 740.00, 693.58, 8.22, 86.51
1.222, 9.90, 740.00, 693.58, 8.22, 86.51
1.254, 9.88, 760.00, 726.79, 8.25, 82.55
1.294, 9.68, 760.00, 726.79, 8.25, 82.55
1.320, 9.34, 760.00, 726.79, 8.25, 82.55
1.359, 8.87, 760.00, 726.79, 8.25, 82.55
1.393, 8.26, 760.00, 726.79, 8.25, 82.55
1.427, 7.55, 760.00, 726.79, 8.25, 82.55
1.451, 6.66, 760.00, 726.79, 8.25, 82.55
1.486, 5.66, 760.00, 726.79, 8.25, 82.55
1.528, 4.60, 760.00, 726.79, 8.25, 82.55
1.551, 3.24, 760.00, 726.79, 8.25, 82.55
1.584, 1.66, 760.00, 726.79, 8.25, 82.55
1.618, 1.35, 760.00, 726.79, 8.25, 82.55
1.655, 0.68, 760.00, 726.79, 8.25, 82.55
1.701, 0.51, 760.00, 726.79, 8.25, 82.55
1.729, 0.81, 760.00, 726.79, 8.25, 82.55
1.761, 1.68, 760.00, 726.79, 8.25, 82.55
1.788, 2.80, 760.00, 726.79, 8.25, 82.55
1.821, 4.09, 760.00, 726.79, 8.25, 82.55
1.854, 5.31, 760.00, 726.79, 8.25, 82.55
1.893, 6.33, 760.00, 726.79, 8.25, 82.55
1.927, 7.20, 760.00, 726.79, 8.25, 82.55
1.962, 7.77, 760.00, 726.79, 8.25, 82.55
1.989, 8.26, 760.00, 726.79, 8.25, 82.55
2.020, 8.91, 760.00, 726.79, 8.25, 82.55
2.063, 8.80, 809.00, 767.89, 8.44, 78.14
2.089, 7.95, 809.00, 767.89, 8.44, 78.14
2.132, 6.82, 809.00, 767.89, 8.44, 78.14
2.160, 5.60, 809.00, 767.89, 8.44, 78.14
2.194, 4.15, 809.00, 767.89, 8.44, 78.14
2.229, 2.60, 809.00, 767.89, 8.44, 78.14
2.259, 2.24, 809.00, 767.89, 8.44, 78.14
2.293, 2.00, 809.00, 767.89, 8.44, 78.14
2.327, 1.68, 809.00, 767.89, 8.44, 78.14
2.360, 1.57, 809.00, 767.89, 8.44, 78.14
2.395, 0.94, 809.00, 767.89, 8.44, 78.14
2.423, 0.52, 809.00, 767.89, 8.44, 78.14
2.453, 0.51, 809.00, 767.89, 8.44, 78.14
2.493, 1.06, 809.00, 767.89, 8.44, 78.14
2.542, 2.07, 809.00, 767.89, 8.44, 78.14
2.558, 3.41, 809.00, 767.89, 8.44, 78.14
2.603, 4.93, 809.00, 767.89, 8.44, 78.14
2.627, 6.36, 809.00, 767.89, 8.44, 78.14
2.655, 7.90, 809.00, 767.89, 8.44, 78.14
2.692, 9.19, 809.00, 767.89, 8.44, 78.14
2.727, 9.57, 809.00, 767.89, 8.44, 78.14
2.757, 9.71, 809.00, 767.89, 8.44, 78.14
2.792, 9.56, 729.00, 748.45, 7.92, 80.17
2.828, 9.15, 729.00, 748.45, 7.92, 80.17
2.861, 8.58, 729.00, 748.45, 7.92, 80.17
2.900, 7.83, 729.00, 748.45, 7.92, 80.17
2.930, 6.93, 729.00, 748.45, 7.92, 80.17
2.962, 5.86, 729.00, 748.45, 7.92, 80.17
2.996, 4.71, 729.00, 748.45, 7.92, 80.17
3.029, 3.54, 729.00, 748.45, 7.92, 80.17
3.062, 1.92, 729.00, 748.45, 7.92, 80.17
3.093, 1.60, 729.00, 748.45, 7.92, 80.17
3.128, 1.24, 729.00, 748.45, 7.92, 80.17
3.160, 0.62, 729.00, 748.45, 7.92, 80.17
3.195, 0.42, 729.00, 748.45, 7.92, 80.17
3.226, 0.74, 729.00, 748.45, 7.92, 80.17
3.264, 1.56, 729.00, 748.45, 7.92, 80.17
3.293, 2.82, 729.00, 748.45, 7.92, 80.17
3.326, 4.36, 729.00, 748.45, 7.92, 80.17
3.360, 6.00, 729.00, 748.45, 7.92, 80.17
3.393, 7.55, 729.00, 748.45, 7.92, 80.17
3.429, 8.98, 729.00, 748.45, 7.92, 80.17
3.459, 9.56, 729.00, 748.45, 7.92, 80.17
3.497, 9.73, 729.00, 748.45, 7.92, 80.17
3.530, 9.60, 738.00, 743.22, 7.66, 80.73
3.565, 9.24, 738.00, 743.22, 7.66, 80.73
3.594, 8.72, 738.00, 743.22, 7.66, 80.73
