経過時間_秒, Green, SinWave
0.001, 0.79, 0.36
0.064, 0.56, 1.13
0.102, 0.89, 2.00
0.139, 1.88, 3.08
0.171, 3.43, 4.12
0.202, 5.34, 5.19
0.233, 7.23, 6.25
0.269, 8.47, 7.40
0.306, 9.35, 8.43
0.335, 9.82, 9.16
0.375, 9.87, 9.77
0.402, 9.84, 9.90
0.434, 9.78, 9.73
0.468, 9.69, 9.36
0.502, 9.58, 9.45
0.534, 9.39, 8.82
0.568, 9.10, 7.89
0.602, 8.63, 6.74
0.633, 8.03, 5.65
0.666, 7.31, 4.42
0.701, 6.12, 3.19
0.733, 4.32, 2.19
0.769, 2.05, 1.35
0.799, 1.34, 0.88
0.834, 0.65, 0.57
0.870, 0.62, 0.57
0.902, 1.40, 0.82
0.938, 2.88, 1.37
0.970, 4.98, 2.08
1.006, 6.72, 3.07
1.036, 7.73, 4.01
1.067, 8.67, 5.03
1.104, 9.29, 6.26
1.137, 9.57, 7.30
1.170, 9.78, 8.22
1.205, 9.80, 9.06
1.238, 9.65, 9.61
1.273, 9.29, 9.87
1.304, 8.78, 10.12
1.338, 8.09, 9.51
1.373, 7.26, 8.96
1.404, 6.31, 8.27
1.436, 5.34, 7.39
1.471, 4.25, 6.30
1.500, 2.59, 5.34
1.538, 1.50, 4.07
1.569, 1.43, 3.10
1.615, 1.20, 1.86
1.634, 0.75, 1.43
1.672, 0.45, 0.83
1.702, 0.71, 0.62
1.741, 1.55, 0.72
1.772, 2.95, 1.10
1.802, 4.83, 1.70
1.839, 6.86, 2.69
1.868, 7.80, 3.62
1.904, 8.71, 4.88
1.936, 9.29, 6.02
1.973, 9.60, 7.28
2.008, 9.79, 8.31
2.041, 9.86, 9.04
2.071, 9.78, 9.50
2.102, 9.57, 9.76
2.148, 9.22, 10.43
2.173, 8.79, 9.31
2.205, 8.28, 8.54
2.239, 7.68, 7.46
2.274, 7.02, 6.14
2.306, 6.12, 4.86
2.348, 4.80, 3.22
2.374, 2.79, 2.32
2.407, 1.65, 1.46
2.444, 1.44, 0.85
2.473, 0.88, 0.55
