経過時間_秒, Green, IBI, Smoothed_IBI, bpmSD, Smoothed_BPM
0.001, 0.79, 701.00, 707.91, 30.12, 84.76
0.064, 0.56, 701.00, 707.91, 30.12, 84.76
0.102, 0.89, 701.00, 707.91, 30.12, 84.76
0.139, 1.88, 701.00, 707.91, 30.12, 84.76
0.171, 3.43, 701.00, 707.91, 30.12, 84.76
0.202, 5.34, 701.00, 707.91, 30.12, 84.76
0.233, 7.23, 701.00, 707.91, 30.12, 84.76
0.269, 8.47, 701.00, 707.91, 30.12, 84.76
0.306, 9.35, 701.00, 707.91, 30.12, 84.76
0.335, 9.82, 701.00, 707.91, 30.12, 84.76
0.375, 9.87, 701.00, 707.91, 30.12, 84.76
0.402, 9.84, 831.00, 769.46, 24.05, 77.98
0.434, 9.78, 831.00, 769.46, 24.05, 77.98
0.468, 9.69, 831.00, 769.46, 24.05, 77.98
0.502, 9.58, 831.00, 769.46, 24.05, 77.98
0.534, 9.39, 831.00, 769.46, 24.05, 77.98
0.568, 9.10, 831.00, 769.46, 24.05, 77.98
0.602, 8.63, 831.00, 769.46, 24.05, 77.98
0.633, 8.03, 831.00, 769.46, 24.05, 77.98
0.666, 7.31, 831.00, 769.46, 24.05, 77.98
0.701, 6.12, 831.00, 769.46, 24.05, 77.98
0.733, 4.32, 831.00, 769.46, 24.05, 77.98
0.769, 2.05, 831.00, 769.46, 24.05, 77.98
0.799, 1.34, 831.00, 769.46, 24.05, 77.98
0.834, 0.65, 831.00, 769.46, 24.05, 77.98
0.870, 0.62, 831.00, 769.46, 24.05, 77.98
0.902, 1.40, 831.00, 769.46, 24.05, 77.98
0.938, 2.88, 831.00, 769.46, 24.05, 77.98
0.970, 4.98, 831.00, 769.46, 24.05, 77.98
1.006, 6.72, 831.00, 769.46, 24.05, 77.98
1.036, 7.73, 831.00, 769.46, 24.05, 77.98
1.067, 8.67, 831.00, 769.46, 24.05, 77.98
1.104, 9.29, 831.00, 769.46, 24.05, 77.98
1.137, 9.57, 831.00, 769.46, 24.05, 77.98
1.170, 9.78, 831.00, 769.46, 24.05, 77.98
1.205, 9.80, 831.00, 769.46, 24.05, 77.98
1.238, 9.65, 836.00, 802.73, 9.45, 74.75
1.273, 9.29, 836.00, 802.73, 9.45, 74.75
1.304, 8.78, 836.00, 802.73, 9.45, 74.75
1.338, 8.09, 836.00, 802.73, 9.45, 74.75
1.373, 7.26, 836.00, 802.73, 9.45, 74.75
1.404, 6.31, 836.00, 802.73, 9.45, 74.75
