経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, Stiffness, E, SBP, DBP
0.017, 4.3616, 64.3087, -0.7756, -0.2821, 8.6568, 4.1451, 117.47, 80.39
0.587, 4.3616, 64.3087, -0.6346, -0.2821, 8.6568, 4.1451, 117.47, 80.39
2.590, 4.6580, 56.0748, -0.8027, -0.3568, 9.8372, 4.5580, 120.38, 81.87
6.534, 4.7033, 59.8802, -0.7507, -0.3761, 9.1939, 4.2394, 122.36, 82.87
16.250, 4.5684, 61.9835, -0.9369, -0.4164, 8.5813, 4.0149, 122.74, 82.87
19.324, 4.5811, 61.5385, -0.6893, -0.4308, 8.9547, 4.1837, 126.83, 85.45
29.286, 4.9546, 61.5385, -0.9940, -0.4473, 9.7816, 4.3944, 125.88, 84.72
32.022, 3.2219, 61.6650, -0.6804, -0.3402, 6.7374, 3.7535, 115.75, 78.99
32.830, 4.5702, 66.5188, -0.6104, -0.3052, 9.1962, 4.3017, 121.58, 82.57
34.559, 4.2833, 74.7198, -0.6527, -0.4079, 7.4960, 3.6219, 120.31, 81.81
40.575, 4.8621, 55.7621, -0.7609, -0.3604, 3.6669, 1.6630, 103.47, 71.68
52.236, 4.5664, 66.3717, -0.5981, -0.3166, 3.5537, 1.6630, 103.47, 71.68
53.072, 4.7226, 62.3053, -0.6695, -0.3150, 3.6139, 1.6630, 103.47, 71.68
54.812, 4.3382, 71.5137, -0.7085, -0.3548, 3.4637, 1.6630, 103.47, 71.68
55.640, 4.6679, 66.5188, -0.8653, -0.5507, 3.5930, 1.6630, 103.47, 71.68
