経過時間_秒, Green, IBI, Smoothed_IBI, bpmSD, Smoothed_BPM
0.060, 8.06, 1002.00, 968.80, 40.38, 61.93
0.093, 7.68, 1002.00, 968.80, 40.38, 61.93
0.128, 7.38, 1002.00, 968.80, 40.38, 61.93
0.162, 7.10, 1002.00, 968.80, 40.38, 61.93
0.195, 6.74, 1002.00, 968.80, 40.38, 61.93
0.227, 6.27, 1002.00, 968.80, 40.38, 61.93
0.264, 5.70, 1002.00, 968.80, 40.38, 61.93
0.294, 4.80, 1002.00, 968.80, 40.38, 61.93
0.326, 3.39, 1002.00, 968.80, 40.38, 61.93
0.358, 1.08, 1002.00, 968.80, 40.38, 61.93
0.396, 0.84, 1002.00, 968.80, 40.38, 61.93
0.424, 0.74, 1002.00, 968.80, 40.38, 61.93
0.466, 0.66, 1002.00, 968.80, 40.38, 61.93
0.500, 0.63, 1002.00, 968.80, 40.38, 61.93
0.529, 0.58, 1002.00, 968.80, 40.38, 61.93
0.564, 0.37, 1002.00, 968.80, 40.38, 61.93
0.598, 0.32, 1002.00, 968.80, 40.38, 61.93
0.632, 0.80, 1002.00, 968.80, 40.38, 61.93
0.663, 2.09, 1002.00, 968.80, 40.38, 61.93
0.696, 4.26, 1002.00, 968.80, 40.38, 61.93
0.728, 6.09, 1002.00, 968.80, 40.38, 61.93
0.761, 7.02, 1002.00, 968.80, 40.38, 61.93
0.794, 8.05, 1002.00, 968.80, 40.38, 61.93
0.829, 9.16, 1002.00, 968.80, 40.38, 61.93
0.865, 9.65, 1002.00, 968.80, 40.38, 61.93
0.903, 9.55, 1002.00, 968.80, 40.49, 61.93
0.929, 9.07, 1002.00, 968.80, 40.49, 61.93
0.961, 8.45, 1002.00, 968.80, 40.49, 61.93
0.999, 7.84, 1002.00, 968.80, 40.49, 61.93
1.029, 7.33, 1002.00, 968.80, 40.49, 61.93
1.062, 6.91, 1002.00, 968.80, 40.49, 61.93
1.096, 6.54, 1002.00, 968.80, 40.49, 61.93
1.129, 6.12, 1002.00, 968.80, 40.49, 61.93
1.167, 5.62, 1002.00, 968.80, 40.49, 61.93
1.198, 5.02, 1002.00, 968.80, 40.49, 61.93
1.231, 4.01, 1002.00, 968.80, 40.49, 61.93
1.261, 2.25, 1002.00, 968.80, 40.49, 61.93
1.297, 1.17, 1002.00, 968.80, 40.49, 61.93
1.330, 0.95, 1002.00, 968.80, 40.49, 61.93
1.363, 0.84, 1002.00, 968.80, 40.49, 61.93
1.398, 0.66, 1002.00, 968.80, 40.49, 61.93
1.432, 0.53, 1002.00, 968.80, 40.49, 61.93
1.463, 0.49, 1002.00, 968.80, 40.49, 61.93
1.498, 0.43, 1002.00, 968.80, 40.49, 61.93
1.534, 0.35, 1002.00, 968.80, 40.49, 61.93
1.567, 0.73, 1002.00, 968.80, 40.49, 61.93
1.607, 1.88, 1002.00, 968.80, 40.49, 61.93
1.633, 4.00, 1002.00, 968.80, 40.49, 61.93
1.661, 5.89, 1002.00, 968.80, 40.49, 61.93
1.697, 6.73, 1002.00, 968.80, 40.49, 61.93
1.733, 7.66, 1002.00, 968.80, 40.49, 61.93
1.770, 8.69, 1002.00, 968.80, 40.49, 61.93
1.798, 9.46, 1002.00, 968.80, 40.49, 61.93
1.827, 9.65, 1002.00, 968.80, 40.49, 61.93
1.856, 9.40, 1002.00, 968.80, 40.51, 61.93
1.896, 8.94, 1002.00, 968.80, 40.51, 61.93
1.933, 8.48, 1002.00, 968.80, 40.51, 61.93
1.968, 8.10, 1002.00, 968.80, 40.51, 61.93
2.000, 7.83, 1002.00, 968.80, 40.51, 61.93
2.035, 7.62, 1002.00, 968.80, 40.51, 61.93
2.066, 7.34, 1002.00, 968.80, 40.51, 61.93
2.100, 6.94, 1002.00, 968.80, 40.51, 61.93
2.131, 6.36, 1002.00, 968.80, 40.51, 61.93
2.164, 5.47, 1002.00, 968.80, 40.51, 61.93
2.202, 4.01, 1002.00, 968.80, 40.51, 61.93
2.232, 1.64, 1002.00, 968.80, 40.51, 61.93
2.265, 1.18, 1002.00, 968.80, 40.51, 61.93
2.300, 0.87, 1002.00, 968.80, 40.51, 61.93
2.338, 0.69, 1002.00, 968.80, 40.51, 61.93
2.371, 0.60, 1002.00, 968.80, 40.51, 61.93
2.400, 0.52, 1002.00, 968.80, 40.51, 61.93
2.434, 0.55, 1002.00, 968.80, 40.51, 61.93
2.464, 0.55, 1002.00, 968.80, 40.51, 61.93
2.503, 0.30, 1002.00, 968.80, 40.51, 61.93
2.546, 0.34, 1002.00, 968.80, 40.51, 61.93
2.569, 0.96, 1002.00, 968.80, 40.51, 61.93
2.602, 2.35, 1002.00, 968.80, 40.51, 61.93
2.631, 4.52, 1002.00, 968.80, 40.51, 61.93
2.666, 6.31, 1002.00, 968.80, 40.51, 61.93
2.707, 7.17, 1002.00, 968.80, 40.51, 61.93
2.730, 8.29, 1002.00, 968.80, 40.51, 61.93
2.767, 9.27, 1002.00, 968.80, 40.51, 61.93
2.802, 9.61, 1002.00, 968.80, 40.51, 61.93
2.832, 9.35, 1002.00, 968.80, 40.59, 61.93
2.865, 8.80, 1002.00, 968.80, 40.59, 61.93
2.898, 8.14, 1002.00, 968.80, 40.59, 61.93
2.932, 7.60, 1002.00, 968.80, 40.59, 61.93
2.965, 7.21, 1002.00, 968.80, 40.59, 61.93
2.999, 6.94, 1002.00, 968.80, 40.59, 61.93
3.036, 6.76, 1002.00, 968.80, 40.59, 61.93
3.070, 6.52, 1002.00, 968.80, 40.59, 61.93
3.098, 6.19, 1002.00, 968.80, 40.59, 61.93
3.147, 5.75, 1002.00, 968.80, 40.59, 61.93
