経過時間_秒, Green, SinWave
0.005, 7.94, 1.30
0.076, 8.95, 3.48
0.093, 9.63, 4.10
0.118, 9.81, 5.06
0.149, 9.70, 6.24
0.174, 9.45, 7.15
0.215, 9.17, 10.38
0.240, 8.91, 9.12
0.273, 8.63, 9.54
0.308, 8.33, 9.82
0.349, 7.93, 9.92
0.377, 7.42, 9.86
0.414, 6.81, 9.59
0.448, 5.90, 9.19
0.480, 4.53, 8.67
0.510, 2.18, 8.09
0.543, 1.29, 7.35
0.578, 1.09, 6.49
0.616, 0.99, 5.50
0.646, 0.79, 4.71
0.680, 0.53, 3.83
0.710, 0.37, 3.08
0.753, 0.72, 2.13
0.780, 1.77, 1.56
0.814, 3.68, 0.90
0.843, 5.99, 0.54
0.878, 6.84, 0.38
0.913, 7.76, 0.51
0.953, 8.74, 1.03
0.978, 9.52, 1.53
1.013, 9.79, 2.43
1.044, 9.70, 3.36
1.076, 9.48, 4.43
1.116, 9.24, 9.79
1.149, 9.04, 9.27
1.177, 8.85, 8.79
1.213, 8.62, 7.97
1.244, 8.31, 7.14
1.280, 7.89, 6.06
1.313, 7.42, 5.01
1.347, 6.79, 3.94
1.384, 5.88, 2.85
1.416, 4.44, 2.01
1.447, 1.80, 1.28
1.482, 0.77, 0.67
1.515, 0.91, 0.39
1.549, 1.00, 0.43
1.583, 0.91, 0.80
1.611, 0.54, 1.33
1.649, 0.76, 2.33
1.679, 1.90, 3.30
1.713, 4.15, 4.51
1.744, 5.72, 5.65
1.783, 6.55, 7.03
1.814, 7.52, 8.01
1.852, 8.55, 8.90
1.881, 9.39, 9.37
1.911, 9.66, 9.68
1.944, 9.48, 9.81
1.981, 9.03, 9.68
2.017, 8.50, 10.10
2.046, 7.92, 9.57
2.086, 7.29, 9.19
2.116, 6.56, 8.73
2.151, 5.70, 8.04
2.182, 4.66, 7.30
2.216, 3.50, 6.40
2.245, 2.12, 5.58
2.279, 1.53, 4.60
2.310, 1.17, 3.73
2.351, 0.95, 2.66
2.380, 0.80, 2.00
2.422, 0.70, 1.11
2.445, 0.60, 0.78
2.484, 0.49, 0.55
2.519, 0.27, 0.69
2.555, 0.23, 1.17
2.589, 0.57, 1.91
2.621, 1.41, 2.81
