経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, Stiffness, E, SBP, DBP
0.020, 4.2995, 94.7867, -0.6178, -0.4119, 7.7613, 3.7431, 125.66, 84.46
1.816, 2.4965, 114.0684, -0.5261, -0.4304, 3.5758, 2.2631, 116.67, 79.15
3.090, 3.9275, 93.8967, -0.5708, -0.4151, 7.1021, 3.5837, 124.27, 83.58
4.954, 4.0871, 85.4701, -0.5172, -0.3621, 7.2737, 3.5979, 125.24, 84.12
6.354, 4.3000, 99.3377, -0.6043, -0.4958, 7.4356, 3.5858, 126.98, 85.09
6.931, 4.4452, 84.3882, -0.4273, -0.4748, 7.8279, 3.7128, 126.23, 84.79
8.265, 2.9698, 106.9519, -0.5709, -0.5709, 4.3034, 2.4971, 120.15, 81.02
8.930, 4.3521, 84.8656, -0.5744, -0.4699, 8.0791, 3.8727, 127.19, 85.20
9.566, 4.6583, 95.8466, -0.4970, -0.4473, 8.4536, 3.9168, 128.18, 85.89
10.271, 4.0921, 88.8889, -0.5189, -0.4670, 7.3050, 3.6112, 125.84, 84.49
10.870, 4.5479, 95.0872, -0.4681, -0.4681, 8.6348, 4.0490, 126.77, 85.17
12.806, 2.8232, 82.5309, -0.6050, -0.4950, 4.3915, 2.6136, 119.09, 80.43
13.473, 4.6288, 105.6338, -0.5753, -0.4184, 9.0109, 4.1883, 128.36, 85.94
14.108, 4.4709, 94.0439, -0.4925, -0.4446, 8.0127, 3.7895, 127.06, 85.27
14.813, 4.3451, 88.8889, -0.5726, -0.4685, 7.4623, 3.5799, 127.05, 85.23
16.050, 4.3921, 86.7052, -0.4213, -0.3745, 7.6722, 3.6609, 125.83, 84.62
16.753, 3.3274, 93.6037, -0.5394, -0.4413, 5.8018, 3.1806, 121.04, 81.78
18.724, 3.7759, 106.1947, -0.4694, -0.4694, 6.4295, 3.3088, 122.68, 82.83
19.356, 4.4499, 80.8625, -0.5410, -0.4918, 6.9798, 3.3088, 122.68, 82.83
19.988, 4.2517, 90.2256, -0.5230, -0.4184, 7.3264, 3.5531, 125.63, 84.43
22.002, 4.1579, 81.6327, -0.6256, -0.4171, 7.0690, 3.4667, 125.88, 84.52
24.979, 4.4517, 111.3173, -0.5120, -0.3258, 8.6155, 4.0833, 126.87, 85.24
25.673, 4.3807, 118.1102, -0.5354, -0.4381, 8.2868, 3.9593, 126.17, 84.86
27.578, 2.4125, 112.3596, -0.4755, -0.4755, 3.2652, 2.1022, 115.00, 78.25
28.174, 4.2325, 81.6327, -0.5690, -0.4655, 4.3249, 2.1022, 115.00, 78.25
29.553, 3.9608, 99.0099, -0.5537, -0.6091, 7.1082, 3.5716, 125.29, 84.12
30.151, 4.5784, 82.9876, -0.6178, -0.4633, 8.3837, 3.9181, 127.87, 85.65
30.781, 3.6791, 93.1677, -0.6070, -0.3311, 5.9826, 3.1190, 124.02, 83.31
31.452, 2.6754, 99.8336, -0.5753, -0.4184, 4.1865, 2.5595, 118.88, 80.31
32.119, 4.5544, 95.6938, -0.5410, -0.4426, 8.7121, 4.0823, 127.72, 85.64
32.754, 4.3704, 89.0208, -0.4459, -0.4459, 7.6764, 3.6720, 126.36, 84.88
33.323, 3.5851, 90.0901, -0.4677, -0.5197, 5.6641, 2.9914, 123.09, 82.89
33.955, 3.7969, 94.4882, -0.6380, -0.4640, 6.4293, 3.2995, 125.69, 84.25
34.592, 4.6597, 105.8201, -0.6266, -0.4177, 9.2002, 4.2621, 129.11, 86.33
