経過時間_秒, Green, IBI, Smoothed_IBI, bpmSD, Smoothed_BPM
0.020, 9.02, 690.00, 658.57, 5.95, 91.11
0.088, 8.26, 690.00, 658.57, 5.95, 91.11
0.113, 7.25, 690.00, 658.57, 5.95, 91.11
0.151, 6.21, 690.00, 658.57, 5.95, 91.11
0.193, 5.38, 690.00, 658.57, 5.95, 91.11
0.214, 4.94, 690.00, 658.57, 5.95, 91.11
0.245, 4.78, 690.00, 658.57, 5.95, 91.11
0.272, 5.01, 690.00, 658.57, 5.95, 91.11
0.315, 5.77, 690.00, 658.57, 5.95, 91.11
0.349, 6.64, 690.00, 658.57, 5.95, 91.11
0.380, 8.03, 690.00, 658.57, 5.95, 91.11
0.414, 9.15, 690.00, 658.57, 5.95, 91.11
0.442, 9.73, 690.00, 658.57, 5.95, 91.11
0.483, 9.69, 690.00, 658.57, 6.63, 91.11
0.517, 9.43, 690.00, 658.57, 6.63, 91.11
0.546, 8.94, 690.00, 658.57, 6.63, 91.11
0.585, 8.30, 690.00, 658.57, 6.63, 91.11
0.615, 7.41, 690.00, 658.57, 6.63, 91.11
0.649, 6.18, 690.00, 658.57, 6.63, 91.11
0.682, 4.77, 690.00, 658.57, 6.63, 91.11
0.715, 3.07, 690.00, 658.57, 6.63, 91.11
0.746, 2.45, 690.00, 658.57, 6.63, 91.11
0.781, 1.87, 690.00, 658.57, 6.63, 91.11
0.819, 0.95, 690.00, 658.57, 6.63, 91.11
0.842, 0.68, 690.00, 658.57, 6.63, 91.11
0.881, 1.15, 690.00, 658.57, 6.63, 91.11
0.914, 2.41, 690.00, 658.57, 6.63, 91.11
0.953, 4.17, 690.00, 658.57, 6.63, 91.11
0.981, 6.23, 690.00, 658.57, 6.63, 91.11
1.013, 7.59, 690.00, 658.57, 6.63, 91.11
1.043, 8.49, 690.00, 658.57, 6.63, 91.11
1.083, 9.22, 690.00, 658.57, 6.63, 91.11
1.110, 9.70, 690.00, 658.57, 6.63, 91.11
1.150, 9.86, 690.00, 658.57, 6.63, 91.11
1.180, 9.75, 690.00, 658.57, 7.00, 91.11
1.228, 9.38, 690.00, 658.57, 7.00, 91.11
1.245, 8.84, 690.00, 658.57, 7.00, 91.11
1.284, 8.07, 690.00, 658.57, 7.00, 91.11
1.315, 7.09, 690.00, 658.57, 7.00, 91.11
1.341, 5.99, 690.00, 658.57, 7.00, 91.11
1.378, 4.77, 690.00, 658.57, 7.00, 91.11
1.417, 3.67, 690.00, 658.57, 7.00, 91.11
1.448, 2.65, 690.00, 658.57, 7.00, 91.11
1.481, 1.65, 690.00, 658.57, 7.00, 91.11
1.514, 1.06, 690.00, 658.57, 7.00, 91.11
1.549, 2.42, 690.00, 658.57, 7.00, 91.11
1.583, 4.47, 690.00, 658.57, 7.00, 91.11
1.616, 6.56, 690.00, 658.57, 7.00, 91.11
1.649, 7.64, 690.00, 658.57, 7.00, 91.11
1.684, 8.51, 690.00, 658.57, 7.00, 91.11
1.715, 9.30, 690.00, 658.57, 7.00, 91.11
1.751, 9.75, 690.00, 658.57, 7.00, 91.11
1.792, 9.84, 690.00, 658.57, 7.00, 91.11
1.816, 9.63, 636.00, 647.29, 6.87, 92.69
1.848, 9.24, 636.00, 647.29, 6.87, 92.69
1.884, 8.59, 636.00, 647.29, 6.87, 92.69
1.915, 7.78, 636.00, 647.29, 6.87, 92.69
1.952, 6.75, 636.00, 647.29, 6.87, 92.69
1.985, 5.53, 636.00, 647.29, 6.87, 92.69
2.018, 4.25, 636.00, 647.29, 6.87, 92.69
2.049, 2.96, 636.00, 647.29, 6.87, 92.69
2.085, 2.03, 636.00, 647.29, 6.87, 92.69
2.114, 0.87, 636.00, 647.29, 6.87, 92.69
2.152, 0.85, 636.00, 647.29, 6.87, 92.69
2.183, 1.96, 636.00, 647.29, 6.87, 92.69
2.216, 3.63, 636.00, 647.29, 6.87, 92.69
2.252, 5.58, 636.00, 647.29, 6.87, 92.69
2.281, 7.40, 636.00, 647.29, 6.87, 92.69
2.324, 8.71, 636.00, 647.29, 6.87, 92.69
2.354, 9.44, 636.00, 647.29, 6.87, 92.69
2.384, 9.82, 636.00, 647.29, 6.87, 92.69
2.420, 9.83, 636.00, 647.29, 6.87, 92.69
2.452, 9.59, 636.00, 647.29, 6.82, 92.69
2.488, 9.19, 636.00, 647.29, 6.82, 92.69
2.521, 8.56, 636.00, 647.29, 6.82, 92.69
2.552, 7.80, 636.00, 647.29, 6.82, 92.69
2.582, 6.87, 636.00, 647.29, 6.82, 92.69
2.620, 5.75, 636.00, 647.29, 6.82, 92.69
2.646, 4.73, 636.00, 647.29, 6.82, 92.69
2.685, 3.84, 636.00, 647.29, 6.82, 92.69
2.715, 3.28, 636.00, 647.29, 6.82, 92.69
2.750, 2.78, 636.00, 647.29, 6.82, 92.69
2.791, 2.15, 636.00, 647.29, 6.82, 92.69
2.817, 3.24, 636.00, 647.29, 6.82, 92.69
2.850, 5.28, 636.00, 647.29, 6.82, 92.69
2.884, 6.85, 636.00, 647.29, 6.82, 92.69
2.917, 7.96, 636.00, 647.29, 6.82, 92.69
2.950, 8.61, 636.00, 647.29, 6.82, 92.69
