経過時間_秒, Green, SinWave
0.017, 2.40, 7.86
0.086, 1.63, 9.33
0.121, 0.81, 8.75
0.135, 0.58, 8.26
0.183, 1.08, 5.80
0.211, 2.16, 4.11
0.243, 3.68, 2.31
0.280, 5.32, 1.17
0.309, 6.75, 0.72
0.351, 7.80, 0.34
0.375, 8.29, 0.28
0.411, 8.31, 0.40
0.444, 8.24, 0.73
0.479, 8.33, 1.29
0.510, 7.66, 1.95
0.545, 6.45, 2.84
0.578, 5.00, 0.80
0.611, 3.36, 1.96
0.645, 2.40, 3.62
0.677, 2.05, 5.38
0.713, 1.73, 7.24
0.746, 1.20, 8.33
0.783, 0.64, 8.94
0.810, 0.59, 9.22
0.850, 1.14, 9.33
0.876, 2.30, 9.22
0.911, 3.74, 8.84
0.948, 5.21, 8.18
0.979, 6.44, 7.46
1.009, 7.31, 6.63
1.042, 7.94, 5.64
1.077, 8.35, 4.53
1.112, 8.70, 3.45
1.144, 8.45, 2.52
1.178, 7.58, 1.67
1.213, 6.73, 8.18
1.243, 5.68, 8.23
1.282, 4.48, 6.70
1.314, 3.15, 4.97
1.346, 2.14, 3.19
1.379, 1.15, 1.72
1.412, 0.46, 1.14
1.448, 0.37, 0.74
1.477, 0.98, 0.60
1.509, 2.04, 0.65
1.544, 3.37, 0.93
1.581, 4.61, 1.48
1.615, 5.55, 2.18
1.650, 5.90, 3.06
1.688, 5.86, 4.11
1.716, 5.82, 4.92
1.748, 5.14, 6.87
1.781, 4.13, 8.31
1.815, 3.05, 8.72
1.846, 2.38, 8.34
1.882, 2.09, 7.09
1.916, 1.78, 5.35
1.948, 1.72, 3.55
1.982, 1.02, 1.86
2.012, 0.44, 1.10
2.047, 0.29, 0.59
2.084, 0.68, 0.38
2.111, 1.42, 0.44
2.147, 2.49, 0.80
2.180, 3.58, 1.39
2.214, 4.45, 2.22
2.245, 4.99, 3.12
2.292, 5.45, 4.62
2.324, 5.64, 5.65
2.344, 6.01, 6.27
2.381, 5.69, 7.28
2.414, 5.26, 8.28
2.445, 3.66, -0.51
2.482, 2.99, 0.47
2.510, 2.64, 0.29
2.551, 2.29, 0.46
2.587, 1.56, 1.03
2.616, 0.74, 1.70
2.644, 0.49, 2.48
2.679, 0.82, 3.53
2.714, 1.61, 4.53
2.749, 2.71, 5.39
2.783, 3.93, 5.95
2.818, 5.01, 5.95
2.846, 5.82, 5.51
2.885, 6.34, 4.38
2.914, 6.57, 3.31
2.951, 6.70, 1.93
2.986, 6.77, 0.94
3.014, 7.08, 0.50
3.045, 6.76, 0.29
3.081, 5.12, 0.41
3.126, 3.25, 1.16
3.153, 2.47, 1.81
3.179, 2.10, 2.53
3.214, 1.53, 3.56
3.250, 0.75, 4.57
3.283, 0.46, 5.37
3.337, 0.73, 6.02
3.351, 1.49, 5.95
3.379, 2.56, 5.50
3.427, 3.71, 4.01
3.450, 4.74, 3.13
3.486, 5.53, 1.78
3.515, 6.06, 0.96
3.549, 6.30, 0.46
3.593, 6.78, 0.29
3.618, 7.35, 0.46
3.658, 7.96, 1.10
3.691, 8.86, 1.89
3.720, 7.97, 2.71
3.750, 6.79, 3.59
3.779, 5.50, 6.82
3.815, 4.25, 7.57
3.859, 3.52, 4.89
3.882, 3.17, 3.37
3.926, 2.91, 1.42
3.952, 3.62, 1.01
3.985, 5.50, 0.64
4.021, 6.95, 0.45
4.051, 7.94, 0.47
4.082, 8.84, 0.67
4.119, 9.30, 1.11
4.149, 9.30, 1.63
4.187, 9.63, 2.44
4.219, 9.84, 3.24
4.253, 9.72, 4.16
4.285, 9.24, 5.05
4.322, 8.35, 9.99
4.355, 7.05, 9.46
4.386, 5.66, 9.82
4.419, 4.14, 8.79
4.461, 2.79, 6.13
4.487, 1.03, 4.44
4.519, 0.79, 3.61
4.554, 1.75, 3.22
4.583, 3.67, 3.01
4.619, 5.74, 2.91
4.660, 6.45, 3.02
4.686, 7.07, 3.21
4.726, 8.06, 3.66
4.752, 9.00, 4.05
4.806, 9.38, 5.04
4.834, 9.68, 5.63
4.855, 9.84, 6.08
4.894, 9.87, 6.94
4.920, 9.70, 7.49
4.960, 9.42, 8.28
4.993, 9.01, 7.80
5.019, 8.54, 0.80
5.052, 7.97, 0.83
5.084, 7.31, 1.16
5.118, 6.74, 1.80
5.159, 6.07, 2.91
5.186, 5.42, 3.79
5.219, 5.42, 4.95
5.251, 5.93, 6.10
5.294, 5.83, 7.56
5.340, 6.74, 9.25
5.356, 7.73, 9.79
5.394, 8.48, 9.02
5.418, 9.01, 7.24
5.461, 9.12, 3.21
5.500, 9.51, 1.54
5.526, 9.52, 1.10
5.556, 9.68, 0.82
5.594, 9.82, 0.83
5.625, 9.90, 1.15
5.660, 9.78, 1.80
5.693, 9.58, 2.67
5.728, 9.18, 4.33
5.761, 8.70, 6.21
5.795, 8.13, 5.80
5.821, 7.55, 5.61
5.859, 7.16, 5.44
5.892, 7.05, 5.41
5.921, 6.97, 5.48
5.961, 6.44, 5.70
5.984, 6.61, 5.89
6.027, 7.66, 6.36
6.061, 8.48, 6.81
6.092, 8.87, 7.26
6.119, 9.20, 7.66
6.162, 9.39, 8.30
6.194, 9.47, 8.75
6.219, 9.72, 9.07
6.260, 9.75, 9.74
6.294, 9.55, 9.96
6.323, 9.11, 9.64
6.361, 8.55, 9.12
6.386, 7.83, 9.77
6.427, 7.12, 9.89
6.453, 6.40, 9.68
6.495, 5.71, 8.96
6.526, 5.33, 8.24
6.559, 5.07, 7.47
6.593, 5.44, 6.89
6.626, 6.15, 6.68
6.660, 7.31, 6.52
6.687, 8.23, 6.45
6.728, 8.62, 6.44
6.762, 9.02, 6.51
6.794, 9.51, 6.65
6.826, 9.78, 6.84
6.855, 9.92, 7.06
6.887, 9.94, 7.35
6.927, 9.69, 7.75
6.956, 9.06, 8.06
6.999, 8.11, 9.13
7.030, 6.96, 9.03
7.061, 5.87, 8.12
7.097, 4.70, 6.94
7.126, 3.44, 6.08
7.161, 2.23, 5.49
7.194, 1.55, 5.19
7.227, 2.86, 5.06
7.262, 5.06, 5.09
7.294, 6.51, 5.29
7.330, 7.22, 5.67
7.359, 8.28, 6.09
7.394, 9.13, 6.69
7.428, 9.72, 7.34
7.460, 9.78, 7.96
7.502, 9.75, 8.72
7.527, 9.59, 9.12
7.561, 9.35, 10.37
7.594, 9.17, 9.92
7.630, 8.75, 9.31
7.659, 8.23, 7.98
7.698, 7.57, 5.53
7.721, 6.69, 4.06
7.762, 5.82, 2.43
7.795, 4.28, 1.92
7.830, 2.10, 1.61
7.861, 0.77, 1.55
7.894, 1.01, 1.71
7.932, 2.40, 2.17
7.968, 4.25, 2.85
7.994, 6.43, 3.46
8.029, 7.86, 4.41
8.061, 9.01, 5.34
8.094, 9.73, 6.33
8.126, 9.73, 7.26
8.161, 9.47, 8.18
8.197, 8.96, 9.25
8.238, 8.39, -0.62
8.262, 7.75, 1.53
8.297, 6.91, 0.95
8.330, 5.88, 0.76
8.362, 4.41, 0.93
8.394, 2.78, 1.42
8.427, 2.15, 2.24
8.460, 1.14, 3.30
8.496, 0.51, 4.64
8.528, 0.40, 5.89
8.561, 0.91, 7.13
8.598, 1.83, 8.34
8.630, 2.87, 9.53
8.666, 3.84, 9.76
8.696, 4.47, 8.85
8.733, 4.74, 6.67
8.764, 4.81, 4.45
8.795, 4.48, 2.43
8.831, 4.12, 1.39
8.862, 3.20, 9.71
8.898, 2.24, 8.97
8.933, 2.18, 8.62
8.964, 2.19, 7.86
8.997, 2.30, 6.70
9.031, 2.02, 5.26
9.062, 1.71, 3.88
9.097, 1.33, 2.42
9.129, 0.65, 1.41
9.163, 0.33, 0.76
9.200, 0.45, 0.41
9.233, 1.08, 0.44
9.263, 2.01, 0.75
9.296, 3.02, 1.37
9.333, 3.93, 2.36
9.364, 4.62, 3.37
9.399, 5.19, 4.60
9.435, 5.38, 5.88
9.463, 5.50, 6.80
9.496, 5.70, 7.74
9.531, 5.36, 8.62
9.564, 4.63, 8.97
