経過時間_秒, Green, IBI, Smoothed_IBI, bpmSD, Smoothed_BPM
0.007, 1.66, 700.00, 717.16, 38.26, 83.66
0.060, 1.60, 700.00, 717.16, 38.26, 83.66
0.079, 1.44, 700.00, 717.16, 38.26, 83.66
0.105, 1.19, 700.00, 717.16, 38.26, 83.66
0.130, 0.58, 700.00, 717.16, 38.26, 83.66
0.181, 0.28, 700.00, 717.16, 38.26, 83.66
0.203, 0.37, 700.00, 717.16, 38.26, 83.66
0.234, 0.89, 700.00, 717.16, 38.26, 83.66
0.277, 1.73, 700.00, 717.16, 38.26, 83.66
0.321, 2.80, 700.00, 717.16, 38.26, 83.66
0.342, 3.93, 700.00, 717.16, 38.26, 83.66
0.373, 5.03, 700.00, 717.16, 38.26, 83.66
0.410, 6.06, 700.00, 717.16, 38.26, 83.66
0.437, 6.93, 700.00, 717.16, 38.26, 83.66
0.476, 7.81, 700.00, 717.16, 38.26, 83.66
0.510, 8.96, 700.00, 717.16, 38.26, 83.66
0.548, 9.97, 700.00, 717.16, 38.26, 83.66
0.575, 9.92, 700.00, 717.16, 38.28, 83.66
0.615, 9.72, 700.00, 717.16, 38.28, 83.66
0.638, 9.30, 700.00, 717.16, 38.28, 83.66
0.679, 8.61, 700.00, 717.16, 38.28, 83.66
0.710, 7.68, 700.00, 717.16, 38.28, 83.66
0.737, 6.59, 700.00, 717.16, 38.28, 83.66
0.777, 5.37, 700.00, 717.16, 38.28, 83.66
0.808, 3.66, 700.00, 717.16, 38.28, 83.66
0.842, 2.20, 700.00, 717.16, 38.28, 83.66
0.873, 1.95, 700.00, 717.16, 38.28, 83.66
0.902, 1.86, 700.00, 717.16, 38.28, 83.66
0.941, 1.63, 700.00, 717.16, 38.28, 83.66
0.971, 1.20, 700.00, 717.16, 38.28, 83.66
1.019, 0.55, 700.00, 717.16, 38.28, 83.66
1.042, 0.38, 700.00, 717.16, 38.28, 83.66
1.076, 0.73, 700.00, 717.16, 38.28, 83.66
1.117, 1.54, 700.00, 717.16, 38.28, 83.66
1.139, 2.68, 700.00, 717.16, 38.28, 83.66
1.178, 3.90, 700.00, 717.16, 38.28, 83.66
1.209, 5.03, 700.00, 717.16, 38.28, 83.66
1.248, 6.04, 700.00, 717.16, 38.28, 83.66
1.272, 7.01, 700.00, 717.16, 38.28, 83.66
1.308, 8.01, 700.00, 717.16, 38.28, 83.66
1.348, 9.07, 700.00, 717.16, 38.28, 83.66
1.382, 9.69, 700.00, 717.16, 38.28, 83.66
1.416, 9.82, 700.00, 717.16, 38.28, 83.66
1.443, 9.83, 700.00, 717.16, 38.28, 83.66
1.473, 9.62, 700.00, 717.16, 38.47, 83.66
1.505, 9.13, 700.00, 717.16, 38.47, 83.66
1.540, 8.39, 700.00, 717.16, 38.47, 83.66
1.576, 7.47, 700.00, 717.16, 38.47, 83.66
1.604, 6.42, 700.00, 717.16, 38.47, 83.66
1.638, 5.22, 700.00, 717.16, 38.47, 83.66
1.678, 3.21, 700.00, 717.16, 38.47, 83.66
1.709, 2.16, 700.00, 717.16, 38.47, 83.66
1.749, 1.28, 700.00, 717.16, 38.47, 83.66
1.777, 0.60, 700.00, 717.16, 38.47, 83.66
1.815, 0.68, 700.00, 717.16, 38.47, 83.66
1.843, 1.48, 700.00, 717.16, 38.47, 83.66
1.876, 2.91, 700.00, 717.16, 38.47, 83.66
1.914, 4.67, 700.00, 717.16, 38.47, 83.66
1.939, 6.33, 700.00, 717.16, 38.47, 83.66
1.983, 7.55, 700.00, 717.16, 38.47, 83.66
2.010, 8.13, 700.00, 717.16, 38.47, 83.66
2.042, 8.30, 700.00, 717.16, 38.47, 83.66
2.082, 8.19, 700.00, 717.16, 38.41, 83.66
2.111, 8.54, 700.00, 717.16, 38.41, 83.66
2.144, 8.59, 700.00, 717.16, 38.41, 83.66
2.181, 8.33, 700.00, 717.16, 38.41, 83.66
2.209, 8.02, 700.00, 717.16, 38.41, 83.66
2.243, 7.54, 700.00, 717.16, 38.41, 83.66
2.284, 6.83, 700.00, 717.16, 38.41, 83.66
2.311, 5.80, 700.00, 717.16, 38.41, 83.66
2.340, 4.65, 700.00, 717.16, 38.41, 83.66
2.378, 3.39, 700.00, 717.16, 38.41, 83.66
2.415, 2.00, 700.00, 717.16, 38.41, 83.66
2.448, 1.87, 700.00, 717.16, 38.41, 83.66
2.480, 1.63, 700.00, 717.16, 38.41, 83.66
2.511, 0.85, 700.00, 717.16, 38.41, 83.66
2.548, 0.68, 700.00, 717.16, 38.41, 83.66
2.585, 1.34, 700.00, 717.16, 38.41, 83.66
2.606, 3.04, 700.00, 717.16, 38.41, 83.66
2.650, 5.52, 700.00, 717.16, 38.41, 83.66
2.683, 6.40, 700.00, 717.16, 38.41, 83.66
2.719, 7.41, 700.00, 717.16, 38.41, 83.66
