経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, Stiffness, E, SBP, DBP
0.018, 4.9976, 74.4417, -0.7385, -0.3699, 9.9053, 4.4309, 129.01, 96.94
0.906, 4.9176, 66.6667, -0.6974, -0.4110, 9.6149, 4.3358, 129.10, 96.92
2.647, 5.0450, 68.4932, -0.6293, -0.5113, 9.6038, 4.2757, 128.08, 97.35
3.475, 4.9053, 66.6667, -0.6339, -0.5546, 9.3734, 4.2321, 125.41, 101.91
4.318, 4.5926, 71.9424, -0.5985, -0.3591, 8.3061, 3.8758, 127.03, 99.20
6.453, 3.2503, 89.6861, -0.5872, -0.3132, 4.8465, 2.6883, 129.79, 97.01
7.264, 4.0911, 86.0832, -0.6429, -0.3429, 6.8673, 3.3952, 128.84, 97.08
10.898, 4.8397, 64.1026, -0.7324, -0.3255, 9.3212, 4.2370, 126.92, 97.56
11.801, 4.7966, 63.8298, -0.7232, -0.3045, 9.4311, 4.3062, 127.13, 97.30
12.601, 4.4522, 69.2841, -0.5847, -0.2924, 8.0134, 3.7978, 127.52, 97.09
13.504, 4.5054, 66.5188, -0.6592, -0.3296, 8.7543, 4.1243, 128.20, 97.09
15.036, 4.5165, 66.7408, -0.5488, -0.3293, 8.2821, 3.8971, 128.16, 98.17
18.017, 3.3756, 84.9858, -0.5356, -0.3708, 5.6256, 3.0619, 129.27, 97.20
19.850, 4.5199, 71.0900, -0.7857, -0.3929, 8.5455, 4.0195, 127.18, 97.47
22.791, 0.6189, 59.8802, -0.4954, -0.4573, 0.4007, 0.5093, 130.96, 98.48
23.630, 4.0807, 59.7610, -0.3545, -0.5317, 7.9585, 3.9397, 127.88, 98.58
24.466, 4.4337, 64.0342, -0.4720, -0.5900, 8.5369, 4.0543, 128.10, 99.37
25.236, 3.8245, 72.2022, -0.5526, -0.5132, 6.3798, 3.2623, 127.99, 99.58
26.069, 4.5443, 71.1744, -0.6016, -0.3867, 8.6014, 4.0349, 127.47, 98.96
27.834, 4.3974, 71.8563, -0.6331, -0.4353, 7.4609, 3.5579, 127.89, 99.34
28.707, 4.5494, 64.2398, -0.7148, -0.3574, 7.2210, 3.3855, 127.70, 98.21
29.610, 4.8533, 71.7703, -0.6812, -0.3028, 9.0663, 4.1154, 127.07, 97.61
30.507, 4.9470, 69.4444, -0.6571, -0.3285, 9.2619, 4.1641, 127.30, 97.24
31.441, 4.7581, 66.4452, -0.6629, -0.3315, 8.9218, 4.0901, 127.37, 97.45
32.321, 4.9352, 66.0793, -0.6000, -0.3529, 9.4575, 4.2572, 127.07, 97.55
33.152, 4.8855, 63.9659, -0.6382, -0.3379, 9.4112, 4.2578, 127.35, 97.76
37.695, 4.0119, 85.9599, -0.5957, -0.2780, 6.6600, 3.3250, 128.89, 97.28
38.498, 4.1080, 89.0208, -0.6551, -0.3685, 7.6430, 3.7709, 128.57, 96.87
44.041, 4.8846, 62.3701, -0.6164, -0.4110, 9.7452, 4.4094, 126.48, 97.59
44.907, 4.7243, 59.9401, -0.7343, -0.3455, 8.8211, 4.0584, 127.65, 98.03
45.811, 4.3974, 77.9221, -0.6859, -0.3430, 7.9298, 3.7815, 127.49, 97.36
46.655, 4.3952, 68.9655, -0.6199, -0.3282, 7.8923, 3.7646, 127.57, 97.44
47.509, 4.6888, 66.5188, -0.6647, -0.3128, 8.8931, 4.1070, 127.70, 97.43
48.423, 4.6676, 71.8563, -0.7342, -0.3478, 8.9144, 4.1261, 127.56, 97.25
49.320, 4.6201, 69.2042, -0.6506, -0.2892, 8.6870, 4.0415, 127.01, 97.52
50.190, 4.8268, 66.7408, -0.6622, -0.3311, 8.9704, 4.0830, 127.54, 97.14
51.025, 4.7024, 66.0793, -0.6069, -0.3034, 9.1845, 4.2354, 127.31, 97.46
51.791, 4.7020, 69.1244, -0.5928, -0.3557, 8.7376, 4.0295, 127.90, 97.23
52.635, 4.4174, 72.0288, -0.6871, -0.3442, 7.6508, 3.6402, 128.26, 97.54
53.434, 4.4939, 78.0234, -0.6256, -0.3519, 8.5627, 4.0392, 127.55, 97.42
54.230, 4.5618, 71.4286, -0.6617, -0.3308, 8.2359, 3.8561, 127.95, 97.52
55.038, 4.5575, 74.8130, -0.6625, -0.3312, 8.1527, 3.8189, 127.93, 97.29
58.076, 4.2868, 78.0234, -0.5725, -0.3271, 7.8406, 3.7869, 128.50, 97.29
58.845, 4.1759, 81.9672, -0.6031, -0.3446, 7.5429, 3.6912, 128.70, 97.23
