経過時間_秒, Green, SinWave
0.018, 9.95, 7.10
0.068, 9.94, 5.34
0.089, 9.90, 4.58
0.105, 9.86, 10.39
0.139, 9.76, 9.51
0.173, 9.56, 8.98
0.199, 9.20, 8.46
0.248, 8.66, 7.27
0.273, 7.98, 6.57
0.305, 6.92, 5.64
0.347, 5.34, 4.39
0.378, 2.71, 3.50
0.411, 1.75, 2.63
0.441, 1.49, 1.92
0.469, 1.27, 1.26
0.505, 1.17, 0.66
0.546, 0.70, 0.42
0.579, 0.45, 0.59
0.612, 0.71, 1.08
0.641, 1.57, 1.74
0.681, 2.95, 2.94
0.706, 4.71, 3.81
0.738, 6.57, 5.00
0.771, 8.09, 6.25
0.806, 9.06, 7.48
0.840, 9.69, 8.52
0.881, 9.91, 9.28
0.906, 9.91, 9.62
0.947, 9.81, 9.93
0.980, 9.69, 9.84
1.005, 9.54, 9.87
1.048, 9.35, 9.92
1.079, 9.07, 9.75
1.102, 8.65, 9.52
1.139, 8.10, 8.96
1.179, 7.42, 8.13
1.205, 6.40, 7.49
1.246, 4.85, 6.37
1.273, 2.23, 5.59
1.308, 1.66, 4.56
1.340, 1.40, 3.64
1.382, 1.29, 2.53
1.413, 1.15, 1.83
1.446, 0.57, 1.12
1.479, 0.42, 0.65
1.512, 0.84, 0.44
1.536, 1.92, 0.46
1.574, 3.61, 0.80
1.625, 5.65, 1.76
1.647, 7.30, 2.34
1.679, 8.46, 3.30
1.707, 9.43, 4.22
1.739, 9.84, 5.33
1.780, 9.86, 6.73
1.815, 9.76, 7.82
1.839, 9.67, 8.47
1.881, 9.65, 10.13
1.909, 9.67, 9.55
1.947, 9.66, 8.97
1.981, 9.51, 8.25
2.007, 9.18, 7.59
2.036, 8.61, 6.77
2.080, 7.89, 5.42
2.116, 6.80, 4.30
2.139, 5.17, 3.60
2.172, 2.35, 2.67
2.206, 1.93, 1.83
2.246, 1.58, 0.96
2.281, 0.92, 0.52
2.322, 0.55, 0.45
2.347, 0.86, 0.64
2.381, 2.01, 1.18
2.413, 3.92, 1.94
2.440, 6.17, 2.74
2.484, 7.20, 4.26
2.518, 8.28, 5.56
2.550, 9.24, 6.68
2.574, 9.75, 7.49
2.607, 9.85, 8.49
2.647, 9.77, 9.26
2.687, 9.69, 9.72
2.715, 9.66, 9.43
2.750, 9.68, 9.79
2.782, 9.68, 9.86
2.806, 9.55, 9.79
2.847, 9.28, 9.43
2.879, 8.85, 8.95
2.912, 8.26, 8.29
2.946, 7.43, 7.48
2.980, 6.08, 6.57
3.015, 3.77, 5.56
3.047, 2.05, 4.62
3.082, 1.63, 3.62
3.116, 0.88, 2.72
3.148, 0.87, 1.98
3.174, 1.95, 1.38
3.214, 4.23, 0.74
3.246, 5.70, 0.54
3.284, 6.56, 0.68
3.313, 7.52, 1.05
3.347, 8.53, 1.76
3.379, 9.43, 2.65
3.411, 9.83, 3.70
3.449, 9.88, 5.06
3.475, 9.75, 6.01
3.514, 9.62, 7.35
3.541, 9.48, 10.30
3.581, 9.33, 9.71
3.618, 9.12, 9.23
3.647, 8.79, 8.66
3.681, 8.34, 7.83
3.714, 7.77, 6.88
3.750, 7.05, 5.75
3.782, 5.92, 4.73
3.815, 4.11, 3.71
3.847, 1.77, 2.80
3.880, 1.50, 1.97
3.915, 0.78, 1.30
3.947, 0.59, 0.94
3.986, 1.23, 0.90
4.013, 2.76, 1.12
4.047, 5.20, 1.69
4.081, 6.30, 2.53
4.118, 7.24, 3.67
4.147, 8.24, 4.68
4.180, 9.12, 5.87
4.214, 9.69, 7.06
4.250, 9.93, 8.18
4.285, 9.96, 9.00
4.318, 9.95, 9.53
4.351, 9.90, 9.82
4.386, 9.80, 9.46
4.419, 9.64, 8.97
4.446, 9.35, 8.20
4.484, 8.92, 6.86
4.515, 8.38, 5.64
4.553, 7.74, 4.12
4.583, 6.80, 3.00
4.618, 5.45, 1.90
4.648, 3.72, 1.31
4.686, 1.08, 0.80
4.715, 2.34, 0.61
4.750, 4.71, 0.63
4.779, 5.90, 0.84
4.815, 6.81, 1.35
4.853, 7.85, 2.14
4.885, 8.92, 2.97
4.918, 9.60, 3.95
4.952, 9.78, 5.02
4.983, 9.66, 6.01
5.018, 9.40, 7.09
5.055, 9.10, 6.83
5.086, 8.76, 8.06
5.118, 8.36, 8.83
5.152, 7.86, 9.49
5.185, 7.22, 9.86
5.215, 6.43, 9.96
5.254, 5.54, 9.74
5.287, 4.39, 9.25
5.321, 2.50, 8.49
5.352, 1.11, 7.62
5.385, 0.66, 6.57
5.417, 0.93, 5.48
5.451, 2.04, 4.33
5.483, 3.88, 3.32
5.523, 6.16, 2.26
5.556, 7.19, 1.64
5.597, 8.27, 1.18
5.628, 9.31, 1.07
5.652, 9.73, 1.14
5.682, 9.67, 1.41
5.717, 9.33, 1.96
5.751, 8.91, 8.74
5.788, 8.50, 8.09
5.821, 8.09, 6.74
5.854, 7.68, 5.20
5.891, 7.19, 3.49
5.916, 6.58, 2.46
5.952, 5.86, 1.42
5.986, 5.03, 0.85
6.015, 3.74, 0.65
6.055, 1.69, 0.83
6.097, 1.45, 1.56
6.119, 0.93, 2.14
6.150, 0.53, 3.13
6.189, 0.72, 4.56
6.222, 1.55, 5.84
6.253, 2.96, 7.00
6.288, 4.94, 8.15
6.331, 7.13, 9.33
6.353, 8.26, 9.65
6.390, 9.31, 9.67
6.424, 9.78, 9.11
6.453, 9.78, 8.24
6.488, 9.57, 6.83
