経過時間_秒, Green, SinWave
0.033, 6.55, 9.71
0.076, 5.68, 9.50
0.096, 4.75, 9.23
0.132, 3.39, 8.52
0.168, 1.20, 7.55
0.204, 1.02, 6.40
0.233, 0.95, 5.39
0.266, 0.91, 4.22
0.303, 0.84, 2.97
0.327, 0.75, 2.24
0.371, 0.65, 0.74
0.404, 0.54, 0.29
0.439, 0.38, 1.07
0.467, 0.72, 2.48
0.494, 1.74, 4.26
0.528, 3.52, 6.64
0.562, 6.03, 8.47
0.593, 6.95, 9.11
0.636, 7.86, 9.63
0.664, 8.86, 9.71
0.697, 9.56, 9.54
0.737, 9.76, 8.95
0.771, 9.66, 8.17
0.798, 9.47, 7.40
0.836, 9.32, 4.51
0.866, 9.20, 3.30
0.898, 9.03, 2.15
0.934, 8.75, 0.97
0.962, 8.30, 0.39
1.002, 7.70, 0.43
1.034, 6.97, 1.18
1.068, 6.05, 2.56
1.097, 4.63, 4.04
1.137, 2.33, 6.23
1.167, 1.02, 7.72
1.196, 0.90, 8.73
1.236, 0.87, 9.51
1.265, 0.83, 9.71
1.302, 0.77, 9.54
1.336, 0.74, 8.96
1.372, 0.76, 7.96
1.404, 0.69, 6.83
1.433, 0.44, 5.67
1.468, 0.64, 4.22
1.499, 1.47, 3.00
1.534, 3.04, 1.80
1.570, 5.43, 0.69
1.593, 6.86, 0.33
1.639, 7.79, 0.64
1.663, 8.91, 1.32
1.702, 9.55, 2.99
1.729, 9.63, 4.42
1.769, 9.37, 6.60
1.807, 9.00, 8.35
1.838, 8.70, 9.09
1.871, 8.44, 9.58
1.906, 8.21, 9.70
1.929, 7.92, 9.56
1.974, 7.53, 8.79
2.009, 7.03, 7.81
2.036, 6.42, 6.88
2.071, 5.62, 5.53
2.106, 4.27, 4.14
2.137, 2.02, 2.96
2.169, 1.04, 1.90
2.196, 0.93, 0.98
2.238, 0.84, 0.29
2.272, 0.88, 0.63
2.306, 0.86, 1.74
2.337, 0.86, 3.24
2.368, 0.91, 5.01
2.404, 0.85, 7.03
2.437, 0.44, 8.48
2.472, 0.41, 9.26
2.501, 1.04, 9.62
2.535, 2.44, 9.70
2.569, 4.67, 9.39
2.600, 6.56, 8.80
2.640, 7.48, 7.66
2.674, 8.58, 6.45
2.694, 9.40, 5.68
2.739, 9.63, 3.91
2.774, 9.44, 2.62
2.805, 9.10, 1.64
2.835, 8.79, 0.64
2.872, 8.55, 0.29
2.907, 8.34, 0.84
2.943, 8.09, 2.22
2.968, 7.75, 3.52
3.001, 7.29, 5.44
3.039, 6.72, 7.53
3.074, 6.08, 8.79
3.105, 5.00, 9.38
3.140, 3.16, 9.70
3.175, 1.08, 9.61
3.206, 0.97, 9.19
3.240, 0.93, 8.42
3.278, 0.88, 7.22
3.311, 0.98, 5.99
3.342, 1.01, 4.77
3.376, 0.84, 3.45
3.405, 0.53, 2.42
3.442, 0.81, 1.72
3.471, 1.86, 0.70
3.500, 3.69, 0.53
3.541, 6.16, 1.60
3.576, 7.05, 3.46
3.595, 8.20, 4.65
3.641, 9.23, 7.40
3.673, 9.65, 8.32
3.705, 9.57, 8.82
3.740, 9.26, 9.08
3.771, 8.97, 9.08
3.806, 8.77, 8.81
3.839, 8.63, 8.31
3.878, 8.46, 7.45
3.909, 8.18, 6.61
3.943, 7.73, 5.57
3.973, 7.12, 4.62
4.010, 6.42, 3.46
4.042, 5.50, 2.53
4.068, 3.92, 1.87
4.114, 1.22, 0.56
4.146, 1.13, 0.69
4.178, 1.09, 1.73
4.206, 0.99, 3.21
4.238, 0.95, 5.22
4.279, 1.00, 7.60
4.313, 0.98, 8.42
4.346, 0.82, 8.88
4.376, 0.50, 9.09
4.412, 0.79, 9.05
4.440, 1.86, 8.81
4.472, 3.76, 8.33
4.509, 6.01, 7.53
4.543, 6.83, 6.61
4.572, 7.75, 5.73
4.614, 8.93, 4.39
4.645, 9.59, 3.43
4.678, 9.71, 2.48
4.707, 9.44, 1.75
4.745, 9.05, 0.60
4.781, 8.67, 0.71
4.819, 8.30, 2.06
4.847, 7.91, 3.64
4.872, 7.46, 5.22
4.906, 6.91, 7.25
4.954, 6.23, 8.54
4.969, 5.49, 8.75
5.005, 4.57, 9.07
5.053, 3.03, 9.01
5.081, 0.79, 8.73
5.110, 0.66, 8.26
5.138, 0.59, 7.65
5.173, 0.58, 6.72
5.213, 0.56, 5.51
5.248, 0.66, 4.39
5.277, 0.76, 3.49
5.309, 0.75, 2.56
5.343, 0.77, 1.66
5.374, 0.55, 0.66
5.414, 0.44, 0.69
5.444, 0.86, 1.64
5.474, 2.04, 3.21
5.510, 4.14, 5.48
5.545, 6.39, 7.50
5.580, 7.26, 8.41
5.607, 8.29, 8.80
5.642, 9.25, 9.08
5.678, 9.63, 9.06
5.714, 9.49, 8.74
5.744, 9.09, 8.26
5.778, 8.67, 7.75
5.811, 8.26, 6.94
5.843, 7.86, 6.05
5.875, 7.44, 5.09
5.911, 6.93, 3.99
5.944, 6.35, 3.03
5.978, 5.67, 2.15
6.013, 4.98, 1.00
6.042, 3.85, 0.50
6.078, 1.81, 1.20
6.111, 1.05, 2.93
6.147, 0.92, 5.41
6.182, 0.80, 7.63
6.220, 0.82, 8.48
6.249, 0.80, 8.86
6.273, 0.81, 9.05
6.309, 0.79, 9.09
6.353, 0.82, 8.77
6.377, 0.68, 8.43
6.422, 0.42, 7.52
6.445, 0.61, 6.23
6.472, 1.45, 5.35
6.511, 3.02, 4.04
6.550, 5.30, 2.81
6.580, 7.14, 1.98
6.611, 8.22, 1.00
6.646, 9.19, 0.50
6.687, 9.51, 1.12
6.714, 9.33, 2.17
6.745, 8.92, 3.79
6.784, 8.60, 6.05
6.814, 8.45, 7.58
6.848, 8.40, 8.43
6.882, 8.32, 8.91
6.919, 8.11, 9.11
6.943, 7.70, 9.04
6.983, 7.12, 8.61
7.007, 6.41, 8.17
7.053, 5.48, 7.02
7.084, 3.81, 6.07
7.110, 1.38, 5.22
7.147, 1.23, 3.98
7.185, 1.13, 2.78
7.221, 1.04, 1.81
7.247, 0.94, 0.94
7.277, 0.98, 0.50
7.313, 1.00, 0.90
7.354, 0.55, 2.46
7.387, 0.51, 4.25
7.413, 1.14, 5.76
7.452, 2.56, 7.75
7.481, 4.61, 8.41
7.505, 6.56, 8.79
7.542, 7.55, 9.09
7.575, 8.72, 9.06
7.619, 9.46, 8.58
7.647, 9.56, 8.04
7.686, 9.23, 7.05
7.715, 8.75, 6.17
7.756, 8.31, 7.49
7.784, 7.98, 9.56
7.815, 7.72, 9.51
7.845, 7.44, 9.26
7.885, 7.08, 8.63
7.920, 6.60, 7.85
7.948, 5.99, 7.09
7.982, 5.30, 6.07
8.021, 4.06, 4.82
8.046, 1.96, 4.03
8.089, 0.99, 2.74
8.120, 0.93, 1.94
8.154, 0.86, 0.81
8.189, 0.92, 0.51
8.224, 0.96, 1.29
8.252, 0.98, 2.57
8.287, 1.02, 4.69
8.322, 0.72, 6.88
8.355, 0.54, 8.40
8.386, 1.00, 8.93
8.417, 2.30, 9.32
8.445, 4.40, 9.52
8.487, 6.35, 9.53
8.519, 7.19, 9.31
8.552, 8.25, 8.89
8.586, 9.24, 8.26
8.613, 9.67, 7.65
8.654, 9.62, 6.57
8.685, 9.38, 5.68
8.711, 9.13, 4.91
8.759, 8.94, 3.50
8.790, 8.80, 2.67
8.819, 8.62, 1.98
8.854, 8.37, 0.72
8.887, 7.98, 0.60
8.910, 7.46, 1.31
8.953, 6.86, 3.96
8.981, 5.96, 6.08
9.023, 4.45, 8.42
9.060, 1.91, 9.05
9.089, 1.12, 9.37
9.122, 0.99, 9.55
9.152, 0.88, 9.53
9.189, 0.86, 9.27
9.217, 0.89, 8.90
9.255, 0.98, 8.20
9.292, 0.95, 7.33
9.323, 0.75, 6.49
9.357, 0.50, 1.97
9.388, 0.84, 0.44
9.422, 1.93, 0.57
9.451, 3.88, 1.50
9.489, 6.21, 3.57
9.517, 7.05, 5.35
9.556, 8.02, 7.56
9.588, 9.13, 8.27
9.620, 9.69, 8.71
9.647, 9.75, 8.91
9.693, 9.55, 8.84
9.720, 9.31, 8.57
9.757, 9.10, 7.94
9.787, 8.92, 7.25
9.823, 8.71, 6.25
9.855, 8.41, 5.26
9.887, 8.02, 4.24
9.919, 7.49, 3.24
9.953, 6.89, 2.27
9.993, 6.08, 1.06
10.027, 4.73, 0.37
10.058, 2.42, 0.68
10.086, 1.12, 1.68
10.116, 0.99, 3.32
10.154, 0.90, 5.72
10.190, 0.89, 7.69
10.222, 0.87, 8.32
10.254, 0.92, 8.74
10.289, 0.90, 8.94
10.328, 0.80, 8.81
10.350, 0.49, 8.58
10.389, 0.66, 7.92
10.428, 1.47, 6.99
10.455, 3.09, 6.22
10.486, 5.50, 5.26
10.523, 6.91, 4.08
10.557, 7.98, 3.03
10.586, 9.08, 2.21
10.619, 9.53, 1.25
10.654, 9.40, 0.40
10.687, 8.96, 0.63
10.722, 8.51, 1.92
10.760, 8.20, 4.13
10.785, 8.03, 5.72
10.824, 7.91, 7.76
10.848, 7.72, 8.24
10.886, 7.37, 8.75
10.920, 6.84, 8.94
10.957, 6.16, 8.83
10.992, 5.25, 8.43
11.023, 3.70, 7.86
11.057, 1.22, 7.04
11.101, 1.01, 5.76
