経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, Stiffness, E, SBP, DBP
0.013, 5.0423, 59.9401, -0.9378, -0.4689, 10.2915, 4.5832, 126.15, 99.29
6.467, 5.0656, 66.8896, -0.2327, -0.6448, 9.7266, 4.3216, 125.43, 97.47
7.394, 3.8757, 54.1028, -0.6769, -0.3767, 6.7004, 3.4035, 129.43, 100.06
8.371, 4.2108, 69.5249, -0.5329, -0.5340, 8.9888, 4.3805, 126.17, 100.26
9.436, 4.9188, 54.1516, -0.8444, -0.5067, 10.0134, 4.5149, 127.05, 98.90
10.471, 4.6957, 59.9401, -0.4648, -0.8056, 9.5727, 4.4176, 125.14, 98.93
11.407, 4.9038, 68.3371, -0.5734, -0.4141, 10.5290, 4.7547, 125.18, 101.91
12.382, 4.7222, 58.3658, -0.7048, -0.3529, 8.9782, 4.1316, 127.03, 98.36
13.349, 4.9335, 63.8298, -0.5077, -0.8113, 9.5041, 4.2789, 126.52, 97.77
14.243, 4.9279, 62.3701, -0.4773, -0.4773, 9.6081, 4.3282, 125.29, 101.85
15.282, 4.7777, 66.6667, -0.8130, -0.2956, 8.7198, 3.9893, 127.52, 97.26
16.353, 3.9292, 94.6372, -0.6035, -0.8576, 6.0435, 3.0489, 127.29, 96.95
17.353, 3.5621, 112.1495, -0.5854, -0.4006, 8.9342, 4.7337, 124.84, 102.00
18.354, 5.0198, 60.4839, -0.6930, -0.7260, 10.6058, 4.7337, 124.84, 102.00
19.425, 5.0198, 60.4839, -0.7243, -0.2967, 10.6058, 4.7337, 124.84, 102.00
20.395, 3.5213, 93.3126, -0.6471, -0.7703, 5.2897, 2.8189, 127.81, 97.02
21.362, 3.4831, 41.6378, -0.7137, -0.8496, 5.2610, 2.8189, 127.81, 97.02
22.365, 5.0308, 62.0476, -0.7174, -0.2733, 6.3226, 2.8189, 127.81, 97.02
23.331, 5.0308, 62.0476, -0.6909, -0.2961, 6.3226, 2.8189, 127.81, 97.02
24.269, 3.3879, 44.8766, -0.7174, -0.8199, 5.7503, 3.1241, 127.81, 97.08
25.204, 4.5939, 98.5222, -0.1759, -0.2463, 7.5329, 3.5146, 130.12, 97.22
28.108, 2.9587, 40.7056, -0.7412, -0.8118, 6.0453, 3.5146, 130.12, 97.22
29.112, 5.0184, 61.9835, -0.7196, -0.4112, 7.8733, 3.5146, 130.12, 97.22
30.121, 4.4237, 98.6842, -0.5588, -0.4263, 7.2969, 3.4693, 125.77, 100.24
31.123, 3.6239, 112.7820, -0.5887, -0.4252, 9.1410, 4.8018, 127.13, 98.35
32.049, 5.1180, 59.8205, -0.6580, -0.2632, 10.8632, 4.8018, 127.13, 98.35
33.023, 4.9724, 68.7285, -0.7135, -0.2854, 10.7076, 4.8018, 127.13, 98.35
33.996, 4.9250, 65.2174, -0.7115, -0.2710, 10.6564, 4.8018, 127.13, 98.35
34.960, 4.9671, 61.3497, -0.7122, -0.8140, 10.7019, 4.8018, 127.13, 98.35
35.931, 5.0984, 61.7284, -0.6846, -0.8216, 10.8423, 4.8018, 127.13, 98.35
36.901, 4.9130, 61.7284, -0.5438, -0.7817, 10.6434, 4.8018, 127.13, 98.35
37.910, 5.0437, 61.7284, -0.7485, -0.7825, 10.7841, 4.8018, 127.13, 98.35
38.866, 5.0437, 61.7284, -0.7188, -0.3921, 10.7841, 4.8018, 127.13, 98.35
