経過時間_秒, Green, IBI, Smoothed_IBI, bpmSD, Smoothed_BPM
0.013, 5.38, 563.00, 577.57, 43.45, 103.88
0.073, 4.24, 563.00, 577.57, 43.45, 103.88
0.091, 2.29, 563.00, 577.57, 43.45, 103.88
0.104, 1.22, 563.00, 577.57, 43.45, 103.88
0.140, 1.18, 563.00, 577.57, 43.45, 103.88
0.176, 1.08, 563.00, 577.57, 43.45, 103.88
0.211, 1.03, 563.00, 577.57, 43.45, 103.88
0.247, 0.99, 563.00, 577.57, 43.45, 103.88
0.277, 0.99, 563.00, 577.57, 43.45, 103.88
0.307, 1.02, 563.00, 577.57, 43.45, 103.88
0.342, 0.67, 563.00, 577.57, 43.45, 103.88
0.383, 0.42, 563.00, 577.57, 43.45, 103.88
0.410, 0.66, 563.00, 577.57, 43.45, 103.88
0.454, 1.55, 563.00, 577.57, 43.45, 103.88
0.479, 3.13, 563.00, 577.57, 43.45, 103.88
0.519, 5.22, 563.00, 577.57, 43.45, 103.88
0.553, 7.14, 563.00, 577.57, 43.45, 103.88
0.584, 8.21, 563.00, 577.57, 43.45, 103.88
0.618, 9.18, 563.00, 577.57, 43.45, 103.88
0.644, 9.74, 563.00, 577.57, 43.45, 103.88
0.679, 9.91, 563.00, 577.57, 43.45, 103.88
0.711, 9.92, 563.00, 577.57, 43.45, 103.88
0.744, 9.88, 563.00, 577.57, 40.69, 103.88
0.783, 9.85, 563.00, 577.57, 40.69, 103.88
0.821, 9.80, 563.00, 577.57, 40.69, 103.88
0.847, 9.64, 563.00, 577.57, 40.69, 103.88
0.885, 9.34, 563.00, 577.57, 40.69, 103.88
0.906, 8.87, 563.00, 577.57, 40.69, 103.88
0.941, 8.25, 563.00, 577.57, 40.69, 103.88
0.983, 7.57, 563.00, 577.57, 40.69, 103.88
1.017, 6.67, 563.00, 577.57, 40.69, 103.88
1.054, 5.29, 563.00, 577.57, 40.69, 103.88
1.083, 2.96, 563.00, 577.57, 40.69, 103.88
1.118, 1.52, 563.00, 577.57, 40.69, 103.88
1.134, 1.43, 563.00, 577.57, 40.69, 103.88
1.171, 1.30, 563.00, 577.57, 40.69, 103.88
1.208, 1.37, 563.00, 577.57, 40.69, 103.88
1.258, 1.40, 563.00, 577.57, 40.69, 103.88
1.284, 1.32, 563.00, 577.57, 40.69, 103.88
1.317, 1.08, 563.00, 577.57, 40.69, 103.88
1.345, 0.54, 563.00, 577.57, 40.69, 103.88
1.384, 0.42, 563.00, 577.57, 40.69, 103.88
1.416, 0.82, 563.00, 577.57, 40.69, 103.88
1.441, 1.77, 563.00, 577.57, 40.69, 103.88
1.483, 3.18, 563.00, 577.57, 40.69, 103.88
1.517, 5.00, 563.00, 577.57, 40.69, 103.88
1.542, 7.00, 563.00, 577.57, 40.69, 103.88
1.581, 8.83, 563.00, 577.57, 40.69, 103.88
1.617, 9.59, 563.00, 577.57, 40.69, 103.88
1.651, 9.85, 563.00, 577.57, 40.69, 103.88
1.685, 9.83, 563.00, 577.57, 37.22, 103.88
1.719, 9.71, 563.00, 577.57, 37.22, 103.88
1.755, 9.55, 563.00, 577.57, 37.22, 103.88
1.783, 9.32, 563.00, 577.57, 37.22, 103.88
1.807, 8.96, 563.00, 577.57, 37.22, 103.88
1.851, 8.44, 563.00, 577.57, 37.22, 103.88
1.884, 7.80, 563.00, 577.57, 37.22, 103.88
1.910, 7.02, 563.00, 577.57, 37.22, 103.88
1.950, 6.18, 563.00, 577.57, 37.22, 103.88
1.986, 5.26, 563.00, 577.57, 37.22, 103.88
2.017, 3.73, 563.00, 577.57, 37.22, 103.88
2.054, 1.43, 563.00, 577.57, 37.22, 103.88
2.087, 1.44, 563.00, 577.57, 37.22, 103.88
2.117, 1.36, 563.00, 577.57, 37.22, 103.88
2.150, 1.28, 563.00, 577.57, 37.22, 103.88
2.178, 1.21, 563.00, 577.57, 37.22, 103.88
2.220, 1.28, 563.00, 577.57, 37.22, 103.88
2.242, 1.14, 563.00, 577.57, 37.22, 103.88
2.280, 0.76, 563.00, 577.57, 37.22, 103.88
2.315, 0.41, 563.00, 577.57, 37.22, 103.88
2.353, 0.47, 563.00, 577.57, 37.22, 103.88
2.386, 1.05, 563.00, 577.57, 37.22, 103.88
2.415, 2.12, 563.00, 577.57, 37.22, 103.88
2.450, 3.53, 563.00, 577.57, 37.22, 103.88
2.485, 5.23, 563.00, 577.57, 37.22, 103.88
2.519, 6.77, 563.00, 577.57, 37.22, 103.88
2.554, 8.22, 563.00, 577.57, 37.22, 103.88
2.586, 9.23, 563.00, 577.57, 37.22, 103.88
2.621, 9.57, 563.00, 577.57, 37.22, 103.88
2.652, 9.30, 563.00, 577.57, 34.89, 103.88
2.686, 9.08, 563.00, 577.57, 34.89, 103.88
2.720, 8.99, 563.00, 577.57, 34.89, 103.88
2.752, 8.82, 563.00, 577.57, 34.89, 103.88
2.786, 8.56, 563.00, 577.57, 34.89, 103.88
2.815, 8.04, 563.00, 577.57, 34.89, 103.88
2.848, 7.28, 563.00, 577.57, 34.89, 103.88
2.886, 6.35, 563.00, 577.57, 34.89, 103.88
2.918, 5.33, 563.00, 577.57, 34.89, 103.88
2.952, 3.92, 563.00, 577.57, 34.89, 103.88
2.984, 1.77, 563.00, 577.57, 34.89, 103.88
3.022, 1.51, 563.00, 577.57, 34.89, 103.88
3.047, 1.31, 563.00, 577.57, 34.89, 103.88
3.084, 1.26, 563.00, 577.57, 34.89, 103.88
3.114, 1.30, 563.00, 577.57, 34.89, 103.88
3.153, 1.18, 563.00, 577.57, 34.89, 103.88
3.185, 0.80, 563.00, 577.57, 34.89, 103.88
3.212, 0.49, 563.00, 577.57, 34.89, 103.88
3.254, 0.67, 563.00, 577.57, 34.89, 103.88
3.288, 1.52, 563.00, 577.57, 34.89, 103.88
3.318, 2.97, 563.00, 577.57, 34.89, 103.88
3.353, 4.82, 563.00, 577.57, 34.89, 103.88
