経過時間_秒, Green, SinWave
0.057, 4.05, 0.60
0.092, 2.20, 0.75
0.129, 1.96, 1.06
0.171, 1.74, 1.61
0.190, 1.65, 1.91
0.224, 1.52, 2.54
0.258, 0.99, 3.25
0.284, 0.54, 3.84
0.328, 0.62, 4.90
0.357, 1.33, 5.61
0.399, 2.54, 6.61
0.424, 4.04, 7.19
0.464, 5.64, 8.03
0.490, 7.23, 8.52
0.521, 8.59, 9.38
0.556, 9.61, 9.92
0.599, 9.43, 9.72
0.631, 8.96, 8.98
0.659, 8.38, 7.10
0.686, 7.76, 7.40
0.730, 7.11, 8.31
0.766, 6.44, 9.04
0.791, 5.74, 9.48
0.822, 5.02, 9.84
0.863, 4.31, 9.95
0.896, 3.62, 9.75
0.923, 2.50, 9.39
0.951, 1.16, 8.86
0.988, 1.05, 7.93
1.039, 0.91, 6.36
1.065, 0.83, 5.48
1.090, 0.77, 4.63
1.130, 0.67, 3.33
1.162, 0.53, 2.39
1.190, 0.45, 1.75
1.223, 0.23, 1.26
1.264, 0.22, 0.81
1.290, 0.49, 0.63
1.322, 1.13, 0.53
1.356, 2.12, 0.56
1.396, 3.36, 0.79
1.424, 4.75, 1.07
1.455, 6.08, 1.49
1.498, 7.11, 2.22
1.530, 7.76, 2.87
1.556, 8.42, 3.45
1.590, 8.07, 4.25
1.628, 7.72, 5.18
1.665, 7.57, 1.25
1.688, 7.53, 3.70
1.730, 7.54, 2.49
1.757, 7.48, 1.80
1.797, 7.40, 0.91
1.831, 7.25, 0.39
1.857, 7.16, 0.21
1.890, 6.78, 0.26
1.932, 6.15, 0.77
1.962, 5.12, 1.40
1.999, 3.79, 2.44
2.031, 5.40, 3.48
2.058, 7.01, 4.41
2.093, 7.86, 5.59
2.131, 6.55, 6.76
2.157, 5.70, 7.39
2.199, 5.78, -1.89
2.231, 6.28, 0.32
2.264, 6.88, 0.66
2.296, 7.42, 1.17
2.330, 8.13, 1.90
2.365, 8.84, 2.80
2.400, 9.46, 3.79
2.426, 9.76, 4.55
2.464, 9.84, 5.64
2.497, 9.82, 6.51
2.530, 9.78, 7.25
2.557, 9.79, 7.65
2.595, 9.83, 8.08
2.629, 9.90, 8.32
2.674, 9.86, 8.43
2.697, 9.71, 8.38
2.731, 9.42, 8.33
2.766, 8.98, 8.11
2.799, 8.29, 7.80
2.831, 7.25, 7.41
2.857, 5.55, 7.04
2.890, 2.52, 6.50
2.931, 1.48, 5.75
2.964, 1.36, 5.10
3.003, 1.22, 4.31
3.044, 1.11, 3.48
3.063, 0.64, 3.10
3.094, 0.57, 2.51
3.131, 1.29, 1.87
3.166, 2.92, 1.28
3.191, 5.40, 0.77
3.230, 6.37, 0.30
3.265, 7.31, 0.23
3.297, 8.36, 0.48
3.329, 9.34, 1.00
3.365, 9.74, 1.88
3.400, 9.70, 2.94
3.435, 9.45, 4.12
3.469, 9.22, 5.03
3.498, 9.07, 6.09
3.534, 8.99, 7.22
3.566, 8.93, 7.62
3.598, 8.80, 7.95
3.630, 8.56, 8.20
3.668, 8.18, 8.38
3.699, 7.66, 8.43
3.732, 6.78, 8.39
3.768, 5.31, 8.23
3.797, 2.72, 8.03
3.829, 1.71, 7.72
3.871, 1.51, 7.20
3.902, 1.36, 6.75
3.935, 1.21, 6.21
3.969, 1.09, 5.61
3.999, 0.96, 5.05
4.035, 0.81, 4.36
4.068, 0.44, 3.73
4.099, 0.54, 3.15
4.135, 1.38, 2.50
4.167, 3.09, 1.97
4.203, 5.54, 1.44
4.233, 6.39, 0.76
4.265, 7.19, 0.31
4.299, 8.06, 0.23
4.333, 8.91, 0.56
4.371, 9.58, 1.38
4.399, 9.87, 2.22
4.433, 9.90, 3.43
4.467, 9.79, 4.73
4.500, 9.63, 5.95
4.538, 9.44, 3.38
4.576, 9.19, 0.66
4.601, 8.89, 1.02
4.636, 8.52, 1.79
4.669, 8.08, 2.74
4.699, 7.57, 3.74
4.734, 6.79, 5.00
4.768, 5.60, 6.25
4.799, 3.65, 7.32
4.836, 1.40, 8.43
4.871, 1.28, 9.37
4.896, 1.16, 9.79
4.936, 0.99, 9.92
4.968, 0.87, 9.54
5.000, 0.77, 8.76
5.036, 0.75, 7.51
5.068, 0.55, 6.16
5.103, 0.33, 4.60
5.137, 0.49, 3.13
5.170, 1.24, 1.92
5.208, 2.67, 1.05
5.236, 4.85, 0.64
5.270, 6.64, 0.44
5.307, 7.56, 0.59
5.334, 8.54, 0.94
5.371, 9.40, 1.71
5.401, 9.80, 2.55
5.436, 9.85, 3.70
5.475, 9.71, 5.11
5.502, 9.55, 6.10
5.536, 9.42, 6.92
5.566, 9.33, 8.12
5.600, 9.27, 9.06
5.639, 9.18, 9.70
5.668, 9.08, 9.92
5.704, 8.96, 9.89
5.738, 8.79, 9.53
5.766, 8.51, 9.02
5.802, 8.00, 8.12
5.838, 7.04, 6.99
5.871, 4.76, 5.85
5.899, 2.04, 4.84
5.939, 1.96, 3.44
5.970, 1.79, 2.45
6.003, 1.63, 1.51
6.036, 1.47, 0.75
6.071, 1.23, 0.44
6.109, 0.97, 0.71
6.136, 0.56, 1.28
6.174, 0.78, 2.52
6.207, 1.86, 3.89
6.239, 3.89, 5.35
6.274, 5.90, 6.92
6.314, 6.82, 8.47
6.341, 7.79, 9.12
6.369, 8.85, 9.60
6.404, 9.52, 9.92
6.436, 9.61, 9.92
6.474, 9.28, 9.56
6.506, 8.75, 8.98
6.539, 8.19, 8.21
6.570, 7.63, 7.28
6.603, 7.12, 6.16
6.639, 6.59, 4.88
6.670, 6.02, 3.80
6.710, 5.40, 2.51
6.734, 4.69, 1.85
6.767, 3.74, 0.95
6.813, 2.06, 0.44
6.841, 1.28, 0.59
6.876, 1.13, 1.27
6.905, 0.93, 2.19
6.939, 0.83, 3.56
6.971, 0.75, 5.02
7.008, 0.65, 6.72
7.047, 0.62, 8.30
7.082, 0.62, 9.17
7.107, 0.61, 9.59
7.135, 0.35, 9.87
7.172, 0.31, 9.93
7.205, 0.60, 9.67
7.235, 1.24, 9.20
7.271, 2.12, 8.37
7.313, 3.12, 7.11
7.344, 4.05, 6.06
7.370, 4.68, 5.13
7.413, 4.85, 3.63
7.439, 4.39, 2.78
7.470, 3.48, 1.90
7.506, 2.32, 1.52
7.542, 1.64, 0.66
7.571, 1.31, 0.44
7.615, 1.27, 0.95
7.640, 1.38, 1.66
7.671, 1.59, 2.88
7.715, 1.61, 5.01
7.748, 1.55, 6.65
7.771, 1.49, 7.70
7.814, 1.41, 9.03
7.840, 1.28, 9.48
7.873, 1.14, 9.84
7.914, 1.00, 9.94
7.940, 0.88, 9.79
7.980, 0.80, 9.26
8.008, 0.77, 8.69
8.040, 0.73, 7.88
8.078, 0.43, 6.73
8.109, 0.49, 5.71
8.139, 1.14, 4.70
8.180, 2.51, 3.36
8.206, 4.49, 2.59
8.240, 6.58, 1.65
8.273, 7.58, 0.78
8.313, 8.55, 0.44
8.347, 9.40, 0.82
8.382, 9.69, 1.80
8.409, 9.61, 2.88
8.439, 9.37, 4.30
8.473, 9.15, 5.54
8.514, 8.97, 7.80
8.538, 8.83, 8.71
8.573, 8.66, 9.35
8.606, 8.39, 9.74
8.649, 8.02, 9.95
8.675, 7.51, 9.90
8.713, 6.87, 9.58
8.740, 5.83, 9.19
8.780, 4.18, 8.39
8.815, 1.50, 7.51
8.847, 1.24, 6.61
8.880, 1.14, 5.61
8.914, 1.14, 4.56
8.947, 1.15, 3.57
8.980, 1.15, 2.66
9.018, 0.86, 1.68
9.045, 0.52, 0.82
9.075, 0.78, 0.44
9.107, 1.94, 0.74
9.148, 4.16, 2.11
9.173, 5.74, 3.36
9.214, 6.60, 5.72
9.248, 7.43, 7.60
9.274, 8.33, 8.67
9.307, 9.13, 9.28
9.343, 9.66, 9.74
9.381, 9.91, 9.94
9.407, 9.97, 9.92
9.448, 9.95, 9.61
9.475, 9.89, 9.24
9.515, 9.81, 7.82
9.550, 9.68, 6.75
9.581, 9.48, 5.72
9.608, 9.19, 4.80
9.648, 8.79, 3.43
9.678, 8.25, 2.56
9.717, 7.47, 1.45
9.747, 6.26, 0.73
9.783, 4.26, 0.44
9.814, 1.61, 0.72
9.847, 1.37, 1.53
9.883, 1.19, 2.89
9.916, 1.16, 4.43
9.950, 1.13, 6.11
9.982, 0.69, 7.59
10.016, 0.39, 8.78
