経過時間_秒, Green, IBI, Smoothed_IBI, bpmSD, Smoothed_BPM
0.018, 0.85, 628.00, 566.52, 35.49, 105.91
0.084, 2.47, 628.00, 566.52, 35.49, 105.91
0.124, 4.36, 628.00, 566.52, 35.49, 105.91
0.158, 5.40, 628.00, 566.52, 35.49, 105.91
0.180, 6.28, 628.00, 566.52, 35.49, 105.91
0.214, 7.10, 628.00, 566.52, 35.49, 105.91
0.248, 7.84, 628.00, 566.52, 35.49, 105.91
0.277, 8.71, 628.00, 566.52, 35.49, 105.91
0.314, 9.26, 628.00, 566.52, 35.49, 105.91
0.348, 9.55, 628.00, 566.52, 35.49, 105.91
0.377, 9.62, 628.00, 566.52, 35.49, 105.91
0.415, 9.68, 628.00, 566.52, 35.49, 105.91
0.446, 9.80, 628.00, 566.52, 35.49, 105.91
0.483, 9.91, 628.00, 566.52, 35.49, 105.91
0.514, 9.95, 628.00, 566.52, 35.49, 105.91
0.552, 9.90, 628.00, 566.52, 33.16, 105.91
0.584, 9.74, 628.00, 566.52, 33.16, 105.91
0.616, 9.52, 628.00, 566.52, 33.16, 105.91
0.658, 9.21, 628.00, 566.52, 33.16, 105.91
0.684, 8.81, 628.00, 566.52, 33.16, 105.91
0.714, 8.20, 628.00, 566.52, 33.16, 105.91
0.747, 7.26, 628.00, 566.52, 33.16, 105.91
0.781, 5.72, 628.00, 566.52, 33.16, 105.91
0.813, 2.65, 628.00, 566.52, 33.16, 105.91
0.848, 1.91, 628.00, 566.52, 33.16, 105.91
0.880, 1.80, 628.00, 566.52, 33.16, 105.91
0.915, 1.63, 628.00, 566.52, 33.16, 105.91
0.953, 1.55, 628.00, 566.52, 33.16, 105.91
0.983, 1.39, 628.00, 566.52, 33.16, 105.91
1.015, 1.17, 628.00, 566.52, 33.16, 105.91
1.049, 0.80, 628.00, 566.52, 33.16, 105.91
1.082, 0.43, 628.00, 566.52, 33.16, 105.91
1.120, 0.49, 628.00, 566.52, 33.16, 105.91
1.147, 1.06, 628.00, 566.52, 33.16, 105.91
1.187, 2.18, 628.00, 566.52, 33.16, 105.91
1.217, 3.83, 628.00, 566.52, 33.16, 105.91
1.249, 5.79, 628.00, 566.52, 33.16, 105.91
1.282, 7.73, 628.00, 566.52, 33.16, 105.91
1.318, 8.60, 628.00, 566.52, 33.16, 105.91
1.349, 9.26, 628.00, 566.52, 33.16, 105.91
1.382, 9.65, 628.00, 566.52, 33.16, 105.91
1.418, 9.83, 628.00, 566.52, 33.16, 105.91
1.452, 9.92, 628.00, 566.52, 33.16, 105.91
1.487, 9.89, 628.00, 566.52, 33.45, 105.91
1.518, 9.91, 628.00, 566.52, 33.45, 105.91
1.550, 9.88, 628.00, 566.52, 33.45, 105.91
1.582, 9.80, 628.00, 566.52, 33.45, 105.91
1.615, 9.56, 628.00, 566.52, 33.45, 105.91
1.654, 9.19, 628.00, 566.52, 33.45, 105.91
1.682, 8.69, 628.00, 566.52, 33.45, 105.91
1.718, 8.00, 628.00, 566.52, 33.45, 105.91
1.763, 7.00, 628.00, 566.52, 33.45, 105.91
1.788, 5.44, 628.00, 566.52, 33.45, 105.91
1.822, 2.77, 628.00, 566.52, 33.45, 105.91
1.851, 1.79, 628.00, 566.52, 33.45, 105.91
1.882, 1.59, 628.00, 566.52, 33.45, 105.91
1.919, 1.56, 628.00, 566.52, 33.45, 105.91
1.954, 1.53, 628.00, 566.52, 33.45, 105.91
1.983, 1.39, 628.00, 566.52, 33.45, 105.91
