経過時間_秒, Green, SinWave
0.027, 8.45, 7.40
0.084, 9.25, 8.97
0.103, 9.36, 9.31
0.124, 8.85, 9.61
0.151, 8.22, 9.87
0.188, 7.61, 8.85
0.226, 7.20, 8.04
0.255, 6.91, 8.67
0.285, 6.53, 9.24
0.327, 6.07, 9.78
0.353, 5.34, 9.94
0.394, 4.36, 9.92
0.427, 3.24, 9.66
0.457, 1.86, 9.24
0.490, 1.55, 8.61
0.517, 1.29, 7.98
0.552, 1.24, 7.04
0.591, 1.19, 5.89
0.623, 1.20, 4.92
0.665, 1.00, 3.69
0.702, 0.70, 2.72
0.733, 0.44, 2.05
0.757, 0.65, 1.65
0.788, 1.36, 1.25
0.821, 2.63, 1.00
0.857, 3.96, 0.95
0.897, 5.22, 1.15
0.923, 6.23, 1.43
0.966, 6.97, 2.12
0.988, 7.20, 2.57
1.031, 6.98, 3.60
1.059, 6.07, 4.35
1.095, 4.88, 5.22
1.125, 3.84, 2.84
1.157, 2.78, 1.92
1.191, 1.78, 1.19
1.223, 1.82, 0.77
1.258, 1.77, 0.50
1.298, 1.65, 0.45
1.329, 1.28, 0.61
1.358, 1.08, 0.91
1.391, 0.98, 1.40
1.422, 0.93, 2.00
1.458, 0.80, 2.80
1.488, 0.76, 3.53
1.518, 0.75, 4.27
1.559, 0.65, 5.24
1.598, 0.45, 6.05
1.625, 0.33, 6.59
1.664, 0.62, 7.12
1.696, 1.47, 7.23
1.724, 2.96, 7.07
1.759, 4.97, 6.57
1.797, 7.00, 5.69
1.831, 7.85, 4.70
1.865, 8.64, 3.62
1.897, 9.27, 2.62
1.922, 9.68, 1.92
1.959, 9.76, 1.15
1.993, 9.69, 0.72
2.031, 9.69, 0.46
2.063, 9.84, 0.45
2.097, 9.94, 0.63
2.133, 9.95, 1.04
2.155, 9.94, 1.39
2.194, 9.93, 2.15
2.231, 9.95, 2.99
2.266, 9.88, 3.85
2.299, 9.85, 4.66
2.328, 9.90, -1.60
2.365, 9.94, 2.89
2.400, 9.79, 2.09
2.429, 9.19, 1.40
2.460, 7.54, 0.73
2.500, 4.24, 0.34
2.533, 3.30, 0.45
2.567, 1.67, 0.98
2.596, 1.38, 1.72
2.631, 3.36, 2.90
2.662, 4.34, 4.12
2.703, 5.37, 5.84
2.734, 6.33, 7.09
2.764, 7.25, 8.16
2.792, 8.04, 8.84
2.830, 8.70, 9.42
2.860, 8.99, 9.73
2.898, 9.05, 9.94
2.922, 9.13, 9.95
2.967, 9.32, 9.72
2.997, 9.59, 9.40
3.031, 9.82, 8.89
3.064, 9.81, 8.25
3.097, 9.51, 7.50
3.135, 8.98, 2.75
3.165, 8.30, 1.83
3.188, 7.52, 1.35
3.232, 6.55, 0.70
3.266, 5.20, 0.41
3.298, 3.23, 0.33
3.332, 1.69, 0.44
3.364, 1.45, 0.73
3.398, 1.28, 1.22
3.430, 1.12, 1.84
3.466, 0.91, 2.68
3.499, 0.49, 3.56
3.531, 0.27, 4.47
3.568, 0.43, 5.56
3.598, 0.96, 6.43
3.633, 1.78, 7.38
3.670, 2.79, 8.28
3.700, 3.95, 8.99
3.730, 5.26, 9.57
3.772, 6.56, 9.94
3.801, 7.70, 9.89
3.828, 9.06, 9.60
3.866, 9.51, 8.86
3.900, 9.38, 7.90
3.932, 9.46, 6.81
3.969, 9.71, 5.42
3.995, 9.80, 4.42
4.041, 9.63, 2.75
4.069, 9.18, 1.88
4.097, 8.53, 11.01
4.136, 7.68, 0.66
4.161, 6.55, 0.44
4.208, 4.83, 0.26
4.245, 2.20, 0.35
4.266, 1.99, 0.48
4.300, 1.82, 0.83
4.333, 1.57, 1.32
4.364, 1.39, 1.89
4.400, 0.92, 2.66
4.434, 0.45, 3.48
4.466, 0.37, 4.30
4.502, 0.74, 5.25
4.533, 1.45, 6.06
4.566, 2.36, 6.90
4.601, 3.26, 7.71
4.632, 4.02, 8.35
4.669, 4.59, 9.53
