経過時間_秒, Green, IBI, Smoothed_IBI, bpmSD, Smoothed_BPM
0.027, 8.45, 870.00, 866.61, 6.19, 69.24
0.084, 9.25, 870.00, 866.61, 6.19, 69.24
0.103, 9.36, 870.00, 866.61, 6.19, 69.24
0.124, 8.85, 870.00, 866.61, 6.31, 69.24
0.151, 8.22, 870.00, 866.61, 6.31, 69.24
0.188, 7.61, 870.00, 866.61, 6.31, 69.24
0.226, 7.20, 870.00, 866.61, 6.31, 69.24
0.255, 6.91, 870.00, 866.61, 6.31, 69.24
0.285, 6.53, 870.00, 866.61, 6.31, 69.24
0.327, 6.07, 870.00, 866.61, 6.31, 69.24
0.353, 5.34, 870.00, 866.61, 6.31, 69.24
0.394, 4.36, 870.00, 866.61, 6.31, 69.24
0.427, 3.24, 870.00, 866.61, 6.31, 69.24
0.457, 1.86, 870.00, 866.61, 6.31, 69.24
0.490, 1.55, 870.00, 866.61, 6.31, 69.24
0.517, 1.29, 870.00, 866.61, 6.31, 69.24
0.552, 1.24, 870.00, 866.61, 6.31, 69.24
0.591, 1.19, 870.00, 866.61, 6.31, 69.24
0.623, 1.20, 870.00, 866.61, 6.31, 69.24
0.665, 1.00, 870.00, 866.61, 6.31, 69.24
0.702, 0.70, 870.00, 866.61, 6.31, 69.24
0.733, 0.44, 870.00, 866.61, 6.31, 69.24
0.757, 0.65, 870.00, 866.61, 6.31, 69.24
0.788, 1.36, 870.00, 866.61, 6.31, 69.24
0.821, 2.63, 870.00, 866.61, 6.31, 69.24
0.857, 3.96, 870.00, 866.61, 6.31, 69.24
0.897, 5.22, 870.00, 866.61, 6.31, 69.24
0.923, 6.23, 870.00, 866.61, 6.31, 69.24
0.966, 6.97, 870.00, 866.61, 6.31, 69.24
0.988, 7.20, 870.00, 866.61, 6.31, 69.24
1.031, 6.98, 907.00, 886.81, 6.21, 67.66
1.059, 6.07, 907.00, 886.81, 6.21, 67.66
1.095, 4.88, 907.00, 886.81, 6.21, 67.66
1.125, 3.84, 907.00, 886.81, 6.21, 67.66
1.157, 2.78, 907.00, 886.81, 6.21, 67.66
1.191, 1.78, 907.00, 886.81, 6.21, 67.66
1.223, 1.82, 907.00, 886.81, 6.21, 67.66
1.258, 1.77, 907.00, 886.81, 6.21, 67.66
1.298, 1.65, 907.00, 886.81, 6.21, 67.66
