経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, Stiffness, E, SBP, DBP
0.032, 4.6452, 78.0234, -0.6549, -0.6185, 9.3592, 4.3425, 123.95, 82.10
0.398, 4.6452, 78.0234, -0.3627, -0.6185, 9.3592, 4.3425, 123.95, 82.10
1.303, 4.7709, 66.7408, -0.6019, -0.3541, 8.9103, 4.0794, 143.14, 104.76
2.264, 3.5656, 64.2398, -0.6928, -0.5105, 5.1662, 2.7359, 108.37, 70.79
3.137, 5.0411, 66.4452, -0.5151, -0.3434, 9.9892, 4.4491, 128.36, 84.99
4.067, 4.6936, 61.2245, -0.5292, -0.5292, 8.3380, 3.8486, 127.15, 87.94
5.010, 5.0076, 62.8931, -0.6376, -0.3903, 10.4096, 4.6517, 138.81, 97.25
5.876, 4.8967, 71.6846, -0.6288, -0.3499, 9.4564, 4.2734, 126.72, 84.64
6.878, 4.8302, 63.6943, -0.4573, -0.5716, 9.1125, 4.1463, 124.53, 83.42
8.581, 4.7039, 71.7703, -0.5928, -0.2635, 8.9343, 4.1194, 131.47, 90.80
11.295, 4.5976, 57.9151, -0.6220, -0.3293, 7.8185, 3.6464, 126.06, 86.48
12.187, 4.8788, 74.3494, -0.6375, -0.3375, 9.6602, 4.3735, 126.87, 85.27
13.096, 4.9762, 69.2042, -0.6652, -0.3695, 9.5271, 4.2708, 125.43, 83.85
14.098, 4.8475, 66.7408, -0.6535, -0.3267, 9.1328, 4.1481, 123.17, 81.52
15.800, 4.7518, 56.3910, -0.3956, -0.4615, 8.9153, 4.0899, 138.18, 99.01
16.667, 4.6669, 81.6327, -0.6213, -0.4020, 8.8353, 4.0899, 138.18, 99.01
17.501, 4.5333, 65.9341, -0.4562, -0.4942, 7.4194, 3.4847, 118.67, 79.13
18.386, 4.9990, 69.8487, -0.6735, -0.5546, 9.5660, 4.2785, 137.57, 98.56
19.274, 4.6712, 71.6846, -0.6719, -0.3360, 7.9213, 3.6651, 128.80, 88.78
20.180, 4.7580, 68.8863, -0.6310, -0.3330, 8.1318, 3.7280, 117.54, 77.11
