経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, Stiffness, E, SBP, DBP
0.017, 4.7463, 74.5342, -0.6875, -0.3867, 8.8463, 4.0605, 122.92, 84.41
0.852, 3.9314, 78.1250, -0.6377, -0.3587, 6.5226, 3.2896, 109.73, 71.94
1.653, 4.8179, 69.4444, -0.5670, -0.3780, 9.6529, 4.3977, 125.74, 85.10
2.528, 4.8074, 71.4286, -0.7004, -0.3708, 8.8353, 4.0297, 125.89, 87.19
3.390, 4.5605, 75.2823, -0.6781, -0.3390, 8.0595, 3.7740, 116.10, 76.00
4.228, 4.8124, 68.8073, -0.6132, -0.3066, 9.4976, 4.3294, 122.81, 81.59
5.097, 4.7937, 69.2042, -0.6293, -0.3528, 9.5552, 4.3642, 125.70, 85.35
5.895, 4.6884, 71.5137, -0.6083, -0.3802, 8.6962, 4.0162, 122.30, 82.29
6.747, 4.8872, 69.2042, -0.6608, -0.3304, 9.5704, 4.3291, 127.01, 87.02
7.501, 4.6549, 74.7198, -0.6204, -0.3490, 8.4848, 3.9327, 119.03, 79.21
8.304, 4.5469, 71.7703, -0.7003, -0.4377, 8.4337, 3.9551, 120.66, 82.24
9.175, 4.0290, 78.1250, -0.6986, -0.3288, 6.6622, 3.3191, 110.51, 72.60
9.975, 4.3116, 74.9064, -0.6062, -0.3410, 7.4675, 3.5963, 112.68, 73.41
11.760, 4.6071, 74.7198, -0.6600, -0.4538, 8.2770, 3.8562, 115.67, 76.01
12.609, 4.8446, 64.1711, -0.6631, -0.3511, 9.3633, 4.2540, 125.00, 84.48
14.418, 4.5600, 69.0449, -0.6608, -0.3887, 8.4161, 3.9412, 117.23, 76.99
15.254, 4.8851, 64.1026, -0.6456, -0.3406, 9.9544, 4.5038, 126.55, 85.09
16.090, 4.7572, 69.3642, -0.6719, -0.3557, 8.6791, 3.9792, 120.85, 80.92
16.992, 4.7729, 72.1154, -0.7105, -0.3158, 9.2239, 4.2221, 122.09, 81.45
17.791, 4.6775, 71.5137, -0.5847, -0.3289, 8.4177, 3.8921, 116.34, 75.40
18.626, 4.5886, 66.5927, -0.7021, -0.3304, 8.7473, 4.0835, 124.17, 85.08
19.500, 4.3972, 74.1656, -0.7122, -0.3165, 7.9743, 3.8028, 114.81, 75.05
20.366, 4.5761, 72.4638, -0.6419, -0.8684, 8.9302, 4.1746, 118.47, 77.37
21.202, 4.5565, 69.2042, -0.6478, -0.3430, 8.9007, 4.1698, 132.98, 92.27
22.105, 4.7525, 68.4932, -0.6711, -0.3158, 9.5055, 4.3603, 124.50, 83.74
22.942, 4.6543, 72.4638, -0.6213, -0.3643, 8.8705, 4.1117, 120.52, 79.56
23.770, 4.7928, 66.2252, -0.6703, -0.3931, 9.5905, 4.3808, 126.73, 86.03
24.646, 4.5122, 71.7703, -0.6767, -0.3185, 8.4718, 3.9883, 119.97, 79.95
25.476, 4.6455, 72.0288, -0.6411, -0.3394, 8.6760, 4.0254, 119.15, 78.61
27.085, 4.6147, 72.6392, -0.6354, -0.3177, 8.3243, 3.8750, 121.58, 82.56
27.885, 4.2762, 77.8210, -0.5467, -0.3515, 7.5269, 3.6399, 116.24, 77.46
30.092, 4.1509, 85.3485, -0.6608, -0.3304, 6.8546, 3.3644, 120.22, 84.11
30.961, 4.0735, 90.3614, -0.7080, -0.8653, 7.1931, 3.5640, 113.58, 75.08
31.857, 4.4550, 71.5990, -0.6835, -0.8354, 8.7059, 4.1247, 128.61, 87.50
32.695, 4.6009, 69.6056, -0.5899, -0.3318, 8.6959, 4.0541, 129.35, 88.13
33.596, 4.8209, 66.4452, -0.6687, -0.3540, 9.9013, 4.5095, 129.02, 88.44
34.470, 4.5848, 71.4286, -0.6593, -0.3663, 8.5539, 3.9949, 120.11, 79.38
35.295, 4.4500, 66.2983, -0.6426, -0.3024, 7.6680, 3.6350, 116.89, 77.10
36.201, 4.8061, 69.2042, -0.7200, -0.3200, 9.2835, 4.2346, 122.94, 82.42
37.037, 4.5888, 72.2022, -0.6192, -0.3278, 8.6929, 4.0580, 117.40, 75.98
37.872, 4.5125, 66.2983, -0.6316, -0.8684, 8.9912, 4.2326, 123.97, 83.83
38.708, 4.5667, 71.7703, -0.6323, -0.3557, 9.1395, 4.2768, 134.36, 93.83
39.578, 4.3086, 72.1154, -0.6308, -0.3548, 8.0689, 3.8873, 119.63, 80.45
41.279, 4.4294, 69.3642, -0.6076, -0.3418, 8.4297, 4.0053, 120.39, 80.48
42.155, 4.6932, 68.4151, -0.6735, -0.3565, 9.3746, 4.3273, 126.03, 85.93
42.980, 4.7925, 72.2022, -0.6034, -0.3394, 9.0248, 4.1224, 121.43, 80.57
43.818, 4.7538, 69.0449, -0.6400, -0.3600, 8.9876, 4.1221, 124.34, 84.68
44.657, 4.8003, 72.3764, -0.6695, -0.3544, 9.2558, 4.2246, 123.93, 83.63
45.524, 4.5825, 71.5137, -0.6687, -0.3135, 8.5953, 4.0152, 119.66, 79.62
46.325, 4.5576, 71.8563, -0.6078, -0.3426, 8.6109, 4.0335, 119.23, 78.94
47.224, 4.4520, 69.0449, -0.7004, -0.3296, 8.6434, 4.0965, 122.86, 83.75
48.063, 4.5368, 74.7198, -0.5873, -0.2937, 8.4953, 3.9885, 117.55, 76.81
49.665, 4.6491, 71.9424, -0.6293, -0.3147, 9.1004, 4.2206, 126.14, 86.35
50.504, 4.4085, 78.1250, -0.5950, -0.3570, 7.6912, 3.6631, 117.05, 78.27
51.341, 4.5064, 70.9220, -0.6293, -0.3933, 8.2572, 3.8897, 122.15, 83.26
52.172, 4.5189, 72.4638, -0.6308, -0.3548, 7.9821, 3.7549, 119.77, 80.74
53.041, 4.7611, 71.9424, -0.6342, -0.3574, 9.0624, 4.1533, 123.42, 83.51
53.914, 4.5452, 71.9424, -0.6456, -0.3797, 8.3910, 3.9358, 120.87, 81.18
54.742, 4.8116, 68.7285, -0.6041, -0.8295, 9.2459, 4.2151, 124.33, 83.52
55.620, 4.6353, 69.2042, -0.6377, -0.3587, 8.6386, 4.0124, 132.62, 92.89
56.480, 4.4613, 71.9424, -0.6397, -0.3387, 8.2091, 3.8865, 120.15, 80.40
57.282, 4.6607, 69.2042, -0.6523, -0.3453, 9.3769, 4.3434, 124.64, 83.85
58.149, 4.8983, 68.8863, -0.7397, -0.2877, 9.7933, 4.4249, 125.04, 84.29
59.022, 4.3826, 75.0939, -0.6478, -0.3048, 7.8358, 3.7430, 111.61, 71.30
