経過時間_秒, Green, SinWave
0.017, 9.54, 9.61
0.083, 9.24, 8.72
0.099, 8.90, 7.19
0.118, 8.46, 6.47
0.152, 7.93, 5.09
0.185, 7.29, 3.76
0.216, 6.57, 2.61
0.248, 5.73, 1.63
0.284, 4.46, 0.89
0.309, 2.40, 0.56
0.350, 1.41, 0.41
0.382, 1.22, 0.63
0.414, 1.08, 1.12
0.453, 0.74, 2.05
0.483, 0.46, 2.97
0.523, 0.67, 4.36
0.549, 1.48, 5.32
0.582, 2.90, 6.52
0.618, 4.83, 7.72
0.649, 6.97, 8.61
0.680, 7.99, 9.35
0.714, 8.94, 9.81
0.765, 9.52, 9.76
0.787, 9.84, 9.46
0.820, 9.93, 8.72
0.852, 9.89, 7.73
0.884, 9.80, 6.54
0.923, 9.63, 8.53
0.972, 9.38, 9.75
0.999, 9.02, 9.41
1.017, 8.51, 9.10
1.053, 7.92, 8.28
1.080, 7.31, 7.53
1.120, 6.51, 6.26
1.155, 5.24, 5.08
1.182, 3.10, 4.17
1.221, 1.70, 2.93
1.252, 1.48, 2.06
1.295, 1.26, 1.11
1.323, 0.72, 0.70
1.353, 0.73, 0.48
1.390, 1.40, 0.51
1.422, 2.82, 0.82
1.448, 4.78, 1.25
1.488, 6.77, 2.19
1.521, 7.91, 3.16
1.554, 8.93, 4.24
1.589, 9.65, 5.46
1.630, 9.86, 6.85
1.653, 9.76, 7.58
1.682, 9.47, 8.39
1.719, 9.05, 11.11
1.769, 8.56, 9.77
1.796, 7.93, 9.48
1.829, 7.20, 8.88
1.856, 6.36, 8.20
1.882, 5.44, 7.43
1.921, 4.52, 6.11
1.955, 3.38, 4.90
1.989, 1.55, 3.71
2.020, 1.21, 2.73
2.051, 1.15, 1.90
2.089, 1.16, 1.20
2.119, 1.05, 0.86
2.156, 0.67, 0.71
2.186, 0.43, 0.83
2.230, 0.71, 1.37
2.253, 1.62, 1.81
2.295, 3.18, 2.85
2.329, 5.27, 3.85
2.351, 7.07, 4.55
2.387, 8.11, 5.72
2.423, 9.10, 6.87
2.461, 9.71, 7.96
2.487, 9.88, 8.61
2.528, 9.79, 9.43
2.563, 9.56, 9.80
2.592, 9.23, 8.87
2.626, 8.80, 7.86
2.658, 8.27, 6.82
2.691, 7.65, 5.63
2.720, 6.92, 4.55
2.758, 6.13, 3.20
2.795, 5.32, 2.04
2.822, 4.17, 1.36
2.855, 2.33, 0.75
2.895, 1.37, 0.41
2.929, 1.26, 0.50
2.955, 1.22, 0.79
2.985, 1.20, 1.36
3.020, 1.09, 2.29
3.055, 0.59, 3.43
3.090, 0.53, 4.71
3.130, 1.01, 6.20
3.158, 2.12, 7.20
3.188, 3.79, 8.14
3.232, 5.81, 9.21
3.261, 7.70, 9.65
3.289, 8.86, 9.86
3.320, 9.63, 9.82
3.356, 9.91, 9.44
3.390, 9.83, 8.76
3.425, 9.61, 7.80
3.459, 9.32, 8.69
3.489, 8.93, 9.83
3.521, 8.46, 9.50
3.556, 7.85, 8.93
3.596, 7.11, 8.02
3.626, 6.28, 7.20
3.657, 5.42, 6.27
3.691, 4.43, 5.21
3.733, 2.75, 3.90
