経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, Stiffness, E, SBP, DBP
0.004, 4.6733, 77.9221, -0.5586, -0.4297, 9.0039, 4.1650, 111.25, 82.05
0.663, 4.6733, 77.9221, -0.6023, -0.4289, 9.0039, 4.1650, 111.25, 82.05
1.396, 4.5156, 77.8210, -0.6016, -0.8164, 8.0208, 3.7745, 111.30, 81.23
2.202, 4.3777, 78.7402, -0.6294, -0.3597, 7.3434, 3.5097, 117.53, 85.39
3.010, 4.5611, 80.6452, -0.5323, -0.4094, 8.7584, 4.1010, 109.29, 79.87
3.734, 4.6858, 75.4717, -0.4907, -0.4498, 8.6814, 4.0105, 110.49, 81.09
4.516, 4.6909, 74.5342, -0.5925, -0.4558, 8.7326, 4.0320, 112.48, 83.35
5.313, 4.4106, 81.4111, -0.5493, -0.4225, 7.8322, 3.7293, 112.01, 81.88
6.044, 4.1296, 78.0234, -0.4549, -0.4962, 7.2884, 3.5866, 112.78, 83.03
6.775, 4.6454, 75.2823, -0.5404, -0.4966, 8.3727, 3.8847, 113.88, 84.54
7.548, 3.6470, 81.8554, -0.5861, -0.4495, 5.6098, 2.9375, 116.25, 85.69
8.327, 4.1695, 81.6327, -0.5550, -0.4269, 7.0941, 3.4742, 113.17, 82.92
9.047, 4.6681, 77.5194, -0.5501, -0.4242, 8.3972, 3.8866, 111.18, 81.45
10.394, 4.6823, 81.7439, -0.4577, -0.6865, 9.4223, 4.3544, 111.36, 82.72
11.829, 4.6720, 89.5522, -0.6804, -0.3888, 9.6575, 4.4680, 113.53, 85.03
12.502, 4.3572, 94.3396, -0.4504, -0.4094, 7.9991, 3.8321, 110.35, 80.26
13.296, 4.1433, 74.9064, -0.5402, -0.4420, 7.6997, 3.7827, 115.87, 87.50
13.995, 4.5950, 88.8889, -0.4572, -0.4572, 8.5713, 3.9986, 112.17, 82.82
14.763, 4.5926, 75.5668, -0.6129, -0.4714, 8.2368, 3.8435, 114.41, 85.36
15.539, 3.6920, 84.8656, -0.5593, -0.4302, 5.8917, 3.0663, 114.80, 84.07
17.066, 4.2661, 78.3290, -0.4678, -0.4678, 7.3133, 3.5408, 112.31, 82.13
17.769, 3.8504, 71.9424, -0.5223, -0.7597, 6.3556, 3.2389, 116.90, 87.37
19.105, 1.8709, 85.1064, -0.5619, -0.5164, 2.3889, 1.7465, 124.72, 93.88
19.781, 4.5474, 95.5414, -0.5617, -0.4213, 9.0915, 4.2634, 114.25, 85.20
20.479, 2.0606, 85.1064, -0.5370, -0.3905, 2.7893, 1.9431, 118.69, 88.46
21.147, 1.7148, 89.1530, -0.5201, -0.4728, 2.0476, 1.5637, 117.88, 87.61
21.914, 2.9209, 86.4553, -0.6422, -0.4446, 4.4637, 2.6117, 119.83, 90.01
22.684, 4.6073, 88.4956, -0.5163, -0.4302, 8.5963, 4.0048, 111.64, 81.78
23.385, 4.2854, 78.5340, -0.4286, -0.4701, 7.4766, 3.6116, 113.80, 84.28
25.657, 4.2847, 85.9599, -0.4708, -0.5649, 7.4557, 3.6019, 112.44, 82.14
26.357, 3.6508, 69.2042, -0.4681, -0.5149, 5.5807, 2.9208, 119.01, 88.70
27.128, 3.7314, 85.9599, -0.5186, -0.5186, 6.5270, 3.3789, 118.66, 89.41
27.802, 3.8410, 84.9858, -0.4714, -0.5143, 6.7649, 3.4517, 116.71, 86.98
30.472, 1.1213, 95.2381, -0.5386, -0.4881, 0.9247, 0.8733, 124.50, 94.69
31.204, 0.6615, 64.2398, -0.5394, -0.4413, 0.7103, 0.8733, 124.50, 94.69
31.839, 1.2603, 54.1516, -0.4057, -0.4959, 0.9804, 0.8733, 124.50, 94.69
32.473, 3.8573, 82.1918, -0.5717, -0.5197, 6.2299, 3.1721, 119.89, 90.81
34.706, 2.8177, 65.3595, -0.6246, -0.5205, 6.2643, 3.7319, 112.65, 82.15
35.441, 4.3751, 102.7397, -0.5893, -0.4533, 8.1163, 3.8803, 114.91, 85.00
36.183, 4.4409, 81.6327, -0.5845, -0.4046, 8.3305, 3.9530, 113.51, 84.08
36.958, 4.5611, 81.7439, -0.5774, -0.3997, 8.4166, 3.9410, 112.00, 82.60
37.651, 4.5543, 81.0811, -0.5550, -0.3842, 8.1995, 3.8421, 111.44, 81.81
39.225, 4.5321, 86.2069, -0.5231, -0.5231, 8.2578, 3.8789, 110.86, 81.00
39.992, 3.7285, 71.8563, -0.4932, -0.4932, 5.9759, 3.0948, 117.17, 86.89
40.659, 3.6909, 81.6327, -0.4308, -0.5170, 6.4749, 3.3703, 116.93, 87.44
41.403, 2.6456, 79.1557, -0.5434, -0.4940, 3.9401, 2.4224, 121.17, 91.51
42.099, 4.1601, 89.8204, -0.4886, -0.4886, 8.1563, 3.9989, 115.37, 86.36
42.828, 4.7433, 80.3213, -0.5216, -0.4741, 9.5864, 4.4016, 113.97, 85.57
43.525, 4.6471, 86.7052, -0.4979, -0.4979, 8.4084, 3.9005, 113.75, 84.31
44.228, 4.1855, 80.6452, -0.5673, -0.4728, 7.0664, 3.4540, 116.47, 86.76
45.771, 4.4573, 85.4701, -0.5633, -0.4225, 7.9583, 3.7695, 112.37, 82.32
46.507, 4.5149, 74.5342, -0.5373, -0.4478, 8.0696, 3.7978, 112.96, 83.42
