経過時間_秒, Green, IBI, Smoothed_IBI, bpmSD, Smoothed_BPM
0.004, 8.53, 767.00, 758.38, 7.80, 79.12
0.056, 7.98, 767.00, 758.38, 7.80, 79.12
0.073, 7.39, 767.00, 758.38, 7.80, 79.12
0.108, 6.78, 767.00, 758.38, 7.80, 79.12
0.131, 6.08, 767.00, 758.38, 7.80, 79.12
0.161, 4.90, 767.00, 758.38, 7.80, 79.12
0.209, 2.96, 767.00, 758.38, 7.80, 79.12
0.237, 2.05, 767.00, 758.38, 7.80, 79.12
0.260, 1.52, 767.00, 758.38, 7.80, 79.12
0.296, 0.73, 767.00, 758.38, 7.80, 79.12
0.328, 0.40, 767.00, 758.38, 7.80, 79.12
0.359, 0.61, 767.00, 758.38, 7.80, 79.12
0.395, 1.36, 767.00, 758.38, 7.80, 79.12
0.440, 2.47, 767.00, 758.38, 7.80, 79.12
0.475, 3.83, 767.00, 758.38, 7.80, 79.12
0.495, 5.27, 767.00, 758.38, 7.80, 79.12
0.529, 6.64, 767.00, 758.38, 7.80, 79.12
0.565, 7.71, 767.00, 758.38, 7.80, 79.12
0.606, 8.76, 767.00, 758.38, 7.80, 79.12
0.639, 9.71, 767.00, 758.38, 7.80, 79.12
0.663, 9.51, 768.00, 763.19, 7.23, 78.62
0.697, 9.07, 768.00, 763.19, 7.23, 78.62
0.732, 8.30, 768.00, 763.19, 7.23, 78.62
0.763, 7.52, 768.00, 763.19, 7.23, 78.62
0.796, 6.55, 768.00, 763.19, 7.23, 78.62
0.833, 5.44, 768.00, 763.19, 7.23, 78.62
0.864, 4.32, 768.00, 763.19, 7.23, 78.62
0.899, 3.03, 768.00, 763.19, 7.23, 78.62
0.935, 1.87, 768.00, 763.19, 7.23, 78.62
0.969, 1.95, 768.00, 763.19, 7.23, 78.62
0.995, 1.56, 768.00, 763.19, 7.23, 78.62
1.033, 0.95, 768.00, 763.19, 7.23, 78.62
1.065, 0.40, 768.00, 763.19, 7.23, 78.62
1.099, 0.40, 768.00, 763.19, 7.23, 78.62
1.132, 0.91, 768.00, 763.19, 7.23, 78.62
1.168, 1.95, 768.00, 763.19, 7.23, 78.62
1.198, 3.37, 768.00, 763.19, 7.23, 78.62
1.231, 4.89, 768.00, 763.19, 7.23, 78.62
1.272, 6.54, 768.00, 763.19, 7.23, 78.62
1.304, 8.09, 768.00, 763.19, 7.23, 78.62
1.333, 9.34, 768.00, 763.19, 7.23, 78.62
1.367, 9.69, 768.00, 763.19, 7.23, 78.62
1.396, 9.64, 734.00, 748.59, 6.89, 80.15
1.434, 9.30, 734.00, 748.59, 6.89, 80.15
1.476, 8.83, 734.00, 748.59, 6.89, 80.15
1.507, 8.17, 734.00, 748.59, 6.89, 80.15
1.533, 7.40, 734.00, 748.59, 6.89, 80.15
1.567, 6.47, 734.00, 748.59, 6.89, 80.15
1.597, 5.36, 734.00, 748.59, 6.89, 80.15
1.632, 4.19, 734.00, 748.59, 6.89, 80.15
1.669, 2.94, 734.00, 748.59, 6.89, 80.15
1.710, 1.85, 734.00, 748.59, 6.89, 80.15
1.730, 1.51, 734.00, 748.59, 6.89, 80.15
1.767, 1.17, 734.00, 748.59, 6.89, 80.15
1.801, 0.70, 734.00, 748.59, 6.89, 80.15
1.830, 0.42, 734.00, 748.59, 6.89, 80.15
1.871, 0.58, 734.00, 748.59, 6.89, 80.15
1.904, 1.25, 734.00, 748.59, 6.89, 80.15
1.940, 2.42, 734.00, 748.59, 6.89, 80.15
1.964, 3.93, 734.00, 748.59, 6.89, 80.15
2.003, 5.75, 734.00, 748.59, 6.89, 80.15
2.054, 7.76, 734.00, 748.59, 6.89, 80.15
2.076, 8.67, 734.00, 748.59, 6.89, 80.15
2.097, 9.31, 734.00, 748.59, 6.89, 80.15
2.136, 9.73, 734.00, 748.59, 6.89, 80.15
2.163, 9.75, 734.00, 748.59, 6.89, 80.15
2.202, 9.52, 806.00, 777.30, 6.96, 77.19
2.233, 9.03, 806.00, 777.30, 6.96, 77.19
2.271, 8.42, 806.00, 777.30, 6.96, 77.19
2.303, 7.74, 806.00, 777.30, 6.96, 77.19
2.336, 6.94, 806.00, 777.30, 6.96, 77.19
2.368, 6.09, 806.00, 777.30, 6.96, 77.19
2.402, 5.14, 806.00, 777.30, 6.96, 77.19
2.434, 4.12, 806.00, 777.30, 6.96, 77.19
2.467, 2.61, 806.00, 777.30, 6.96, 77.19
2.502, 1.73, 806.00, 777.30, 6.96, 77.19
2.535, 1.26, 806.00, 777.30, 6.96, 77.19
2.566, 0.64, 806.00, 777.30, 6.96, 77.19
2.612, 0.36, 806.00, 777.30, 6.96, 77.19
2.638, 0.60, 806.00, 777.30, 6.96, 77.19
2.670, 1.31, 806.00, 777.30, 6.96, 77.19
2.708, 2.45, 806.00, 777.30, 6.96, 77.19
2.737, 3.77, 806.00, 777.30, 6.96, 77.19
2.763, 5.18, 806.00, 777.30, 6.96, 77.19
2.798, 6.70, 806.00, 777.30, 6.96, 77.19
2.832, 8.04, 806.00, 777.30, 6.96, 77.19
2.867, 9.13, 806.00, 777.30, 6.96, 77.19
2.906, 9.27, 806.00, 777.30, 6.96, 77.19
2.935, 9.59, 806.00, 777.30, 6.96, 77.19
2.964, 9.84, 806.00, 777.30, 6.96, 77.19
3.010, 9.81, 807.00, 792.15, 6.98, 75.74
3.035, 9.59, 807.00, 792.15, 6.98, 75.74
3.077, 9.14, 807.00, 792.15, 6.98, 75.74
3.105, 8.53, 807.00, 792.15, 6.98, 75.74
3.131, 7.82, 807.00, 792.15, 6.98, 75.74
3.177, 6.98, 807.00, 792.15, 6.98, 75.74
3.202, 6.11, 807.00, 792.15, 6.98, 75.74
3.234, 4.78, 807.00, 792.15, 6.98, 75.74
3.266, 2.81, 807.00, 792.15, 6.98, 75.74
3.298, 1.75, 807.00, 792.15, 6.98, 75.74
3.332, 0.87, 807.00, 792.15, 6.98, 75.74
3.373, 0.53, 807.00, 792.15, 6.98, 75.74
3.405, 0.88, 807.00, 792.15, 6.98, 75.74
3.436, 2.01, 807.00, 792.15, 6.98, 75.74
3.467, 3.67, 807.00, 792.15, 6.98, 75.74
3.505, 5.74, 807.00, 792.15, 6.98, 75.74
3.537, 7.28, 807.00, 792.15, 6.98, 75.74
3.567, 8.19, 807.00, 792.15, 6.98, 75.74
3.611, 8.80, 807.00, 792.15, 6.98, 75.74
3.652, 9.26, 807.00, 792.15, 6.98, 75.74
3.668, 9.63, 807.00, 792.15, 6.98, 75.74
3.711, 9.79, 807.00, 792.15, 6.98, 75.74
3.734, 9.69, 724.00, 758.07, 6.95, 79.15
3.777, 9.44, 724.00, 758.07, 6.95, 79.15
3.816, 9.03, 724.00, 758.07, 6.95, 79.15
3.840, 8.59, 724.00, 758.07, 6.95, 79.15
3.877, 8.10, 724.00, 758.07, 6.95, 79.15
3.900, 7.47, 724.00, 758.07, 6.95, 79.15
3.941, 6.85, 724.00, 758.07, 6.95, 79.15
3.968, 6.07, 724.00, 758.07, 6.95, 79.15
4.003, 5.02, 724.00, 758.07, 6.95, 79.15
4.037, 3.39, 724.00, 758.07, 6.95, 79.15
4.071, 1.44, 724.00, 758.07, 6.95, 79.15
4.105, 0.88, 724.00, 758.07, 6.95, 79.15
4.144, 0.81, 724.00, 758.07, 6.95, 79.15
4.185, 1.44, 724.00, 758.07, 6.95, 79.15
4.201, 2.78, 724.00, 758.07, 6.95, 79.15
4.237, 4.52, 724.00, 758.07, 6.95, 79.15
4.279, 6.58, 724.00, 758.07, 6.95, 79.15
4.309, 7.67, 724.00, 758.07, 6.95, 79.15
4.336, 8.44, 724.00, 758.07, 6.95, 79.15
4.367, 8.94, 724.00, 758.07, 6.95, 79.15
4.404, 9.51, 724.00, 758.07, 6.95, 79.15
4.438, 9.79, 724.00, 758.07, 6.95, 79.15
4.477, 9.91, 724.00, 758.07, 6.95, 79.15
4.516, 9.76, 781.00, 769.54, 6.61, 77.97
4.547, 9.42, 781.00, 769.54, 6.61, 77.97
4.583, 8.84, 781.00, 769.54, 6.61, 77.97
4.610, 8.12, 781.00, 769.54, 6.61, 77.97
4.637, 7.27, 781.00, 769.54, 6.61, 77.97
4.678, 6.47, 781.00, 769.54, 6.61, 77.97
4.714, 5.65, 781.00, 769.54, 6.61, 77.97
4.747, 4.47, 781.00, 769.54, 6.61, 77.97
4.770, 3.15, 781.00, 769.54, 6.61, 77.97
4.802, 1.27, 781.00, 769.54, 6.61, 77.97
4.847, 0.83, 781.00, 769.54, 6.61, 77.97
4.878, 0.33, 781.00, 769.54, 6.61, 77.97
4.899, 0.40, 781.00, 769.54, 6.61, 77.97
4.937, 1.06, 781.00, 769.54, 6.61, 77.97
4.978, 2.37, 781.00, 769.54, 6.61, 77.97
5.020, 4.25, 781.00, 769.54, 6.61, 77.97
5.048, 6.35, 781.00, 769.54, 6.61, 77.97
5.077, 7.45, 781.00, 769.54, 6.61, 77.97
5.106, 8.17, 781.00, 769.54, 6.61, 77.97
5.146, 8.72, 781.00, 769.54, 6.61, 77.97
5.178, 9.18, 781.00, 769.54, 6.61, 77.97
5.211, 9.57, 781.00, 769.54, 6.61, 77.97
5.237, 9.81, 781.00, 769.54, 6.61, 77.97
5.277, 9.92, 781.00, 769.54, 6.61, 77.97
5.313, 9.89, 798.00, 783.77, 6.67, 76.55
5.344, 9.75, 798.00, 783.77, 6.67, 76.55
5.379, 9.53, 798.00, 783.77, 6.67, 76.55
5.403, 9.17, 798.00, 783.77, 6.67, 76.55
5.438, 8.71, 798.00, 783.77, 6.67, 76.55
5.479, 8.15, 798.00, 783.77, 6.67, 76.55
5.511, 7.48, 798.00, 783.77, 6.67, 76.55
5.546, 6.45, 798.00, 783.77, 6.67, 76.55
5.585, 4.95, 798.00, 783.77, 6.67, 76.55
5.613, 2.66, 798.00, 783.77, 6.67, 76.55
5.645, 0.84, 798.00, 783.77, 6.67, 76.55
5.670, 1.08, 798.00, 783.77, 6.67, 76.55
5.716, 2.32, 798.00, 783.77, 6.67, 76.55
5.739, 4.47, 798.00, 783.77, 6.67, 76.55
5.770, 5.73, 798.00, 783.77, 6.67, 76.55
5.810, 6.57, 798.00, 783.77, 6.67, 76.55
5.847, 7.61, 798.00, 783.77, 6.67, 76.55
5.880, 8.30, 798.00, 783.77, 6.67, 76.55
5.904, 8.70, 798.00, 783.77, 6.67, 76.55
5.943, 9.18, 798.00, 783.77, 6.67, 76.55
5.979, 9.62, 798.00, 783.77, 6.67, 76.55
6.012, 9.77, 798.00, 783.77, 6.67, 76.55
6.044, 9.61, 731.00, 757.38, 5.80, 79.22
6.077, 9.26, 731.00, 757.38, 5.80, 79.22
6.112, 8.76, 731.00, 757.38, 5.80, 79.22
6.141, 8.18, 731.00, 757.38, 5.80, 79.22
6.187, 7.55, 731.00, 757.38, 5.80, 79.22
6.215, 6.92, 731.00, 757.38, 5.80, 79.22
6.244, 6.36, 731.00, 757.38, 5.80, 79.22
6.277, 5.55, 731.00, 757.38, 5.80, 79.22
6.305, 4.48, 731.00, 757.38, 5.80, 79.22
6.354, 3.00, 731.00, 757.38, 5.80, 79.22
6.381, 0.73, 731.00, 757.38, 5.80, 79.22
6.413, 0.37, 731.00, 757.38, 5.80, 79.22
6.445, 0.49, 731.00, 757.38, 5.80, 79.22
6.482, 1.25, 731.00, 757.38, 5.80, 79.22
6.513, 2.61, 731.00, 757.38, 5.80, 79.22
6.554, 4.44, 731.00, 757.38, 5.80, 79.22
6.581, 6.47, 731.00, 757.38, 5.80, 79.22
6.613, 7.62, 731.00, 757.38, 5.80, 79.22
6.647, 8.49, 731.00, 757.38, 5.80, 79.22
6.688, 9.16, 731.00, 757.38, 5.80, 79.22
6.711, 9.64, 731.00, 757.38, 5.80, 79.22
6.753, 9.67, 731.00, 757.38, 5.80, 79.22
6.775, 9.36, 732.00, 744.69, 5.81, 80.57
6.806, 8.73, 732.00, 744.69, 5.81, 80.57
