経過時間_秒, Green, SinWave
0.016, 4.48, 1.61
0.091, 6.67, 3.97
0.113, 7.66, 4.78
0.148, 8.63, 6.08
0.179, 9.23, 7.18
0.206, 9.63, 8.04
0.239, 9.82, 8.88
0.270, 9.80, 9.43
0.314, 9.62, 9.84
0.343, 9.29, 10.53
0.377, 8.84, 9.27
0.414, 8.32, 8.40
0.445, 7.70, 7.44
0.473, 7.05, 6.43
0.507, 6.36, 5.13
0.550, 5.51, 3.49
0.577, 4.01, 2.56
0.613, 1.85, 1.59
0.642, 1.73, 1.08
0.686, 1.25, 0.60
0.712, 0.67, 0.51
0.743, 0.60, 0.59
0.786, 1.12, 1.05
0.820, 2.13, 1.66
0.847, 3.47, 2.28
0.879, 4.98, 3.14
0.914, 6.50, 4.19
0.948, 7.70, 5.26
0.981, 8.86, 6.30
1.012, 9.79, 7.23
1.049, 9.84, 8.21
1.081, 9.75, 9.01
1.124, 9.51, 9.68
1.150, 9.09, 10.02
1.173, 8.52, 9.76
1.213, 7.78, 9.17
1.247, 6.95, 8.31
1.281, 6.06, 7.18
1.312, 5.13, 6.00
1.340, 3.88, 4.89
1.382, 1.80, 3.28
1.414, 1.48, 2.20
1.455, 0.85, 1.32
1.487, 0.58, 0.87
1.515, 1.02, 0.65
1.549, 2.17, 0.59
1.580, 3.93, 0.74
1.617, 6.02, 1.17
1.647, 7.34, 1.70
1.689, 8.54, 2.68
1.715, 9.45, 3.39
1.748, 9.79, 4.37
1.782, 9.71, 5.41
1.813, 9.40, 6.36
1.847, 8.99, 8.33
1.881, 8.49, 9.26
1.917, 7.89, 9.72
1.948, 7.20, 9.84
1.981, 6.43, 9.66
2.013, 5.57, 9.21
2.051, 4.65, 8.36
2.081, 3.74, 7.48
2.126, 2.11, 5.96
2.154, 1.44, 4.95
2.181, 1.31, 3.99
2.214, 0.87, 2.90
2.250, 0.56, 1.87
2.290, 0.76, 1.05
2.318, 1.57, 0.71
2.348, 2.99, 0.58
2.381, 4.81, 0.71
2.418, 6.91, 1.22
2.446, 8.07, 1.81
2.481, 9.00, 2.78
2.518, 9.51, 3.99
2.548, 9.80, 5.05
2.580, 9.91, 6.19
2.615, 9.85, 7.37
2.648, 9.65, 8.33
2.683, 9.33, 5.81
2.715, 8.87, 4.55
2.747, 8.30, 3.21
