経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, Stiffness, E, SBP, DBP
0.017, 4.7464, 74.9064, -0.6714, -0.6197, 8.8467, 4.0607, 127.37, 98.72
7.123, 4.7783, 69.9301, -0.6197, -0.6714, 9.2194, 4.2176, 127.03, 99.66
7.959, 4.4559, 71.4286, -0.5349, -0.4938, 7.9187, 3.7513, 126.88, 100.11
8.734, 4.1363, 74.7198, -0.4737, -0.4737, 7.1194, 3.5006, 128.16, 98.68
9.498, 4.4446, 72.2022, -0.5543, -0.4690, 7.7577, 3.6797, 128.38, 98.61
10.337, 4.4644, 77.6197, -0.6479, -0.4319, 7.8278, 3.7047, 128.05, 98.48
11.105, 4.7344, 78.0234, -0.5113, -0.3933, 8.7094, 4.0027, 127.35, 98.21
11.935, 4.6747, 72.4638, -0.6016, -0.4297, 8.7967, 4.0686, 128.27, 97.96
12.714, 4.5681, 76.3359, -0.5560, -0.4368, 8.2335, 3.8523, 127.71, 98.20
13.512, 4.8276, 73.1707, -0.5507, -0.4660, 9.4147, 4.2849, 127.64, 98.34
14.315, 4.5322, 77.4194, -0.5383, -0.4555, 7.9974, 3.7566, 127.92, 98.51
15.088, 4.3527, 75.6620, -0.5342, -0.4521, 7.7601, 3.7195, 128.10, 98.41
15.946, 4.4493, 74.1656, -0.6404, -0.4256, 7.7799, 3.6883, 128.18, 98.38
16.783, 4.3708, 78.5340, -0.5385, -0.4231, 7.4313, 3.5545, 127.72, 98.09
17.550, 4.7258, 69.0449, -0.5119, -0.4332, 9.0316, 4.1546, 127.72, 98.28
18.387, 4.7306, 71.5990, -0.6454, -0.4302, 8.8796, 4.0826, 127.99, 98.33
19.186, 4.4815, 78.1250, -0.5921, -0.3947, 8.1965, 3.8718, 127.49, 98.16
20.056, 4.7537, 71.0900, -0.7013, -0.3713, 8.9508, 4.1053, 127.71, 97.95
21.764, 4.6466, 68.9655, -0.4931, -0.4172, 8.6194, 3.9986, 127.67, 97.48
23.231, 4.0911, 74.8130, -0.4931, -0.4120, 7.4468, 3.6817, 128.54, 98.46
23.967, 4.6552, 85.8369, -0.4727, -0.4727, 8.8107, 4.0836, 128.23, 98.15
24.700, 3.3880, 78.3290, -0.5837, -0.4939, 5.6433, 3.0659, 129.25, 98.35
25.566, 4.0464, 81.6327, -0.6753, -0.4052, 6.8455, 3.4031, 128.27, 98.53
26.403, 4.5138, 81.6327, -0.5335, -0.4180, 7.9987, 3.7649, 127.56, 97.90
29.447, 4.7309, 88.4956, -0.4337, -0.3548, 9.7853, 4.4989, 127.46, 97.62
35.198, 2.9221, 62.9591, -0.5579, -0.4291, 4.4497, 2.6030, 129.30, 99.06
35.930, 4.8632, 92.1659, -0.4552, -0.4931, 5.7404, 2.6030, 129.30, 99.06
36.694, 4.4975, 68.9655, -0.5402, -0.4502, 8.2293, 3.8804, 128.26, 98.81
39.736, 3.6364, 85.9599, -0.2595, -0.6055, 6.1729, 3.2371, 128.58, 98.77
42.456, 1.8679, 93.1677, -0.5183, -0.3455, 2.4401, 1.7854, 131.01, 96.95
43.182, 2.6481, 95.6938, -0.5751, -0.4424, 3.6440, 2.2393, 130.36, 97.04
43.981, 4.5753, 81.4111, -0.5909, -0.8182, 8.6003, 4.0207, 128.06, 98.21
44.715, 4.3824, 81.4111, -0.4950, -0.4538, 7.8689, 3.7589, 126.26, 101.40
45.417, 4.0309, 74.6269, -0.5395, -0.4946, 7.0773, 3.5251, 128.80, 98.28
46.114, 4.4098, 82.0793, -0.5649, -0.4237, 8.5691, 4.0806, 128.11, 98.63
46.820, 4.5109, 85.8369, -0.5673, -0.4255, 8.2095, 3.8653, 128.48, 97.98
47.520, 4.6425, 85.2273, -0.5609, -0.4207, 9.0424, 4.1967, 128.26, 98.03
48.288, 3.9712, 84.3882, -0.6609, -0.4249, 6.8896, 3.4573, 129.00, 97.82
49.962, 4.6441, 77.3196, -0.5579, -0.4291, 8.3172, 3.8595, 127.67, 97.59
50.764, 4.2713, 66.5927, -0.6454, -0.4302, 7.9240, 3.8342, 128.37, 98.07
51.564, 4.2007, 78.2269, -0.6180, -0.3695, 7.7683, 3.7902, 127.86, 98.04
52.366, 4.5060, 74.7198, -0.5350, -0.3713, 9.0233, 4.2508, 127.85, 97.65
53.966, 4.3949, 74.5342, -0.4938, -0.4938, 8.0514, 3.8406, 128.08, 98.40
55.604, 4.3522, 77.1208, -0.5211, -0.5197, 7.3417, 3.5192, 128.09, 98.52
56.307, 4.3925, 72.9927, -0.4532, -0.4944, 7.6221, 3.6368, 127.96, 98.96
57.079, 4.4993, 75.0939, -0.6102, -0.4694, 7.9398, 3.7431, 128.54, 98.75
57.880, 2.8298, 85.4701, -0.5977, -0.4269, 4.0227, 2.3914, 129.18, 98.05
58.715, 4.5764, 77.6197, -0.5775, -0.4125, 8.5252, 3.9851, 127.82, 98.13
