経過時間_秒, Green, SinWave
0.065, 0.56, 0.86
0.099, 0.61, 1.44
0.132, 1.16, 2.19
0.160, 2.15, 2.93
0.193, 3.37, 3.90
0.228, 4.82, 4.99
0.255, 6.20, 5.83
0.293, 7.50, 6.98
0.328, 8.50, 7.92
0.361, 9.38, 8.82
0.388, 9.27, 9.48
0.434, 8.57, 9.75
0.462, 7.67, 10.29
0.486, 6.59, 6.95
0.523, 5.39, 5.47
0.555, 4.13, 4.15
0.588, 2.85, 2.86
0.623, 1.77, 1.74
0.674, 1.58, 0.82
0.696, 1.40, 0.62
0.728, 1.22, 0.57
0.757, 1.13, 0.76
0.788, 1.06, 1.21
0.828, 0.79, 2.12
0.858, 0.41, 2.99
0.897, 0.37, 4.28
0.923, 0.73, 5.19
0.962, 1.48, 6.52
0.997, 2.56, 7.60
1.030, 3.89, 8.49
1.055, 5.45, 9.03
1.090, 6.99, 9.41
1.121, 8.53, 9.36
1.158, 9.79, 8.82
1.188, 9.86, 8.04
1.222, 9.70, 6.87
1.255, 9.30, 5.56
1.300, 8.62, 9.52
1.331, 7.71, 9.15
1.363, 6.58, 8.43
1.395, 5.32, 7.51
1.427, 4.01, 6.45
1.462, 2.72, 5.21
1.495, 1.73, 4.03
1.524, 1.51, 3.04
1.563, 1.31, 1.88
1.589, 1.09, 1.24
1.639, 0.57, 0.48
1.664, 0.34, 0.37
1.696, 0.55, 0.49
1.729, 1.22, 0.94
1.763, 2.25, 1.69
1.801, 3.49, 2.83
1.835, 4.82, 4.02
1.864, 6.07, 5.11
1.895, 7.24, 6.27
1.921, 8.29, 7.19
1.957, 9.30, 8.31
1.999, 9.35, 9.26
2.023, 8.68, 9.61
2.057, 7.82, 9.85
2.095, 6.78, 9.58
2.131, 5.61, 9.36
2.157, 4.39, 9.26
2.196, 3.09, 8.83
2.222, 1.83, 8.36
2.264, 1.69, 7.36
2.297, 1.58, 6.40
2.329, 1.43, 5.39
2.364, 1.35, 4.26
2.397, 1.27, 3.22
2.425, 1.09, 2.41
2.463, 0.62, 1.46
2.491, 0.34, 0.90
2.523, 0.45, 0.48
2.560, 0.99, 0.35
2.593, 1.93, 0.54
2.628, 3.22, 1.05
2.675, 4.76, 2.18
2.700, 6.28, 2.94
2.728, 7.89, 3.87
2.766, 9.44, 5.20
2.800, 9.84, 6.37
2.829, 9.81, 7.28
2.868, 9.48, 8.29
2.897, 8.92, 9.37
2.930, 8.18, 9.21
2.970, 7.29, 8.16
2.994, 6.32, 7.35
3.029, 5.28, 6.00
3.063, 4.24, 4.61
3.095, 3.19, 3.34
3.132, 1.61, 2.05
3.164, 1.46, 1.24
3.197, 1.38, 0.68
3.230, 1.31, 0.37
3.269, 0.87, 0.37
3.297, 0.45, 0.60
3.324, 0.47, 1.01
3.367, 0.95, 1.97
3.396, 1.81, 2.80
3.428, 2.96, 3.84
3.468, 4.29, 5.22
3.495, 5.80, 6.16
3.531, 7.13, 7.33
3.567, 8.30, 8.35
3.597, 9.44, 9.12
3.629, 9.72, 9.67
3.665, 9.34, 9.87
3.696, 8.70, 9.68
3.732, 7.89, 8.55
3.764, 6.90, 8.82
3.798, 5.82, 7.96
3.829, 4.69, 6.99
3.867, 3.50, 5.65
3.903, 2.33, 4.34
3.930, 1.61, 3.38
3.966, 1.47, 2.24
4.002, 1.34, 1.34
4.032, 1.24, 0.81
4.066, 0.81, 0.49
4.099, 0.42, 0.49
4.134, 0.47, 0.81
4.163, 1.07, 1.32
4.196, 2.16, 2.12
4.231, 3.68, 3.19
4.264, 5.56, 4.32
4.298, 7.59, 5.54
4.333, 8.49, 6.76
4.365, 9.11, 7.77
4.399, 9.48, 8.67
4.431, 9.78, 9.29
4.463, 9.87, 9.64
4.501, 9.77, 9.69
4.533, 9.53, 9.40
4.572, 9.16, 11.38
4.603, 8.71, 9.44
4.633, 8.18, 8.86
4.671, 7.60, 7.85
4.699, 7.01, 6.94
4.730, 6.28, 5.84
4.771, 5.18, 4.32
4.797, 3.40, 3.40
4.834, 1.48, 2.22
4.863, 1.17, 1.48
4.900, 0.65, 0.82
4.935, 0.67, 0.48
4.969, 1.30, 0.43
5.003, 2.53, 0.67
5.030, 4.20, 1.05
5.065, 6.11, 1.77
5.096, 7.66, 2.59
5.132, 8.67, 3.71
5.165, 9.33, 4.81
5.202, 9.68, 6.07
5.231, 9.83, 7.02
5.272, 9.77, 8.20
5.299, 9.52, 8.87
5.335, 9.10, 10.72
5.368, 8.55, 9.80
5.400, 7.88, 9.80
5.438, 7.15, 9.36
5.471, 6.34, 8.65
5.501, 5.51, 7.76
5.537, 4.44, 6.48
