経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, Stiffness, E, SBP, DBP
0.057, 1.9041, 85.8369, -0.8354, -0.5744, 2.1292, 1.5430, 130.93, 99.05
0.293, 1.9041, 85.8369, -0.5222, -0.5744, 2.1292, 1.5430, 130.93, 99.05
2.931, 0.5448, 112.5704, -0.4496, -0.4946, 0.4381, 0.5936, 133.18, 95.93
4.910, 2.3604, 86.0832, -0.3638, -0.5717, 3.0432, 1.9808, 129.90, 100.11
5.512, 0.9004, 94.9367, -0.4674, -0.5142, 0.7989, 0.8419, 131.76, 98.59
6.177, 2.0552, 99.8336, -0.7126, -0.7674, 2.5155, 1.7547, 131.03, 98.14
8.214, 1.1846, 88.8889, -0.4955, -0.4955, 1.3160, 1.2092, 129.82, 99.83
14.189, 2.9540, 73.9827, -0.5690, -0.4655, 3.8755, 2.2549, 129.14, 99.44
14.829, 4.6596, 106.3830, -0.4948, -0.5442, 9.0715, 4.2025, 128.42, 98.25
15.530, 3.6406, 89.6861, -0.5156, -0.4641, 5.3823, 2.8208, 129.59, 98.70
16.134, 3.5766, 94.7867, -0.4237, -0.5178, 5.7956, 3.0645, 129.58, 98.07
17.464, 1.9147, 85.1064, -0.4364, -0.6000, 2.3869, 1.7250, 130.61, 99.32
18.102, 2.1808, 95.2381, -0.4992, -0.6121, 2.8390, 1.9225, 130.87, 98.85
18.769, 3.8347, 99.1736, -0.5681, -0.5164, 6.6807, 3.4116, 129.04, 99.29
19.369, 4.4279, 94.7867, -0.3468, -0.5946, 8.3145, 3.9513, 128.49, 98.60
20.069, 4.4279, 94.7867, -0.5500, -0.7150, 8.3145, 3.9513, 128.49, 98.60
20.739, 2.8502, 78.0234, -0.4708, -0.5178, 4.2517, 2.5184, 128.86, 100.79
24.688, 3.1143, 81.7439, -0.3453, -0.5919, 4.8010, 2.7205, 129.97, 99.61
25.283, 3.3990, 93.1677, -0.5394, -0.5884, 5.7622, 3.1255, 129.86, 99.28
25.958, 3.7890, 94.7867, -0.4444, -0.6667, 6.6637, 3.4234, 129.03, 99.81
26.628, 3.7716, 94.6372, -0.4882, -0.5370, 6.6819, 3.4407, 128.85, 99.86
27.996, 2.0044, 104.8951, -0.3453, -0.5919, 2.7198, 1.9211, 131.27, 96.68
31.035, 3.7692, 111.9403, -0.7636, -0.6000, 6.2962, 3.2430, 129.72, 99.29
32.769, 0.8866, 53.0504, -0.4685, -0.4685, 3.8511, 4.0899, 129.97, 96.43
33.971, 2.2501, 111.1111, -0.6215, -0.4972, 3.1007, 2.0671, 131.28, 97.25
34.578, 3.1087, 93.7500, -0.3480, -0.6380, 4.8182, 2.7327, 128.26, 97.21
37.485, 3.2411, 119.0476, -0.4349, -0.3806, 5.2589, 2.9211, 130.21, 96.94
38.083, 3.0298, 94.9367, -0.6522, -0.4565, 4.8700, 2.7979, 131.82, 96.95
39.985, 1.1805, 90.7716, -0.3306, -0.5509, 1.0690, 0.9838, 130.96, 99.91
40.518, 3.3211, 94.3396, -0.3915, -0.6712, 5.7205, 3.1390, 130.89, 98.68
42.122, 1.7850, 112.9944, -0.6203, -0.3102, 2.0639, 1.5448, 131.08, 97.47
42.728, 1.0290, 55.8140, -0.3764, -0.6901, 1.5670, 1.5448, 131.08, 97.47
44.498, 2.5191, 107.3345, -0.5980, -0.7068, 3.4585, 2.1790, 130.77, 98.72
45.034, 2.6076, 93.8967, -0.6402, -0.7566, 4.2006, 2.6013, 129.55, 99.57
46.902, 0.7641, 90.0901, -0.4925, -0.7388, 0.7540, 0.8626, 132.43, 100.80
48.638, 4.1839, 114.0684, -0.4358, -0.6226, 7.5553, 3.6937, 130.06, 100.31
49.212, 4.1839, 114.0684, -0.6191, -0.8049, 7.5553, 3.6937, 130.06, 100.31
50.412, 0.4069, 57.5816, -0.5174, -0.5174, 2.3562, 3.6937, 130.06, 100.31
53.987, 1.7868, 54.5951, -0.6089, -0.6697, 1.9179, 1.4348, 130.27, 99.79
55.222, 2.5331, 109.2896, -0.4935, -0.5551, 3.5104, 2.2056, 130.70, 98.71
56.490, 2.7224, 94.7867, -0.6574, -0.5259, 3.9392, 2.3874, 130.09, 99.54
57.724, 3.5534, 104.1667, -0.4060, -0.4060, 5.8732, 3.1157, 130.68, 97.13
