経過時間_秒, Green, SinWave
0.003, 2.19, 0.30
0.058, 1.94, 0.63
0.081, 1.29, 0.96
0.105, 0.95, 1.40
0.132, 0.83, 2.00
0.166, 0.57, 2.88
0.199, 0.29, 3.82
0.235, 0.27, 4.85
0.265, 0.47, 5.66
0.300, 0.86, 6.50
0.333, 1.26, 7.21
0.366, 1.60, 7.66
0.402, 1.80, 7.75
0.433, 1.92, 7.49
0.476, 2.01, 6.65
0.499, 1.97, 6.01
0.533, 1.87, 4.92
0.567, 1.40, 3.34
0.600, 1.21, 7.40
0.633, 0.85, 7.67
0.666, 1.03, 7.73
0.702, 1.43, 7.56
0.732, 2.35, 7.24
0.772, 2.42, 6.58
0.802, 2.66, 5.94
0.835, 2.87, 5.14
0.871, 2.69, 4.19
0.901, 2.32, 3.38
0.933, 1.43, 2.56
0.974, 1.05, 1.62
1.006, 0.45, 1.02
1.037, 0.24, 0.59
1.068, 0.12, 0.34
1.103, 0.28, 0.27
1.138, 0.48, 0.44
1.167, 0.63, 0.75
1.207, 0.68, 1.42
1.237, 0.53, 2.07
1.270, 0.38, 2.88
1.304, 0.27, -0.93
1.336, 0.25, 2.87
1.372, 0.66, 2.81
1.403, 0.63, 2.68
1.439, 1.12, 2.46
1.472, 1.53, 2.20
1.502, 1.62, 1.92
1.539, 2.36, 1.56
1.571, 2.03, 1.24
1.605, 1.62, 0.91
1.637, 1.46, 0.64
1.673, 1.53, 0.35
1.705, 1.55, 0.17
1.733, 0.88, 0.12
1.767, 0.44, 0.18
1.801, 0.24, 0.37
1.838, 0.46, 0.71
1.873, 1.02, 1.13
1.903, 1.84, 1.52
1.937, 3.05, 1.95
1.970, 4.31, 2.33
2.001, 5.84, 2.58
2.038, 7.28, 2.77
2.072, 8.32, 2.86
2.102, 8.69, 2.87
2.135, 9.23, 2.81
2.169, 9.29, 2.67
2.215, 9.62, 2.36
2.239, 9.76, 2.15
2.271, 9.73, 1.86
2.305, 9.37, 1.53
2.342, 8.95, -0.46
2.371, 8.25, 3.32
2.406, 7.43, 2.39
