経過時間_秒, Green, IBI, Smoothed_IBI, bpmSD, Smoothed_BPM
0.019, 7.79, 666.00, 667.90, 10.60, 89.83
0.069, 6.83, 666.00, 667.90, 10.60, 89.83
0.084, 5.81, 666.00, 667.90, 10.60, 89.83
0.101, 4.02, 666.00, 667.90, 10.60, 89.83
0.146, 1.36, 666.00, 667.90, 10.60, 89.83
0.183, 0.48, 666.00, 667.90, 10.60, 89.83
0.202, 0.64, 666.00, 667.90, 10.60, 89.83
0.247, 1.61, 666.00, 667.90, 10.60, 89.83
0.271, 3.14, 666.00, 667.90, 10.60, 89.83
0.313, 5.05, 666.00, 667.90, 10.60, 89.83
0.347, 6.77, 666.00, 667.90, 10.60, 89.83
0.381, 8.11, 666.00, 667.90, 10.60, 89.83
0.426, 9.01, 666.00, 667.90, 10.60, 89.83
0.447, 9.44, 666.00, 667.90, 10.60, 89.83
0.470, 9.60, 666.00, 667.90, 10.60, 89.83
0.504, 9.53, 703.00, 685.45, 10.51, 87.53
0.538, 9.43, 703.00, 685.45, 10.51, 87.53
0.571, 9.68, 703.00, 685.45, 10.51, 87.53
0.606, 9.54, 703.00, 685.45, 10.51, 87.53
0.658, 9.05, 703.00, 685.45, 10.51, 87.53
0.678, 8.09, 703.00, 685.45, 10.51, 87.53
0.706, 6.58, 703.00, 685.45, 10.51, 87.53
0.738, 4.73, 703.00, 685.45, 10.51, 87.53
0.774, 2.84, 703.00, 685.45, 10.51, 87.53
0.812, 1.40, 703.00, 685.45, 10.51, 87.53
0.837, 0.64, 703.00, 685.45, 10.51, 87.53
0.876, 0.98, 703.00, 685.45, 10.51, 87.53
0.912, 2.39, 703.00, 685.45, 10.51, 87.53
0.939, 4.80, 703.00, 685.45, 10.51, 87.53
0.968, 6.28, 703.00, 685.45, 10.51, 87.53
1.019, 7.44, 703.00, 685.45, 10.51, 87.53
1.044, 8.49, 703.00, 685.45, 10.51, 87.53
1.079, 9.14, 703.00, 685.45, 10.51, 87.53
1.106, 9.65, 703.00, 685.45, 10.51, 87.53
1.145, 9.77, 703.00, 685.45, 10.51, 87.53
1.171, 9.70, 666.00, 675.72, 10.51, 88.79
1.204, 9.46, 666.00, 675.72, 10.51, 88.79
1.248, 9.14, 666.00, 675.72, 10.51, 88.79
1.283, 8.71, 666.00, 675.72, 10.51, 88.79
1.313, 8.11, 666.00, 675.72, 10.51, 88.79
1.347, 7.32, 666.00, 675.72, 10.51, 88.79
1.374, 6.52, 666.00, 675.72, 10.51, 88.79
1.414, 5.94, 666.00, 675.72, 10.51, 88.79
1.445, 5.69, 666.00, 675.72, 10.51, 88.79
1.480, 5.67, 666.00, 675.72, 10.51, 88.79
1.514, 5.86, 666.00, 675.72, 10.51, 88.79
1.546, 6.19, 666.00, 675.72, 10.51, 88.79
1.579, 6.63, 666.00, 675.72, 10.51, 88.79
1.607, 8.17, 666.00, 675.72, 10.51, 88.79
1.640, 9.38, 666.00, 675.72, 10.51, 88.79
1.687, 9.86, 666.00, 675.72, 10.51, 88.79
1.713, 9.89, 666.00, 675.72, 10.51, 88.79
1.746, 9.61, 666.00, 675.72, 10.22, 88.79
