経過時間_秒, A, HR, V2P_relTTP, P2V_relTTP, Stiffness, E, SBP, DBP
0.022, 4.7654, 71.6846, -0.6426, -0.8261, 8.6574, 3.9659, 124.68, 84.23
0.286, 4.7654, 71.6846, -0.6426, -0.8261, 8.6574, 3.9659, 124.68, 84.23
1.121, 3.4876, 85.7143, -0.3764, -0.5437, 4.7981, 2.5693, 115.91, 78.99
4.294, 4.1716, 47.3934, -0.5138, -0.4347, 5.2476, 2.5693, 115.91, 78.99
6.050, 4.4711, 81.3008, -0.5845, -0.5395, 7.7011, 3.6420, 121.74, 82.48
6.836, 5.0740, 66.6667, -0.4261, -0.4648, 9.1747, 4.0730, 124.35, 84.15
9.276, 4.3913, 72.0288, -0.5444, -0.5013, 7.3109, 3.4888, 121.28, 82.29
10.043, 4.3859, 74.3494, -0.5323, -0.4901, 7.6696, 3.6622, 121.26, 82.30
10.844, 4.5751, 74.9064, -0.6016, -0.4284, 8.2875, 3.8746, 122.88, 83.22
11.681, 4.2485, 78.2269, -0.5363, -0.4950, 7.0807, 3.4352, 120.71, 81.96
12.511, 4.7937, 69.2042, -0.5119, -0.3938, 8.9891, 4.1056, 123.19, 83.48
13.314, 4.3860, 77.7202, -0.5175, -0.4777, 7.9348, 3.7888, 121.25, 82.37
14.084, 4.6923, 72.0288, -0.5342, -0.4521, 8.8208, 4.0720, 122.88, 83.29
16.560, 4.6840, 65.8617, -0.6420, -0.4280, 8.6330, 3.9889, 123.39, 83.52
17.394, 4.7127, 86.7052, -0.5644, -0.4139, 8.3987, 3.8688, 121.87, 82.76
19.031, 4.0919, 72.0288, -0.4748, -0.4748, 6.9049, 3.4135, 118.72, 80.85
20.599, 4.5791, 74.8130, -0.5133, -0.8067, 8.7556, 4.0916, 121.42, 82.56
21.368, 4.8021, 77.1208, -0.4914, -0.3780, 8.7486, 3.9923, 120.99, 82.23
22.201, 4.8503, 75.9494, -0.6008, -0.4291, 9.9967, 4.5391, 124.08, 84.03
23.044, 4.4065, 77.5194, -0.5546, -0.4358, 7.6150, 3.6276, 120.65, 82.01
23.813, 4.3059, 71.9424, -0.4311, -0.7447, 7.3255, 3.5302, 120.11, 81.71
24.546, 3.3488, 72.2022, -0.5150, -0.5150, 4.9988, 2.7316, 115.42, 78.79
25.346, 4.7387, 77.4194, -0.6289, -0.4502, 9.8912, 4.5438, 124.48, 84.09
26.179, 4.3235, 81.6327, -0.5775, -0.4125, 7.3012, 3.5114, 121.17, 82.21
27.653, 4.6866, 66.4452, -0.5150, -0.3565, 8.9367, 4.1281, 122.65, 83.07
28.449, 4.3343, 94.9367, -0.5586, -0.4297, 8.5943, 4.1281, 122.65, 83.07
30.018, 4.5342, 75.0939, -0.5784, -0.3726, 8.1488, 3.8269, 123.06, 83.32
30.831, 3.9374, 85.8369, -0.4583, -0.5347, 6.1881, 3.1185, 118.34, 80.66
31.591, 4.7187, 68.4932, -0.5283, -0.4877, 8.6662, 3.9895, 122.91, 83.32
33.997, 4.3910, 66.4452, -0.5211, -0.3474, 8.0666, 3.8495, 121.63, 82.47
34.802, 4.3566, 90.0901, -0.5566, -0.4373, 8.0088, 3.8370, 121.54, 82.51
35.605, 4.4411, 71.7703, -0.5739, -0.4099, 8.2490, 3.9143, 121.62, 82.53
36.439, 5.0317, 75.2823, -0.3694, -0.5746, 10.0174, 4.4658, 124.85, 84.45
37.941, 4.3271, 86.0832, -0.3561, -0.5540, 7.4923, 3.6018, 120.90, 82.14
39.639, 4.4170, 77.6197, -0.5349, -0.4938, 8.2496, 3.9253, 121.51, 82.45
40.444, 4.7152, 77.5194, -0.5410, -0.4578, 8.1403, 3.7488, 123.05, 83.37
41.316, 4.7194, 75.4717, -0.5746, -0.4515, 8.6152, 3.9657, 123.19, 83.46
42.152, 4.5385, 73.3496, -0.4920, -0.4163, 7.6201, 3.5769, 121.08, 82.29
42.925, 4.8295, 70.2576, -0.4737, -0.4737, 9.3343, 4.2475, 123.31, 83.62
43.686, 4.3688, 71.4286, -0.5969, -0.4690, 7.8885, 3.7741, 121.57, 82.50
45.332, 4.9805, 66.4452, -0.5645, -0.5211, 10.2022, 4.5715, 125.30, 84.62
46.121, 4.8821, 77.8210, -0.6635, -0.3981, 8.1124, 3.6715, 124.75, 84.27
