経過時間_秒, Green, IBI, Smoothed_IBI, bpmSD, Smoothed_BPM
0.022, 3.05, 719.00, 765.13, 10.64, 78.42
0.096, 4.57, 719.00, 765.13, 10.64, 78.42
0.123, 5.83, 719.00, 765.13, 10.64, 78.42
0.163, 6.86, 719.00, 765.13, 10.64, 78.42
0.185, 8.11, 719.00, 765.13, 10.64, 78.42
0.219, 8.98, 719.00, 765.13, 10.64, 78.42
0.253, 9.68, 719.00, 765.13, 10.64, 78.42
0.286, 9.66, 789.00, 777.07, 10.04, 77.21
0.320, 9.65, 789.00, 777.07, 10.04, 77.21
0.354, 9.69, 789.00, 777.07, 10.04, 77.21
0.390, 9.73, 789.00, 777.07, 10.04, 77.21
0.420, 9.71, 789.00, 777.07, 10.04, 77.21
0.454, 9.66, 789.00, 777.07, 10.04, 77.21
0.491, 9.49, 789.00, 777.07, 10.04, 77.21
0.517, 9.25, 789.00, 777.07, 10.04, 77.21
0.557, 9.01, 789.00, 777.07, 10.04, 77.21
0.590, 8.40, 789.00, 777.07, 10.04, 77.21
0.614, 6.02, 789.00, 777.07, 10.04, 77.21
0.651, 1.97, 789.00, 777.07, 10.04, 77.21
0.684, 1.19, 789.00, 777.07, 10.04, 77.21
0.715, 1.58, 789.00, 777.07, 10.04, 77.21
0.751, 2.94, 789.00, 777.07, 10.04, 77.21
0.783, 5.28, 789.00, 777.07, 10.04, 77.21
0.826, 5.84, 789.00, 777.07, 10.04, 77.21
0.858, 6.58, 789.00, 777.07, 10.04, 77.21
0.893, 7.49, 789.00, 777.07, 10.04, 77.21
0.915, 8.40, 789.00, 777.07, 10.04, 77.21
0.952, 8.61, 789.00, 777.07, 10.04, 77.21
0.985, 8.89, 789.00, 777.07, 10.04, 77.21
1.016, 9.04, 789.00, 777.07, 10.04, 77.21
1.064, 9.11, 789.00, 777.07, 10.04, 77.21
1.094, 9.13, 789.00, 777.07, 10.04, 77.21
1.121, 9.12, 835.00, 806.03, 10.03, 74.44
1.152, 9.37, 835.00, 806.03, 10.03, 74.44
1.191, 9.54, 835.00, 806.03, 10.03, 74.44
1.224, 9.74, 835.00, 806.03, 10.03, 74.44
1.258, 9.66, 835.00, 806.03, 10.03, 74.44
1.291, 9.77, 835.00, 806.03, 10.03, 74.44
1.324, 9.77, 835.00, 806.03, 10.03, 74.44
1.359, 9.84, 835.00, 806.03, 10.03, 74.44
