経過時間_秒, Green, SinWave
0.022, 3.05, 0.00
0.096, 4.57, 0.00
0.123, 5.83, 0.00
0.163, 6.86, 0.00
0.185, 8.11, 0.00
0.219, 8.98, 0.00
0.253, 9.68, 0.00
0.286, 9.66, 0.00
0.320, 9.65, 0.00
0.354, 9.69, 0.00
0.390, 9.73, 0.00
0.420, 9.71, 0.00
0.454, 9.66, 0.00
0.491, 9.49, 0.00
0.516, 9.25, 0.00
0.557, 9.01, 0.00
0.590, 8.40, 0.00
0.614, 6.02, 0.00
0.651, 1.97, 0.00
0.684, 1.19, 0.00
0.715, 1.58, 0.00
0.751, 2.94, 0.00
0.783, 5.28, 0.00
0.826, 5.84, 0.00
0.858, 6.58, 0.00
0.893, 7.49, 0.00
0.915, 8.40, 0.00
0.952, 8.61, 0.00
0.985, 8.89, 0.00
1.016, 9.04, 0.00
1.064, 9.11, 0.00
1.094, 9.13, 0.00
1.121, 9.12, 0.00
1.152, 9.37, 0.00
1.191, 9.54, 0.00
1.224, 9.74, 0.00
1.258, 9.66, 0.00
1.291, 9.77, 0.00
1.324, 9.77, 0.00
1.359, 9.84, 0.00
1.390, 9.83, 0.00
1.418, 9.84, 0.00
1.459, 9.75, 0.00
1.496, 9.66, 0.00
1.523, 9.28, 0.00
1.552, 8.71, 0.00
1.592, 8.31, 0.00
1.625, 8.04, 0.00
1.652, 8.31, 0.00
1.685, 8.64, 0.00
1.724, 8.69, 0.00
1.760, 8.47, 0.00
1.795, 8.97, 0.00
1.817, 9.41, 0.00
1.858, 9.65, 0.00
1.890, 9.50, 0.00
1.917, 9.08, 0.00
1.956, 8.42, 0.00
1.985, 7.53, 0.00
2.022, 6.45, 0.00
2.060, 5.23, 0.00
2.085, 4.20, 0.00
2.129, 2.76, 0.00
2.157, 1.63, 0.00
2.191, 1.81, 0.00
2.225, 1.38, 0.00
2.252, 0.73, 0.00
2.293, 0.25, 0.00
2.326, 0.16, 0.00
2.359, 0.41, 0.00
2.391, 1.08, 0.00
2.421, 2.12, 0.00
2.461, 3.50, 0.00
2.492, 4.81, 0.00
2.526, 5.97, 0.00
2.558, 7.33, 0.00
2.590, 9.13, 0.00
2.622, 9.35, 0.00
2.657, 9.25, 0.00
2.692, 8.75, 0.00
2.726, 8.01, 0.00
2.768, 7.43, 0.00
2.793, 6.75, 0.00
2.828, 6.29, 0.00
2.858, 5.60, 0.00
2.892, 4.78, 0.00
2.930, 3.68, 0.00
2.959, 2.61, 0.00
2.992, 2.39, 0.00
3.025, 1.97, 0.00
3.060, 1.54, 0.00
3.091, 0.95, 0.00
3.126, 0.51, 0.00
3.158, 0.46, 0.00
3.192, 0.75, 0.00
3.233, 1.39, 0.00
3.258, 2.27, 0.00
3.295, 3.32, 0.00
3.325, 4.56, 0.00
3.360, 5.60, 0.00
3.403, 6.48, 0.00
3.435, 7.58, 0.00
3.469, 8.23, 0.00
3.496, 9.49, 0.00
3.522, 9.86, 0.00
3.559, 9.86, 0.00
3.591, 9.77, 0.00
3.627, 9.28, 0.00
3.659, 8.55, 0.00
3.694, 7.77, 0.00
3.729, 6.80, 0.00
3.761, 5.40, 0.00
3.795, 3.76, 0.00
3.828, 2.24, 0.00
3.862, 1.56, 0.00
3.892, 1.44, 0.00
3.931, 1.08, 0.00
3.957, 0.65, 0.00
3.996, 0.71, 0.00
4.028, 1.42, 0.00
4.061, 2.64, 0.00
4.090, 4.00, 0.00
4.128, 5.16, 0.00
4.164, 6.27, 0.00
4.197, 7.48, 0.00
4.225, 8.43, 0.00
4.264, 9.43, 0.00
4.294, 9.37, 0.00
4.327, 9.00, 0.00
4.366, 9.34, 0.00
4.397, 9.41, 0.00
4.429, 9.17, 0.00
4.463, 8.39, 0.00
4.492, 7.27, 0.00
4.527, 6.12, 0.00
4.560, 4.84, 0.00
4.600, 3.19, 0.00
4.627, 1.68, 0.00
4.658, 1.00, 0.00
4.695, 0.48, 0.00
4.725, 0.25, 0.00
4.767, 0.11, 0.00
4.795, 0.29, 0.00
4.832, 0.70, 0.00
4.863, 1.48, 0.00
4.893, 2.53, 0.00
4.927, 3.62, 0.00
4.967, 4.80, 0.00
4.995, 6.13, 0.00
5.032, 8.03, 0.00
5.063, 8.84, 0.00
5.103, 9.58, 0.00
5.126, 9.89, 0.00
5.168, 9.91, 0.00
5.196, 9.69, 0.00
5.229, 9.30, 0.00
5.267, 8.78, 0.00
5.293, 8.28, 0.00
5.325, 7.73, 0.00
5.374, 7.14, 0.00
5.395, 6.37, 0.00
5.436, 4.90, 0.00
5.465, 3.14, 0.00
5.499, 2.16, 0.00
5.526, 1.50, 0.00
5.564, 1.01, 0.00
5.595, 0.58, 0.00
5.632, 0.80, 0.00
5.671, 1.54, 0.00
5.694, 2.99, 0.00
5.729, 4.68, 0.00
5.764, 6.59, 0.00
5.799, 8.14, 0.00
5.832, 8.23, 0.00
5.863, 8.75, 0.00
5.900, 9.39, 0.00
5.934, 9.70, 0.00
5.964, 9.87, 0.00
6.001, 9.91, 0.00
6.050, 9.74, 0.00
6.066, 9.34, 0.00
6.103, 8.88, 0.00
6.129, 8.28, 0.00
6.162, 7.91, 0.00
6.203, 7.59, 0.00
6.233, 7.05, 0.00
6.268, 6.45, 0.00
6.308, 5.23, 0.00
6.334, 2.87, 0.00
6.369, 0.71, 0.00
6.394, 0.84, 0.00
6.436, 2.07, 0.00
6.473, 4.37, 0.00
6.501, 5.93, 0.00
6.536, 6.68, 0.00
6.563, 7.44, 0.00
6.601, 7.95, 0.00
6.637, 8.97, 0.00
6.671, 9.35, 0.00
6.710, 9.38, 0.00
6.736, 9.63, 0.00
6.768, 9.81, 0.00
6.797, 9.85, 0.00
6.836, 9.70, 0.00
6.868, 9.50, 0.00
6.904, 9.18, 0.00
6.933, 8.80, 0.00
6.966, 8.22, 0.00
7.002, 7.24, 0.00
7.034, 5.98, 0.00
7.062, 3.68, 0.00
7.102, 1.96, 0.00
7.134, 1.21, 0.00
7.164, 0.50, 0.00
7.198, 0.56, 0.00
7.236, 1.07, 0.00
7.264, 2.14, 0.00
7.309, 3.50, 0.00
7.344, 4.85, 0.00
7.377, 6.41, 0.00
7.408, 7.96, 0.00
7.435, 8.19, 0.00
7.468, 8.75, 0.00
7.509, 8.54, 0.00
7.535, 8.87, 0.00
7.569, 9.19, 0.00
7.608, 9.67, 0.00
7.635, 9.84, 0.00
7.667, 9.82, 0.00
7.703, 9.49, 0.00
7.738, 9.16, 0.00
7.766, 8.68, 0.00
7.810, 8.17, 0.00
7.835, 7.42, 0.00
7.871, 6.54, 0.00
7.900, 5.06, 0.00
7.932, 2.79, 0.00
7.976, 1.86, 0.00
7.998, 0.87, 0.00
8.033, 0.29, 0.00
8.069, 0.53, 0.00
8.110, 1.39, 0.00
8.140, 2.96, 0.00
8.173, 4.77, 0.00
8.202, 6.64, 0.00
8.245, 7.98, 0.00
8.271, 8.30, 0.00
8.307, 8.84, 0.00
8.344, 9.42, 0.00
8.368, 9.50, 0.00
8.403, 9.69, 0.00
8.436, 9.70, 0.00
8.470, 9.53, 0.00
8.509, 9.05, 0.00
8.544, 8.39, 0.00
8.567, 7.69, 0.00
8.609, 7.00, 0.00
8.633, 6.31, 0.00
8.678, 5.50, 0.00
8.702, 4.34, 0.00
8.744, 2.16, 0.00
8.776, 2.02, 0.00
8.803, 1.47, 0.00
8.842, 0.95, 0.00
8.869, 0.34, 0.00
8.910, 0.47, 0.00
8.934, 1.13, 0.00
8.976, 2.30, 0.00
9.003, 3.90, 0.00
9.036, 5.65, 0.00
9.078, 7.51, 0.00
9.110, 8.39, 0.00
9.136, 8.98, 0.00
9.179, 9.22, 0.00
9.209, 9.61, 0.00
9.242, 9.72, 0.00
9.276, 9.57, 0.00
9.310, 9.11, 0.00
9.345, 8.41, 0.00
9.377, 7.71, 0.00
9.409, 7.04, 0.00
9.442, 6.37, 0.00
9.477, 5.74, 0.00
9.512, 4.94, 0.00
9.535, 3.28, 0.00
9.577, 2.05, 0.00
9.609, 1.66, 0.00
9.643, 0.93, 0.00
9.676, 0.58, 0.00
9.710, 0.82, 0.00
9.745, 1.60, 0.00
9.774, 2.62, 0.00
9.810, 3.55, 0.00
9.844, 4.49, 0.00
9.877, 5.47, 0.00
9.910, 6.56, 0.00
9.943, 7.73, 0.00
9.977, 9.42, 0.00
10.008, 9.59, 0.00
10.043, 9.54, 0.00
10.079, 9.33, 0.00
10.112, 8.87, 0.00
10.143, 8.09, 0.00
10.175, 7.16, 0.00
10.210, 6.14, 0.00
10.243, 4.95, 0.00
10.276, 3.15, 0.00
10.308, 2.42, 0.00
10.343, 1.97, 0.00
10.380, 1.68, 0.00
10.410, 1.03, 0.00
10.446, 0.46, 0.00
10.491, 0.20, 0.00
10.513, 0.30, 0.00
10.546, 0.74, 0.00
10.583, 1.50, 0.00
10.612, 2.49, 0.00
10.647, 3.59, 0.00
10.676, 4.96, 0.00
10.713, 6.54, 0.00
10.744, 7.95, 0.00
10.779, 9.06, 0.00
10.811, 9.46, 0.00
10.844, 9.43, 0.00
10.879, 9.56, 0.00
10.911, 9.46, 0.00
10.941, 9.17, 0.00
10.979, 8.51, 0.00
11.011, 7.67, 0.00
11.042, 6.58, 0.00
11.077, 5.45, 0.00
11.111, 3.95, 0.00
11.144, 2.37, 0.00
11.174, 1.63, 0.00
11.214, 1.24, 0.00
11.243, 0.97, 0.00
